MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','KHTC','Khyber Tobacco Co. Ltd.','READY',286.125,258.875,272.5
'REG','PAKMI','First Pak Mod.','READY',3.7,1.7,2.7
'REG','HUMNL','Hum Network Limited.(XB)','READY',74.2455,67.1745,70.71
'REG','ISL','International Steels Limited.','READY',24.8325,22.4675,23.65
'REG','UNIC','United Insurance Company.','READY',26.7855,24.2345,25.51
'REG','JLICL','Jubliee Life Insurance Co Ltd.(XD)','READY',301.3395,272.6405,286.99
'REG','AVN','Avanceon Limited.',170,32.676,29.564,31.12
'REG','HINOON','Highnoon Laboratories Ltd.',170,171.717,155.363,163.54
'REG','IDRT','Idrees Textile Mills Ltd.','READY',16.63,14.63,15.63
'REG','STCL','Shabbir Tiles & Ceramis.','READY',11.52,9.52,10.52
'REG','ASLPS','Aisha Steel Mills Convertibl  Pre-Shares','READY',9.61,7.61,8.61
'REG','MSOT','Masood Textile Mills Ltd.','READY',131.334,118.826,125.08
'REG','REDCO','Redco Textile Ltd.','READY',5.41,3.41,4.41
'REG','SLCL','Security Leasing Corp.','READY',5.75,3.75,4.75
'REG','TGL','Tariq Glass.','READY',46.7355,42.2845,44.51
'REG','PICT','Pakistan Int.Container Terminal','READY',290.85,263.15,277
'REG','EFERT','Engro Fertilizers Limited.','READY',65.961,59.679,62.82
'REG','ELSM','Ellcot Spinning Mills Ltd.','READY',90.51,81.89,86.2
'REG','PKGI','Pakistan General Insurance Co.','READY',14.15,12.15,13.15
'REG','NRL','National Refinary Ltd.','READY',254.3415,230.1185,242.23
'REG','PIOC','Pioneer Cement Ltd.','READY',48.342,43.738,46.04
'REG','PIBTL','Pakistan International Bulk Terminal Ltd','READY',91.7805,83.0395,87.41
'REG','GATM','Gul Ahmed Textile Mills Ltd.','READY',57.3405,51.8795,54.61
'REG','UBLSIFO','UBL Saving Income Fund','READY',106.0192,95.9222,100.9707
'REG','UBLGSFO','UBL Government Securities Fund','READY',106.5959,96.4439,101.5199
'REG','TBIL00010007','TBILL00010007','READY',2,.01,1
'REG','TBIL00080015','TBILL00080015','READY',2,.01,1
'REG','TBIL00160030','TBILL00160030','READY',2,.01,1
'REG','TBIL00310060','TBILL00310060','READY',2,.01,1
'REG','TBIL00610090','TBILL00610090','READY',2,.01,1
'REG','TBIL00910120','TBILL00910120','READY',2,.01,1
'REG','TBIL01210180','TBILL01210180','READY',2,.01,1
'REG','TBIL01810270','TBILL01810270','READY',2,.01,1
'REG','TBIL02710365','TBILL02710365','READY',2,.01,1
'REG','AKZO','Akzo Nobel Pakistan Limited.',170,139.587,126.293,132.94
'REG','PICICCFO','PICIC Cash Fund','READY',105.5993,95.5423,100.5708
'REG','GAMON','Gammon Pak.','READY',5.13,3.13,4.13
'REG','IGIIL','IGI Insurance Limited.(XDXB)','READY',207.1965,187.4635,197.33
'REG','ARPAK','Arpak International Investment.','READY',13.6,11.6,12.6
'REG','NATF','National Foods Ltd.','READY',582.6345,527.1455,554.89
'REG','GUSM','Gulistan Spinning Mills Ltd.','READY',5,3,4
'REG','KEL','K-Electric Limited.','READY',7.61,5.61,6.61
'REG','NSRMR','The National Silk & Rayon Mills Ltd.(R)','READY',26.5545,24.0255,25.29
'REG','IDYM','Indus Dyeing & Manufacturing.(XD)','READY',1155,1045,1100
'REG','SCLL','Standard Chartered Leasing Ltd.','READY',8.6,6.6,7.6
'REG','PKGP','Pakgen Power Limited.','READY',20.82,18.82,19.82
'REG','KASBCFO','KASB Cash Fund','READY',107.8201,97.5515,102.6858
'REG','JSCFO','JS Cash Fund','READY',107.982,97.698,102.84
'REG','MCFO','Meezan Cash Fund','READY',52.5846,47.5766,50.0806
'REG','MCBCMO','MCB Cash Managment Optimizer Fund','READY',105.2682,95.2426,100.2554
'REG','PACMF','Pakistan Cash Managment Fund','READY',52.5931,47.5843,50.0887
'REG','AGIC','Askari Gen Insurance Co.','READY',21.5355,19.4845,20.51
'REG','ASCFO','Askari Sovereign Cash Fund','READY',106.0238,95.9263,100.975
'REG','AGLNCPS','Agritech Ltd Non-Voting (Pref) Class A','READY',10,8,9
'REG','UBLLPFO','UBL Liquidity Plus Fund','READY',105.7307,95.6611,100.6959
'REG','NEXT','Next Capital Limited','READY',5.5,3.5,4.5
'REG','ASL','Aisha Steel Mills Limited.','READY',10.75,8.75,9.75
'REG','TPL','TPL Trakker Limited','READY',10.02,8.02,9.02
'REG','DMTM','Dewan Mushtaq Textile Mills Ltd.','READY',15.98,13.98,14.98
'REG','ICI','ICI Pakistan Limited.','READY',397.152,359.328,378.24
'REG','EFUL','EFU Life Assurance Ltd.(XD)','READY',116.025,104.975,110.5
'REG','PSYL','Pakistan Synthentics Ltd.','READY',19.55,17.55,18.55
