MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','NIB','NIB Bank Limited','READY',3.31,1.31,2.31
'REG','OGDC','Oil & Gas Development Company Ltd.','READY',224.217,202.863,213.54
'REG','MACFL','MACPAC Films Limited.','READY',20.2,18.2,19.2
'REG','PRIC','Progressive Insurance Co Ltd.','READY',2.13,.13,1.13
'REG','PIF','PICIC Investment Fund.','READY',15.26,13.26,14.26
'REG','PIOCR','Pioneer Cement Ltd.(R)',170,1,.01,0
'REG','ANLPS','Azgard Nine (Pref)','READY',10.8,8.8,9.8
'REG','PPL','Pakistan Petroleum Limited.','READY',183.2775,165.8225,174.55
'REG','DSL','Dost Steels Ltd.','READY',5.71,3.71,4.71
'REG','TREET','Treet Corporation Ltd.','READY',144.7425,130.9575,137.85
'REG','SGLLR','Shell Gas LPG (Pakiatan) Ltd.(R)',170,1,.01,0
'REG','IFSL','Invest & Finance Securuties Ltd.','READY',19.11,17.11,18.11
'REG','SMBL','Summit Bank Limited.','READY',5.3,3.3,4.3
'REG','DEL','Dawood Equities Ltd.','READY',4.05,2.05,3.05
'REG','ANLNV','Azgard Nine. (Non-Voting)','READY',8,6,7
'REG','AMBL','Apna Microfinance Bank Limited.','READY',6.94,4.94,5.94
'REG','JSGCL','JS Global Capital Limited.','READY',39.06,35.34,37.2
'REG','TCLTC','Treet Corporation Ltd.(PTCs)(XRP)','READY',61.824,55.936,58.88
'REG','NETSOL','NetSol Technologies Ltd.','READY',47.0925,42.6075,44.85
'REG','WTL','Worldcall Telecom Ltd.','READY',2.56,.56,1.56
'REG','DSIL','D. S. Industries Ltd.','READY',5.71,3.71,4.71
'REG','STPL','Siddiqsons Tin Plate Ltd.','READY',9.96,7.96,8.96
'REG','BOK','The Bank of Khyber.','READY',10.71,8.71,9.71
'REG','BIPL','Bankislami Pakistan Ltd.','READY',10.99,8.99,9.99
'REG','PIL','PICIC Insurance Ltd.','READY',11.71,9.71,10.71
'REG','PSMC','Pak Suzuki Motors Co Ltd.','READY',449.022,406.258,427.64
'REG','CHCC','Cherat Cement Co. Ltd.','READY',83.0235,75.1165,79.07
'REG','BIFO','Bifo Industries Ltd.','READY',231.3675,209.3325,220.35
'REG','JOPP','Johnson & Philips (Pak) Ltd.','READY',25.7775,23.3225,24.55
'REG','SSGC','Sui Southern Gas Co Ltd.','READY',38.0415,34.4185,36.23
'REG','SAZEW','Sazgar Engineering Works Ltd.','READY',50.4,45.6,48
'REG','MTIL','Mian Textile Industries Ltd.','READY',4.34,2.34,3.34
'REG','NMFL','Nirala MSR Foods Limited','READY',22.2705,20.1495,21.21
'REG','PGIC','Pakistan Gaurantee InsuranceCo','READY',5.75,3.75,4.75
'REG','IGIBL','IGI Investment Bank Ltd.','READY',3.28,1.28,2.28
'REG','JUBS','Jubilee Spinning & Weaving Mil','READY',6.85,4.85,5.85
'REG','KHYT','Khyber Textile Mills Ltd.','READY',71.0745,64.3055,67.69
'REG','KTML','Kohinoor Textile Mills Ltd.(XD)','READY',57.225,51.775,54.5
'REG','ANL','Azgard Nine Limited','READY',6.71,4.71,5.71
'REG','MEHT','Mehmood Textile Mills Ltd.','READY',286.3035,259.0365,272.67
'REG','MFTM','Mohammed Farooq Textile Mills','READY',6.81,4.81,5.81
'REG','SFAT','Safa Textiles Ltd.','READY',17,15,16
'REG','STML','Shams Textile Mills Ltd.','READY',32.256,29.184,30.72
'REG','USMT','Usman Textile Mills Ltd.','READY',1.51,.01,.51
'REG','PRWM','Prosperity Weaving Mills Ltd.','READY',41.475,37.525,39.5
'REG','SDIL','Saleem Denim Industries Ltd.','READY',1.95,.01,.95
'REG','HABSM','Habib Sugar Mills Ltd.','READY',37.6215,34.0385,35.83
'REG','GHNI','Ghandhara Industries Ltd.','READY',49.917,45.163,47.54
'REG','BPL','Burshane LPG (Pakistan) Limited.','READY',60.396,54.644,57.52
'REG','MUKT','Mukhtar Textile Mills Limited','READY',3.07,1.07,2.07
'REG','SURC','Suraj Cotton Mills Ltd.','READY',134.6625,121.8375,128.25
'REG','ENGRO','Engro Corporation Limited.','READY',281.3265,254.5335,267.93
'REG','KOIL','Kohinoor Industries Ltd.','READY',4.25,2.25,3.25
'REG','PTC','Pakistan Telecommunication Co.','READY',25.8195,23.3605,24.59
'REG','BOP','Bank Of Punjab.','READY',11.29,9.29,10.29
'REG','FFC','Fauji Fertilizer Co. Ltd.','READY',142.3695,128.8105,135.59
'REG','PAKL','Pak Leather Crafts Ltd.','READY',3.89,1.89,2.89
'REG','IDSM','Ideal Spinning Mills Ltd.','READY',15.75,13.75,14.75
'REG','ESBL','Escorts Investment Bank Ltd.','READY',3.41,1.41,2.41
'REG','JGICL','Jubilee General Insurance Co.Ltd.','READY',94.5,85.5,90
'REG','KML','Kohinoor Mills Ltd.','READY',18.97,16.97,17.97
'REG','UPFL','Unilever Pakistan Foods Ltd.','READY',10605,9595,10100
'REG','PLICR','Platinium Insurance Co Ltd.(R)',170,1,.01,0
'REG','PICT','Pakistan Int.Container Terminal.(XD)','READY',317.625,287.375,302.5
'REG','EFERT','Engro Fertilizers Limited.','READY',87.1815,78.8785,83.03
'REG','ELSM','Ellcot Spinning Mills Ltd.','READY',87.15,78.85,83
'REG','PKGI','Pakistan General Insurance Co.','READY',11.47,9.47,10.47
'REG','NRL','National Refinary Ltd.','READY',213.444,193.116,203.28
'REG','PIOC','Pioneer Cement Ltd.','READY',86.814,78.546,82.68
'REG','PIBTL','Pakistan Intl. Bulk Terminal Ltd','READY',38.682,34.998,36.84
'REG','GATM','Gul Ahmed Textile Mills Ltd.','READY',64.1025,57.9975,61.05
'REG','PINL','Premier Insurance Limited.','READY',24.7695,22.4105,23.59
'REG','SPWL','Saif Power Ltd.','READY',42.4095,38.3705,40.39
'REG','UBLSIFO','UBL Saving Income Fund','READY',111.2001,100.6097,105.9049
'REG','UBLGSFO','UBL Government Securities Fund','READY',117.354,106.1774,111.7657
'REG','TBIL00010007','TBILL00010007','READY',2,.01,1
'REG','TBIL00080015','TBILL00080015','READY',2,.01,1
'REG','TBIL00160030','TBILL00160030','READY',2,.01,1
'REG','TBIL00310060','TBILL00310060','READY',2,.01,1
'REG','TBIL00610090','TBILL00610090','READY',2,.01,1
'REG','TBIL00910120','TBILL00910120','READY',2,.01,1
'REG','TBIL01210180','TBILL01210180','READY',2,.01,1
'REG','TBIL01810270','TBILL01810270','READY',2,.01,1
'REG','NBP','National Bank Of Pakistan.','READY',69.4575,62.8425,66.15
'REG','ITSL','Investec Securities Ltd','READY',1.42,.01,.42
'REG','SGMLPS','Shakarganj (R.C.Pref) 8.5%.','READY',8,6,7
'REG','KASBB','KASB Bank Ltd.','READY',2.63,.63,1.63
'REG','SNGP','Sui Northern Gas Pipe Line Ltd.','READY',27.006,24.434,25.72
'REG','SALT','Salfi Textile Mills Ltd.','READY',162.05,146.6166,154.3333
'REG','TRG','TRG Pakistan Ltd.','READY',15.88,13.88,14.88
'REG','SGML','Shakargang Sugar Mills Ltd.','READY',16.5,14.5,15.5
'REG','PICL','Pakistan Industrial & Comm.Lea.','READY',1.1,.01,.1
'REG','ACPL','Attock Cement Pak Ltd.(XD)','READY',211.9215,191.7385,201.83
'REG','BYCO','BYCO Petroleum Pak Ltd.','READY',10.34,8.34,9.34
'REG','DYNO','DYNEA Pak.','READY',59.85,54.15,57
'REG','SRVI','Service Industries.','READY',987,893,940
'REG','ZIL','ZIL Limited.','READY',84.9975,76.9025,80.95
'REG','ASHT','Ashfaq Textile Mills Ltd.','READY',13,11,12
'REG','JSIL','JS Investments Limited.','READY',16.41,14.41,15.41
'REG','CTM','Colony Textile Mills Ltd.','READY',5.22,3.22,4.22
'REG','STCLR1','Shabbir Tiles & Ceramis.(R)','READY',7.07,5.07,6.07
'REG','CLOV','Clover Pakistan Limited.','READY',123.669,111.891,117.78
'REG','ARM','Allied Rental Modaraba.','READY',48.3,43.7,46
'REG','KOHP','Kohinoor Power Co Ltd.','READY',4.08,2.08,3.08
'REG','SCBPL','Standard Chartered Bank (Pak) Ltd.','READY',28.0875,25.4125,26.75
'REG','RCML','Reliance Cotton Spinning Mills.','READY',94.164,85.196,89.68
'REG','KHTC','Khyber Tobacco Co. Ltd.','READY',412.9125,373.5875,393.25
'REG','PAKMI','First Pak Mod.','READY',2.8,.8,1.8
'REG','HUMNL','Hum Network Limited.','READY',16.65,14.65,15.65
'REG','ISL','International Steels Limited.','READY',31.941,28.899,30.42
'REG','UNIC','United Insurance Company.','READY',31.5,28.5,30
'REG','JLICL','Jubliee Life Insurance Co Ltd.','READY',466.2,421.8,444
'REG','AVN','Avanceon Limited.','READY',46.746,42.294,44.52
'REG','HINOON','Highnoon Laboratories Ltd.','READY',252.777,228.703,240.74
'REG','IDRT','Idrees Textile Mills Ltd.','READY',16.25,14.25,15.25
'REG','STCL','Shabbir Tiles & Ceramis.','READY',12.09,10.09,11.09
'REG','ASLPS','Aisha Steel Mills Convertibl  Pre-Shares','READY',9.9,7.9,8.9
'REG','HASCOL','Hascol Petroleum Ltd.','READY',104.9055,94.9145,99.91
'REG','MSOT','Masood Textile Mills Ltd.','READY',158.529,143.431,150.98
'REG','REDCO','Redco Textile Ltd.','READY',5.67,3.67,4.67
'REG','SLCL','Security Leasing Corp.','READY',4.36,2.36,3.36
'REG','SITC','Sitara Chemicals.','READY',373.1175,337.5825,355.35
'REG','LPCL','Lafarge Pakistan Cement Limited.','READY',18.77,16.77,17.77
'REG','PAEL','Pakistan Elektron Ltd.','READY',61.6455,55.7745,58.71
'REG','TGL','Tariq Glass.','READY',63.1575,57.1425,60.15
'REG','FZCM','Fazal Cloth Mills Ltd.','READY',140.0175,126.6825,133.35
'REG','QUET','Quetta Textile Mills Ltd.','READY',64.2915,58.1685,61.23
'REG','GADT','Gadoon Textile Mills Ltd.','READY',241.794,218.766,230.28
'REG','GLOT','Globe Textile Mills Ltd.','READY',9.7,7.7,8.7
