MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','UBLGSFO','UBL Government Securities Fund ','READY',110.927,100.3626,105.6448
'REG','JVDCPS','Javedan Corporation Ltd-Non Voting ','READY',25.515,23.085,24.3
'REG','MUGHALR','Mughal Iron & Steels Ind Ltd.(R) ','READY',71.1375,64.3625,67.75
'REG','AHCL','Arif Habib Corporation Ltd. ','READY',37.947,34.333,36.14
'REG','FML','Feroze1888 Mills Ltd. ','READY',86.1,77.9,82
'REG','AVN','Avanceon Limited. ','READY',43.6065,39.4535,41.53
'REG','DOLCPS','Descon Oxychem Ltd 12% Non Voting ','READY',18.5,16.5,17.5
'REG','HTL','Hi-Tech Lubricants Limited ','READY',106.134,96.026,101.08
'REG','ORIXM','Orix Modaraba. ','READY',24.0345,21.7455,22.89
'REG','GSKCH','Glaxo SmithKline Healthcare Pak Ltd ','READY',209.7375,189.7625,199.75
'REG','LOADS','Loads Limited. ','READY',37.8,34.2,36
'REG','PIM','Popular Islamic Madaraba ','READY',8.79,6.79,7.79
'REG','SML','Shakarganj Limited. ','READY',94.542,85.538,90.04
'REG','ITTEFAQ','Ittefaq Iron Industries Limited. ','READY',30.576,27.664,29.12
'REG','ASTL','Amreli Steels Limited. ','READY',98.154,88.806,93.48
'REG','TPLPL','TPL Properties Limited ','READY',11.5,9.5,10.5
'REG','PELPS','Pakistan Elektron Ltd.(PS) ','READY',11,9,10
'REG','GOC','GOC (PAK) Limited. ','READY',71.715,64.885,68.3
'REG','MACTER','Macter International Limited ','READY',40.291,36.4538,38.3724
'REG','AEL','Arshad Energy Limited. ','READY',14.53,12.53,13.53
'REG','NRSL','Nimir Resins Limited. ','READY',8.71,6.71,7.71
'REG','NATMR','Nadeem Textile Mills Ltd.(R) ','READY',10.71,8.71,9.71
'REG','786','786 Investment Limited ','READY',3.15,1.15,2.15
'REG','BIPLS','BIPL Securities Ltd. ','READY',10.49,8.49,9.49
'REG','EFGH','EFG Hermes Pakistan Ltd. ','READY',95.9385,86.8015,91.37
'REG','HCL','Hallmark Company Limited. ','READY',7.2,5.2,6.2
'REG','AWWAL','Awwal Modaraba. ','READY',12.91,10.91,11.91
'REG','PCML','Punjab Cotton Mills Ltd. ','READY',6,4,5
