MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','NMFL','Nirala MSR Foods Limited ','READY',13.76,11.76,12.76
'REG','FABL','Faysal Bank Limited. ','READY',23.2995,21.0805,22.19
'REG','MLCF','Maple Leaf Cement Factory Ltd. ','READY',87.1185,78.8215,82.97
'REG','JDWS','J. D. W. Sugar Mills Ltd. ','READY',399,361,380
'REG','ILTM','Island Textile Mills Ltd. ','READY',1010.6358,914.3848,962.5103
'REG','HUSI','Husein Industries ','READY',8.4,6.4,7.4
'REG','KAPCO','Kot Addu Power Company. ','READY',79.7685,72.1715,75.97
'REG','SINDM','Sindh Modaraba. ','READY',6.2,4.2,5.2
'REG','DFSM','Dewan Farooque Spinning Mills Ltd. ','READY',6.36,4.36,5.36
'REG','UBL','United Bank Ltd. ','READY',196.266,177.574,186.92
'REG','ISHT','Ishtiaq Textile Mills Ltd. ','READY',10.49,8.49,9.49
'REG','JPGL','Japan Power Generation Ltd. ','READY',4.79,2.79,3.79
'REG','SBL','Samba Bank Limited. ','READY',8,6,7
'REG','SLCPA','Security Leasing Corp (Pref) 9.1% ','READY',8,6,7
'REG','PICT','Pakistan Int.Container Terminal ','READY',346.5,313.5,330
'REG','SILK','Silk Bank Limited. ','READY',2.64,.64,1.64
'REG','GATM','Gul Ahmed Textile Mills Ltd. ','READY',42.651,38.589,40.62
'REG','SCL','Shield Corporation Ltd. ','READY',693,627,660
'REG','NINA','M/S Nina Industries Ltd. ','READY',2.01,.01,1.01
'REG','FNEL','First National Equities Limited. ','READY',9.51,7.51,8.51
'REG','JSCL','Jahangir Siddiqui & Company Ltd. ','READY',24.549,22.211,23.38
'REG','AABS','Al-Abbas Sugar Mills Ltd. ','READY',169.7535,153.5865,161.67
'REG','SHCI','Shaffi Chemical Ind. Ltd. ','READY',7.49,5.49,6.49
'REG','SNAI','Sana Industries Ltd. ','READY',43.05,38.95,41
'REG','GATI','Gatron (Industries) Ltd. ','READY',96.705,87.495,92.1
'REG','DCL','Dewan Cement Limited. ','READY',17.93,15.93,16.93
'REG','ARM','Allied Rental Modaraba. ','READY',23.625,21.375,22.5
'REG','FNBM','First National Bank Modaraba. ','READY',3.8,1.8,2.8
'REG','AHL','Arif Habib Limited.(XD) ','READY',56.6265,51.2335,53.93
'REG','EXIDE','Exide Pakistan Ltd. ','READY',551.25,498.75,525
'REG','BELA','Bela Automotives Ltd. ','READY',2.3,.3,1.3
'REG','HIRAT','Hira Textile Mills Ltd. ','READY',11.48,9.48,10.48
'REG','PACE','Pace (Pakistan) Ltd. ','READY',7.75,5.75,6.75
'REG','DIIL','Dimond Industries Ltd. ','READY',25.872,23.408,24.64
'REG','JSBL','JS Bank Limited. ','READY',9.25,7.25,8.25
'REG','MEBL','Meezan Bank Limited. ','READY',76.02,68.78,72.4
'REG','FDMF','First Dawood Mutual Fund. ','READY',8,6,7
'REG','ATMMFO','Atlas Money Market Fund ','READY',533.4026,482.6024,508.0025
'REG','SHEL','Shell Pakistan Ltd.(XD) ','READY',428.337,387.543,407.94
'REG','SCBPL','Standard Chartered Bank (Pak) Ltd.(XD) ','READY',25.935,23.465,24.7
'REG','FCSC','First Capital Sec.Corp. Ltd. ','READY',4.39,2.39,3.39
'REG','JSIL','JS Investments Limited. ','READY',13.51,11.51,12.51
'REG','NICL','Nimir Industrial Chemical Ltd. ','READY',49.35,44.65,47
'REG','CHBL','Chenab Limited ','READY',5.97,3.97,4.97
'REG','COLG','Colgate Palmolive (Pak) Ltd.(XD) ','READY',2310,2090,2200
'REG','MQTM','Maqbool Textile Mills Ltd. ','READY',29.337,26.543,27.94
'REG','ZTL','Zephyr Textile Limited. ','READY',17.4,15.4,16.4
'REG','HMIM','Haji Mohammed Ismail Mills Lim ','READY',13.25,11.25,12.25
'REG','CECL','The Climax Engineering Co. Ltd. ','READY',98.406,89.034,93.72
'REG','INMF','Investec Mutual Fund ','READY',1.17,.01,.17
'REG','BAFL','Bank Alfalah Ltd. ','READY',42.966,38.874,40.92
'REG','IBLHL','IBL HealthCare Limited. ','READY',129.549,117.211,123.38
'REG','DOL','Descon Oxychem Ltd.. ','READY',16.72,14.72,15.72
'REG','NAFAGSLFO','NAFA Government Securities Liquid Fund ','READY',11.2805,9.2805,10.2805
'REG','ADMM','Artistic Denim Mills Limited. ','READY',76.944,69.616,73.28
'REG','SPEL','Synthetic Products Enterprises Ltd.(XD) ','READY',69.3,62.7,66
'REG','EPCL','Engro Polymer & Chemicals Ltd. ','READY',34.629,31.331,32.98
'REG','FCIBL','First Credit & Investment Bank Ltd. ','READY',7,5,6
'REG','BMAECFO','BMA Empress Cash Fund. ','READY',11.2411,9.2411,10.2411
'REG','AWTX','Allawasaya Tex. & Finishing Mills. ','READY',378,342,360
'REG','NCPL','Nishat Chunian Power Ltd. ','READY',42.147,38.133,40.14
'REG','GGL','Ghani Gases Limited. ','READY',23.688,21.432,22.56
'REG','DAWH','Dawood Hercules Corporation Ltd. ','READY',126.9765,114.8835,120.93
'REG','HICL','Habib Insurance Co Ltd. ','READY',15.88,13.88,14.88
'REG','HBL','Habib Bank Limited. ','READY',184.9155,167.3045,176.11
'REG','KASBM','KASB Modaraba. ','READY',3.19,1.19,2.19
'REG','LEUL','Leather Up Ltd. ','READY',19.15,17.15,18.15
'REG','FLYNG','Flying Cement Company Ltd. ','READY',19.05,17.05,18.05
'REG','ATLH','Atlas Honda Limited. ','READY',577.479,522.481,549.98
'REG','HADC','Hayderi Construction. ','READY',16.42,14.42,15.42
'REG','ICL','Ittehad Chemical Ltd. ','READY',29.232,26.448,27.84
'REG','NRSL','Nimir Resins Limited. ','READY',8.81,6.81,7.81
'REG','GHGL','Ghani Glass Ltd.(XR) ','READY',72.6495,65.7305,69.19
'REG','FCONM','First Constellation Modaraba. ','READY',2.19,.19,1.19
'REG','THCCL','Thatta Cement Company Ltd. ','READY',26.88,24.32,25.6
'REG','ALTN','Altern Energy Ltd. ','READY',46.41,41.99,44.2
'REG','INKL','International Knitwear Ltd. ','READY',14.9,12.9,13.9
'REG','FTSM','First Tri-Star Mod. ','READY',10,8,9
'REG','FRSM','Faran Sugar Mills Ltd. ','READY',78.876,71.364,75.12
'REG','CYAN','Cyan Limited. ','READY',44.751,40.489,42.62
'REG','ICIBL','Invest Capital Investment Bank Ltd. ','READY',3.06,1.06,2.06
'REG','WAHN','Wah Noble Chemicals Ltd. ','READY',232.491,210.349,221.42
'REG','BATA','Bata Pakistan Ltd. ','READY',3097.5,2802.5,2950
'REG','AICL','Adamjee Insurance Co. Ltd(XD) ','READY',64.554,58.406,61.48
'REG','CPPL','Cherat Packaging Limited.(XR) ','READY',211.4595,191.3205,201.39
'REG','FEM','First Equity Mod. ','READY',6.5,4.5,5.5
'REG','PMPK','Philip Morris (Pakistan)Ltd. ','READY',3104.5035,2808.8365,2956.67
'REG','CLOV','Clover Pakistan Limited. ','READY',64.491,58.349,61.42
'REG','IMSL','Imperial Sugar Limited. ','READY',30.4605,27.5595,29.01
'REG','HWQS','Haseeb Waqas Sugar Mills Limit ','READY',7.67,5.67,6.67
'REG','PASL','Pervez Ahmed Securities Ltd. ','READY',2.9,.9,1.9
'REG','GFIL','Ghazi Fabrics International Ltd. ','READY',7.52,5.52,6.52
'REG','SSOM','S .S . Oil Mills Ltd. ','READY',47.25,42.75,45
'REG','FFBL','Fauji Fertilizer Bin Qasim Ltd. ','READY',38.6085,34.9315,36.77
'REG','MCBAH','MCB-Arif Habib Savings & Invest Ltd. ','READY',27.1425,24.5575,25.85
'REG','ABL','Allied Bank Ltd. ','READY',93.45,84.55,89
'REG','BWHL','Baluchistan Wheels Ltd. ','READY',128.1,115.9,122
'REG','ECOP','ECOPAK Limited. ','READY',26.775,24.225,25.5
'REG','SPL','Sitara Peroxide Limited ','READY',26.8485,24.2915,25.57
'REG','SFL','Sapphire Fibres Mills Ltd. ','READY',1038.7545,939.8255,989.29
'REG','MSCL','Metropolitan Steel Corporation ','READY',19.65,17.65,18.65
'REG','PASM','Paramount Spinning Mills. ','READY',3.02,1.02,2.02
'REG','SMCPL','Safe Mix Concrete Ltd. ','READY',11.33,9.33,10.33
'REG','TSPL','Tri -Star Power Ltd. ','READY',10.11,8.11,9.11
'REG','JVDCPS','Javedan Corporation Ltd-Non Voting ','READY',25.515,23.085,24.3
'REG','BHAT','Bhanero Textile Mills Ltd. ','READY',763.644,690.916,727.28
'REG','BIPLS','BIPL Securities Ltd. ','READY',11.58,9.58,10.58
'REG','LUCK','Lucky Cement Limited.(XD) ','READY',578.025,522.975,550.5
'REG','FFLNV','Fauji Foods Non Voting.(XR) ','READY',23.4255,21.1945,22.31
'REG','BNWM','Bannu Woollen Mills Limited. ','READY',64.5855,58.4345,61.51
'REG','TELE','Telecard Ltd. ','READY',4.08,2.08,3.08
'REG','NPL','Nishat Power Limited. ','READY',47.145,42.655,44.9
'REG','ISL','International Steels Limited.(XD) ','READY',126.4935,114.4465,120.47
'REG','MDTL','Media Times Limited. ','READY',4.02,2.02,3.02
'REG','FPRM','First Paramount Mod. ','READY',10,8,9
'REG','SEPL','Security Papers Ltd. ','READY',143.85,130.15,137
'REG','AGL','Agritech Limited ','READY',9.62,7.62,8.62
'REG','AMTEX','Amtex Limited. ','READY',3.49,1.49,2.49
'REG','ISIL','Ismail Industries Ltd. ','READY',304.2375,275.2625,289.75
'REG','LOTCHEM','Lotte Chemical Pakistan Ltd. ','READY',9.1,7.1,8.1
'REG','FPJM','First Punjab Mod. ','READY',7,5,6
'REG','POL','Pakistan Oilfields Limited. ','READY',548.982,496.698,522.84
'REG','IDYM','Indus Dyeing & Manufacturing. ','READY',525,475,500
'REG','SYS','Systems Limited. ','READY',80.85,73.15,77
'REG','PKGP','Pakgen Power Limited. ','READY',22.092,19.988,21.04
'REG','KASBCFO','KASB Cash Fund ','READY',110.7391,100.1925,105.4658
'REG','SLCL','Security Leasing Corp. ','READY',10.83,8.83,9.83
'REG','JSCFO','JS Cash Fund ','READY',108.0765,97.7835,102.93
'REG','MCFO','Meezan Cash Fund ','READY',53.0315,47.9809,50.5062
'REG','MCBCMO','MCB Cash Managment Optimizer Fund ','READY',106.812,96.6394,101.7257
'REG','PACMF','Pakistan Cash Managment Fund ','READY',53.3672,48.2846,50.8259
'REG','AGIC','Askari Gen Insurance Co.(XD) ','READY',27.2895,24.6905,25.99
'REG','ASCFO','Askari Sovereign Cash Fund ','READY',106.3911,96.2587,101.3249
'REG','AGLNCPS','Agritech Ltd Non-Voting (Pref) Class A ','READY',3,1,2
'REG','UBLLPFO','UBL Liquidity Plus Fund ','READY',106.9763,96.7881,101.8822
'REG','NEXT','Next Capital Limited. ','READY',17.25,15.25,16.25
'REG','ASL','Aisha Steel Mills Limited. ','READY',19.75,17.75,18.75
'REG','ASLPS','Aisha Steel Mills Convertibl  Pre-Sh ','READY',20.5,18.5,19.5
'REG','TPL','TPL Trakker Limited(XD) ','READY',9.7,7.7,8.7
'REG','DMTM','Dewan Mushtaq Textile Mills Ltd. ','READY',8.5,6.5,7.5
'REG','ICI','ICI Pakistan Limited.(XD) ','READY',916.7865,829.4735,873.13
'REG','GAMON','Gammon Pak. ','READY',26.775,24.225,25.5
'REG','EFUL','EFU Life Assurance Ltd. ','READY',269.85,244.15,257
'REG','PSYL','Pakistan Synthentics Ltd. ','READY',26.502,23.978,25.24
'REG','KOHE','Kohinoor Energy Ltd. ','READY',48.405,43.795,46.1
'REG','BAPL','Bawany Air Products Ltd. ','READY',12.25,10.25,11.25
'REG','IGIIL','IGI Insurance Limited. ','READY',303.45,274.55,289
'REG','CRTM','Crescent Textile Mills Ltd. ','READY',40.257,36.423,38.34
'REG','FATIMA','Fatima Fertilizer Co Ltd. ','READY',34.6815,31.3785,33.03
'REG','ATRL','Attock Refinery Limited. ','READY',428.442,387.638,408.04
'REG','EFOODS','Engro Foods Limited. ','READY',97.356,88.084,92.72
'REG','PSEL','Pakistan Services Limited. ','READY',1018.5,921.5,970
'REG','MODAM','Modarba Al-Mali. ','READY',4.89,2.89,3.89
'REG','TDIL','TPL Direct Insurance Limited. ','READY',19.5,17.5,18.5
'REG','FMMFO','Faysal Money Market Fund ','READY',107.583,97.337,102.46
'REG','SMBLCPSA','Summit Bank Ltd.(Con) A ','READY',11,9,10
'REG','SMBLCPSB','Summit Bank Ltd.(Con) B ','READY',11,9,10
'REG','PDRFO','Primus Daily Reserve Fund. ','READY',85.7535,77.5865,81.67
'REG','LPL','LALPIR Power Limited. ','READY',22.638,20.482,21.56
'REG','EPQL','Engro Powergen Qadirpur Ltd. ','READY',35.9625,32.5375,34.25
'REG','HBLMMF','HBL Money Market Fund. ','READY',108.215,97.9088,103.0619
'REG','UBLISFO','UBL Islamic Sovereign Fund ','READY',105.5362,95.4852,100.5107
'REG','CTM','Colony Textile Mills Ltd. ','READY',7.14,5.14,6.14
'REG','AVN','Avanceon Limited. ','READY',44.373,40.147,42.26
'REG','HASCOL','Hascol Petroleum Ltd.(XD) ','READY',294.1365,266.1235,280.13
'REG','EFERT','Engro Fertilizers Limited.(XD) ','READY',65.835,59.565,62.7
'REG','PSX','Pakistan Stock Exchange Limited. ','READY',23.1,20.9,22
'REG','PIBTL','Pakistan Intl. Bulk Terminal Ltd. ','READY',21.903,19.817,20.86
'REG','SPWL','Saif Power Ltd. ','READY',31.626,28.614,30.12
'REG','UBLSIFO','UBL Saving Income Fund ','READY',106.5899,96.4385,101.5142
'REG','UBLGSFO','UBL Government Securities Fund ','READY',110.927,100.3626,105.6448
'REG','TBIL00010007','TBILL00010007 ','READY',2,.01,1
'REG','TBIL00080015','TBILL00080015 ','READY',2,.01,1
'REG','TBIL00160030','TBILL00160030 ','READY',2,.01,1
'REG','TBIL00310060','TBILL00310060 ','READY',2,.01,1
'REG','TBIL00610090','TBILL00610090 ','READY',2,.01,1
'REG','TBIL00910120','TBILL00910120 ','READY',2,.01,1
'REG','TBIL01210180','TBILL01210180 ','READY',2,.01,1
'REG','TBIL01810270','TBILL01810270 ','READY',2,.01,1
'REG','TBIL02710365','TBILL02710365 ','READY',2,.01,1
'REG','AKZO','Akzo Nobel Pakistan Limited. ','READY',205.1385,185.6015,195.37
'REG','PICICCFO','PICIC Cash Fund ','READY',106.9443,96.7591,101.8517
'REG','GGGL','Ghani Global Glass Limited. ','READY',19.77,17.77,18.77
'REG','ASC','Al-Shaheer Corporation. ','READY',31.689,28.671,30.18
'REG','MUGHAL','Mughal Iron & Steels Ind Ltd. ','READY',59.4195,53.7605,56.59
'REG','ASLCPS','Aisha Steel Mills Convertible Cumul ','READY',45.2025,40.8975,43.05
'REG','LPCL','Lafarge Pakistan Cement Limited. ','READY',22.26,20.14,21.2
'REG','HTL','Hi-Tech Lubricants Limited.(XD) ','READY',103.9185,94.0215,98.97
'REG','DOLCPS','Descon Oxychem Ltd 12% Non Voting ','READY',18.5,16.5,17.5
'REG','TPLPL','TPL Properties Limited ','READY',11.5,9.5,10.5
'REG','PIM','Popular Islamic Madaraba ','READY',5.51,3.51,4.51
'REG','FCEL','First Capital Equities Ltd. ','READY',9.01,7.01,8.01
'REG','FTMM','First Treet Manufacturing Modaraba. ','READY',51.0825,46.2175,48.65
'REG','MSOTPS','Masood Textile Mills Ltd.(PS) ','READY',9.84,7.84,8.84
'REG','PELPS','Pakistan Elektron Ltd.(PS) ','READY',11,9,10
'REG','SLL','SME Leasing Ltd. ','READY',4.79,2.79,3.79
'REG','PCML','Punjab Cotton Mills Ltd. ','READY',6,4,5
'REG','LOADS','Loads Limited. ','READY',42.063,38.057,40.06
'REG','MUGHALR','Mughal Iron & Steels Ind Ltd.(R) ','READY',71.1375,64.3625,67.75
'REG','ITTEFAQ','Ittefaq Iron Industries Limited. ','READY',25.6935,23.2465,24.47
'REG','MACTER','Macter International Limited ','READY',113.5307,102.7183,108.1245
'REG','GSKCH','Glaxo SmithKline Healthcare Pak Ltd ','READY',287.49,260.11,273.8
'REG','RPL','Roshan Packages Limited. ','READY',55.7655,50.4545,53.11
'REG','FECM','First Elite Capital Mod. ','READY',4.5,2.5,3.5
'REG','SUHJ','Sohail Jute Mills Ltd. ','READY',12.35,10.35,11.35
'REG','AGSML','Abdullah Shaha Ghazi Suger Mills Ltd. ','READY',7.31,5.31,6.31
'REG','BAFS','Baba Faried Sugar Mills Ltd. ','READY',47.124,42.636,44.88
