MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','ADMM','Artistic Denim Mills Limited. ','READY',75.0225,67.8775,71.45
'REG','KML','Kohinoor Mills Ltd. ','READY',30.45,27.55,29
'REG','WYETH','Wyeth Pakistan Limited. ','READY',1211.889,1096.471,1154.18
'REG','AGIC','Askari Gen Insurance Co.(XD) ','READY',26.67,24.13,25.4
'REG','SAPT','Sapphire Textile Mills Ltd. ','READY',1238.979,1120.981,1179.98
'REG','BAFS','Baba Faried Sugar Mills Ltd. ','READY',39.9,36.1,38
'REG','FEROZ','Ferozsons Laboratories Ltd. ','READY',177.282,160.398,168.84
'REG','TRIPF','Tri-Pack Films Ltd. ','READY',134.2005,121.4195,127.81
'REG','FTSM','First Tri-Star Mod. ','READY',11.8,9.8,10.8
'REG','TRG','TRG Pakistan Ltd. ','READY',29.0745,26.3055,27.69
'REG','MSOTPS','Masood Textile Mills Ltd.(PS) ','READY',9.03,7.03,8.03
'REG','PAKMI','First Pak Mod. ','READY',2.61,.61,1.61
'REG','DINT','Din Textile Mills Ltd. ','READY',74.571,67.469,71.02
'REG','FDMF','First Dawood Mutual Fund. ','READY',8,6,7
'REG','ALTN','Altern Energy Ltd. ','READY',38.829,35.131,36.98
'REG','PICT','Pakistan Int.Container Terminal.(XD) ','READY',298.599,270.161,284.38
'REG','GGL','Ghani Gases Limited. ','READY',15.41,13.41,14.41
'REG','GAIL','Ghani Automobile Industries Ltd. ','READY',8.36,6.36,7.36
'REG','PRL','Pakistan Refinery Ltd. ','READY',34.4505,31.1695,32.81
'REG','JSCL','Jahangir Siddiqui & Company Ltd. ','READY',15.5,13.5,14.5
'REG','FANM','First Al-Noor Mod. ','READY',4,2,3
'REG','NICL','Nimir Industrial Chemical Ltd. ','READY',64.0605,57.9595,61.01
'REG','ISIL','Ismail Industries Ltd. ','READY',387.534,350.626,369.08
'REG','NATF','National Foods Ltd. ','READY',304.5,275.5,290
'REG','HABSM','Habib Sugar Mills Ltd. ','READY',41.7375,37.7625,39.75
'REG','TPLP','TPL Properties Limited. ','READY',9.25,7.25,8.25
'REG','RICL','Reliance Insurance. ','READY',8.21,6.21,7.21
'REG','EWIC','East West Ins. Co. Ltd. ','READY',148.575,134.425,141.5
'REG','PPL','Pakistan Petroleum Limited. ','READY',224.07,202.73,213.4
'REG','GFIL','Ghazi Fabrics International Ltd. ','READY',4.78,2.78,3.78
'REG','ASTM','Asim Textile Mills Ltd. ','READY',11.25,9.25,10.25
'REG','FHAM','First Habib Mod. ','READY',12,10,11
'REG','MCBCMO','MCB Cash Managment Optimizer Fund ','READY',105.9984,95.9034,100.9509
'REG','SFL','Sapphire Fibres Mills Ltd. ','READY',918.54,831.06,874.8
'REG','TPLI','TPL Insurance Ltd.(XB) ','READY',22.575,20.425,21.5
'REG','DFML','Dewan Farooque Motors Limited ','READY',25.8405,23.3795,24.61
'REG','ALNRS','Al-Noor Sugar Mills Ltd. ','READY',48.51,43.89,46.2
'REG','NPSM','N.P. Spinning Mills Ltd. ','READY',8,6,7
'REG','ATMMFO','Atlas Money Market Fund ','READY',529.4489,479.0252,504.237
'REG','SHJS','Shahtaj Suger Mills Ltd.(XD) ','READY',96.0855,86.9345,91.51
'REG','NAFAGSLFO','NAFA Government Securities Liquid Fund ','READY',11.2048,9.2048,10.2048
'REG','ASC','Al-Shaheer Corporation. ','READY',28.875,26.125,27.5
'REG','DNCC','Dandot Cement Co. Ltd. ','READY',9.8,7.8,8.8
'REG','PKGP','Pakgen Power Limited. ','READY',15.5,13.5,14.5
'REG','NRSL','Nimir Resins Limited. ','READY',9.11,7.11,8.11
'REG','INDU','Indus Motor Company Ltd. ','READY',1468.5825,1328.7175,1398.65
'REG','ECOP','ECOPAK Limited. ','READY',23.5725,21.3275,22.45
'REG','ISL','International Steels Limited.(XD) ','READY',95.5185,86.4215,90.97
'REG','NPL','Nishat Power Limited. ','READY',27.51,24.89,26.2
'REG','SANSM','Sanghar Sugar Mills Ltd. ','READY',26.229,23.731,24.98
'REG','TRPOL','Tri-Star Polyester Ltd. ','READY',18.88,16.88,17.88
'REG','HGFA','HBL Growth Fund ','READY',13.75,11.75,12.75
'REG','DCL','Dewan Cement Limited. ','READY',15.13,13.13,14.13
'REG','SFLL','SFL Limited. ','READY',151.4625,137.0375,144.25
'REG','FDIBL','First Dawood Investment Bank Ltd. ','READY',3.31,1.31,2.31
'REG','GAMON','Gammon Pak. ','READY',12,10,11
'REG','BPL','Burshane LPG (Pakistan) Limited. ','READY',38.85,35.15,37
'REG','RPL','Roshan Packages Limited. ','READY',24.7905,22.4295,23.61
'REG','MQTM','Maqbool Textile Mills Ltd. ','READY',45.633,41.287,43.46
'REG','SASML','Sindh Abadgars Sugar Mills Ltd. ','READY',18.75,16.75,17.75
'REG','ATBA','Atlas Battery Ltd.(XD)(XB) ','READY',278.859,252.301,265.58
'REG','EFERT','Engro Fertilizers Limited.(XD) ','READY',79.2645,71.7155,75.49
'REG','DWSM','Dewan Sugar Mills Ltd. ','READY',6.75,4.75,5.75
'REG','SHDT','Shadab Textile Mills Ltd. ','READY',54.6578,49.4523,52.055
'REG','GLAXO','Glaxo SmithKline Pakistan Ltd. ','READY',155.211,140.429,147.82
'REG','CCM','Crescent Cotton Mills Limited. ','READY',30.45,27.55,29
'REG','ANSM','Ansari Sugar Mills Ltd.(XD) ','READY',14.25,12.25,13.25
'REG','PSX','Pakistan Stock Exchange Limited. ','READY',17.17,15.17,16.17
'REG','AAL','Agro Allianz limited. ','READY',17,15,16
'REG','DFSM','Dewan Farooque Spinning Mills Ltd. ','READY',3.67,1.67,2.67
'REG','FFC','Fauji Fertilizer Co. Ltd.(XD) ','READY',102.522,92.758,97.64
'REG','ICI','ICI Pakistan Limited.(XD) ','READY',796.509,720.651,758.58
'REG','JDMT','Janana De Malucha Tex Mills. ','READY',81.795,74.005,77.9
'REG','MIRKS','Mirpurkhas Sugar Mills Ltd. ','READY',136.5,123.5,130
'REG','TREET','Treet Corporation Ltd. ','READY',29.316,26.524,27.92
'REG','SLCL','Security Leasing Corp. ','READY',10.99,8.99,9.99
'REG','FABL','Faysal Bank Limited. ','READY',28.1925,25.5075,26.85
'REG','TCLTC','Treet Corporation Ltd.(PTCs) ','READY',15.25,13.25,14.25
'REG','POML','Punjab Oil Mills Ltd.(XD) ','READY',249.9,226.1,238
'REG','ASLPS','Aisha Steel Mills Convertibl  Pre-Sh ','READY',20.46,18.46,19.46
'REG','SITC','Sitara Chemicals. ','READY',357,323,340
'REG','ITTEFAQ','Ittefaq Iron Industries Limited. ','READY',15.88,13.88,14.88
'REG','MACTER','Macter International Limited. ','READY',195.72,177.08,186.4
'REG','EFOODS','Engro Foods Limited. ','READY',88.977,80.503,84.74
'REG','DEL','Dawood Equities Ltd. ','READY',5.29,3.29,4.29
'REG','TBIL00310060','TBILL00310060 ','READY',2,.01,1
'REG','DLL','Dawood Lawrencepur Ltd.(XD) ','READY',178.5,161.5,170
'REG','NETSOL','NetSol Technologies Ltd. ','READY',139.797,126.483,133.14
'REG','FNEL','First National Equities Limited. ','READY',5.9,3.9,4.9
'REG','SAPL','Sanofi-Aventis Pakistan Ltd. ','READY',1029,931,980
'REG','TBIL00080015','TBILL00080015 ','READY',2,.01,1
'REG','SERF','Service Fabrics Ltd. ','READY',4.49,2.49,3.49
'REG','BIFO','Bifo Industries Ltd. ','READY',307.65,278.35,293
'REG','SINDM','Sindh Modaraba. ','READY',7,5,6
