MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','ANTM','AN Textile Mills Ltd. ','READY',10,8,9
'REG','ITTEFAQ','Ittefaq Iron Industries Limited. ','READY',10.98,8.98,9.98
'REG','NAFAMMFO','NAFA Money Market ','READY',10.92,8.92,9.92
'REG','HASCOLR1','Hascol Petroleum Ltd.(R) ','READY',11.18,9.18,10.18
'REG','ASTL','Amreli Steels Limited. ','READY',39.0495,35.3305,37.19
'REG','ORM','Orient rental Modaraba. ','READY',8.6333,6.6333,7.6333
'REG','GHGLR2','Ghani Glass Ltd.(R2) ','READY',42.4305,38.3895,40.41
'REG','PELPS','Pakistan Elektron Ltd.(PS) ','READY',12,10,11
'REG','GOC','GOC (PAK) Limited. ','READY',53.13,48.07,50.6
'REG','IGILR','IGI Life Insurance Ltd.(R) ','READY',2.34,.34,1.34
'REG','MACTER','Macter International Limited. ','READY',84.42,76.38,80.4
'REG','AEL','Arshad Energy Limited. ','READY',6.2,4.2,5.2
'REG','IGIHL','IGI Holdings Limited. ','READY',215.775,195.225,205.5
'REG','NRSL','Nimir Resins Limited. ','READY',7.97,5.97,6.97
'REG','786','786 Investments Limited ','READY',28.2345,25.5455,26.89
'REG','TRPOLR','Tri-Star Polyester Ltd(R) ','READY',1,.01,0
'REG','BNL','Bunny's Limited ','READY',23.1,20.9,22
'REG','WAVES','WAVES Singer Pakistan Ltd. ','READY',26.0715,23.5885,24.83
'REG','BIPLS','BIPL Securities Ltd. ','READY',8.47,6.47,7.47
'REG','EFGH','EFG Hermes Pakistan Ltd. ','READY',26.145,23.655,24.9
'REG','PREMA','At-Tahur Ltd. ','READY',20.99,18.99,19.99
'REG','HCL','Hallmark Company Limited. ','READY',55.1565,49.9035,52.53
'REG','AWWAL','Awwal Modaraba. ','READY',11.5,9.5,10.5
'REG','FCEL','First Capital Equities Ltd. [ DEFAULTER SEGMENT ]','READY',10.49,8.49,9.49
'REG','FTMM','First Treet Manufacturing Modaraba. ','READY',11.9,9.9,10.9
'REG','MSOTPS','Masood Textile Mills Ltd.(PS).(XD) ','READY',7.12,5.12,6.12
'REG','SLL','SME Leasing Ltd. ','READY',4.05,2.05,3.05
'REG','NCPL','Nishat Chunian Power Ltd. ','READY',20.01,18.01,19.01
