MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','SML','Shakarganj Limited. ','READY',33.8625,29.1375,31.5
'REG','TSBLR','Trust Securities & Brokerage.(R) ','READY',1,.01,0
'REG','ANTM','AN Textile Mills Ltd. ','READY',12.4,10.4,11.4
'REG','ITTEFAQ','Ittefaq Iron Industries Limited. ','READY',8.28,6.28,7.28
'REG','NAFAMMFO','NAFA Money Market ','READY',10.9,8.9,9.9
'REG','ANLNVR','Azgard Nine. (Non-Voting).(R) ','READY',1.01,.01,.01
'REG','ANLR','Azgard Nine Limited.(R) ','READY',1.05,.01,.05
'REG','ISILR1','Ismail Industries Ltd.(R) ','READY',17.5763,15.1238,16.35
'REG','HASCOLR1','Hascol Petroleum Ltd.(R) ','READY',11.18,9.18,10.18
'REG','ASTL','Amreli Steels Limited. ','READY',37.6465,32.3935,35.02
'REG','ORM','Orient rental Modaraba. ','READY',8,6,7
'REG','GHGLR2','Ghani Glass Ltd.(R2) ','READY',43.4408,37.3793,40.41
'REG','PELPS','Pakistan Elektron Ltd.(PS) ','READY',12,10,11
'REG','GOC','GOC (PAK) Limited. ','READY',55.7388,47.9613,51.85
'REG','IGILR','IGI Life Insurance Ltd.(R) ','READY',2.34,.34,1.34
'REG','MACTER','Macter International Limited. ','READY',99.4375,85.5625,92.5
'REG','AEL','Arshad Energy Limited. ','READY',5,3,4
'REG','IGIHL','IGI Holdings Limited. ','READY',208.8188,179.6813,194.25
'REG','NRSL','Nimir Resins Limited. ','READY',7.22,5.22,6.22
'REG','786','786 Investments Limited ','READY',43.559,37.481,40.52
'REG','TRPOLR','Tri-Star Polyester Ltd(R) ','READY',1,.01,0
'REG','BNL','Bunny's Limited ','READY',23.65,20.35,22
'REG','WAVES','WAVES Singer Pakistan Ltd. ','READY',21.027,18.093,19.56
'REG','BIPLS','BIPL Securities Ltd. ','READY',9.2964,7.2964,8.2964
'REG','EFGH','EFG Hermes Pakistan Ltd. ','READY',17.028,14.652,15.84
'REG','PREMA','At-Tahur Ltd. ','READY',19.995,17.205,18.6
'REG','HCL','Hallmark Company Limited. ','READY',56.4698,48.5903,52.53
'REG','AWWAL','Awwal Modaraba. ','READY',12.76,10.76,11.76
'REG','FCEL','First Capital Equities Ltd. [ DEFAULTER SEGMENT ]','READY',10.49,8.49,9.49
'REG','FTMM','First Treet Manufacturing Modaraba. ','READY',12,10,11
'REG','MSOTPS','Masood Textile Mills Ltd.(PS).(XD) ','READY',7.12,5.12,6.12
'REG','SLL','SME Leasing Ltd. ','READY',3.53,1.53,2.53
'REG','BMAECFO','BMA Empress Cash Fund. ','READY',12.31,10.31,11.31
'REG','FMMFO','Faysal Money Market Fund ','READY',122.679,105.561,114.12
'REG','AGP','AGP Limited. ','READY',121.0773,104.1828,112.63
'REG','FCEPL','Frieslandcampina Engro Pakistan Ltd. ','READY',76.6475,65.9525,71.3
'REG','FFL','Fauji Foods Limited. ','READY',11.74,9.74,10.74
'REG','EPQL','Engro Powergen Qadirpur Ltd. ','READY',21.93,18.87,20.4
'REG','ARPL','Archroma Pakistan Limited. ','READY',608.9015,523.9385,566.42
'REG','POML','Punjab Oil Mills Ltd. ','READY',161.809,139.231,150.52
'REG','ANSM','Ansari Sugar Mills Ltd. [ DEFAULTER SEGMENT ]','READY',6.81,4.81,5.81
'REG','ASLCPS','Aisha Steel Mills Convertible Cumul ','READY',46.225,39.775,43
'REG','ISL','International Steels Limited. ','READY',55.7603,47.9798,51.87
'REG','PICICCFO','PICIC Cash Fund ','READY',108.6288,93.4713,101.05
'REG','AGL','Agritech Limited ','READY',6.05,4.05,5.05
'REG','AMTEX','Amtex Limited. [ DEFAULTER SEGMENT ]','READY',1.56,.01,.56
'REG','SMBL','Summit Bank Limited. [ DEFAULTER SEGMENT ]','READY',2.09,.09,1.09
'REG','ASCFO','Askari Sovereign Cash Fund ','READY',122.1093,105.0708,113.59
'REG','UBLGSFO','UBL Government Securities Fund ','READY',113.5682,97.7214,105.6448
'REG','JVDCPS','Javedan Corporation Ltd-Non Voting. ','READY',9,7,8
'REG','PRLR1','Pakistan Refinery Ltd.(R) ','READY',2.89,.89,1.89
'REG','AHCL','Arif Habib Corporation Ltd. ','READY',30.8955,26.5845,28.74
'REG','FML','Feroze1888 Mills Ltd. ','READY',83.0868,71.4933,77.29
'REG','AVN','Avanceon Limited.(XB) ','READY',41.3123,35.5478,38.43
'REG','ABLCFO','ABL Cash Fund ','READY',11.2,9.2,10.2
'REG','NBPIMMF','NBP Islamic Money Market Fund ','READY',12.18,10.18,11.18
'REG','UBLMMF','UBL Money Market Fund ','READY',121.002,104.118,112.56
'REG','ALAC','Askari Life Assurance Company Ltd. ','READY',9.25,7.25,8.25
'REG','UNITY','Unity Foods Limited. ','READY',14.01,12.01,13.01
'REG','HMM','Habib Metro Modaraba.(XD) ','READY',8.25,6.25,7.25
'REG','DMIL','D. M. Industries Limited. ','READY',17.5225,15.0775,16.3
'REG','PIB01W','PIB01W ','READY',2,.01,1
'REG','PIB02W','PIB02W ','READY',2,.01,1
'REG','PIB01M','PIB01M ','READY',2,.01,1
'REG','PIB02M','PIB02M ','READY',2,.01,1
'REG','PIB03M','PIB03M ','READY',2,.01,1
'REG','PIB04M','PIB04M ','READY',2,.01,1
'REG','PIB06M','PIB06M ','READY',2,.01,1
'REG','PIB09M','PIB09M ','READY',2,.01,1
'REG','PIB01Y','PIB01Y ','READY',2,.01,1
'REG','PIB02Y','PIB02Y ','READY',2,.01,1
'REG','PIB03Y','PIB03Y ','READY',2,.01,1
'REG','PIB04Y','PIB04Y ','READY',2,.01,1
'REG','PIB05Y','PIB05Y ','READY',2,.01,1
'REG','PIB06Y','PIB06Y ','READY',2,.01,1
'REG','PIB07Y','PIB07Y ','READY',2,.01,1
'REG','PIB08Y','PIB08Y ','READY',2,.01,1
'REG','PIB09Y','PIB09Y ','READY',2,.01,1
'REG','PIB10Y','PIB10Y ','READY',2,.01,1
'REG','PIB15Y','PIB15Y ','READY',2,.01,1
'REG','PIB20Y','PIB20Y ','READY',2,.01,1
'REG','PIB30Y','PIB30Y ','READY',2,.01,1
'REG','HTL','Hi-Tech Lubricants Limited. ','READY',33.0133,28.4068,30.71
'REG','ORIXM','Orix Modaraba.(XD) ','READY',18.8125,16.1875,17.5
'REG','GSKCH','Glaxo SmithKline Healthcare Pak Ltd. ','READY',309.9548,266.7053,288.33
'REG','MFL','Matco Foods Limited. ','READY',21.3495,18.3705,19.86
'REG','TPLI','TPL Insurance Ltd. ','READY',21.0378,18.1023,19.57
'REG','GVGLR2','Ghani Value Glass Limited.(R2) ','READY',1,.01,0
'REG','SAZEWR','Sazgar Engineering Works Ltd.(R) ','READY',52.073,44.807,48.44
'REG','LOADS','Loads Limited. ','READY',15.652,13.468,14.56
'REG','OML','Olympia Mills Limited. [ DEFAULTER SEGMENT ]','READY',11.05,9.05,10.05
'REG','TPLP','TPL Properties Limited. ','READY',6.69,4.69,5.69
'REG','PIM','Popular Islamic Madaraba ','READY',4.15,2.15,3.15
'REG','UBLP-ETF','UBL Pakistan Enterprise ETF. ','READY',12.427,10.693,11.56
'REG','NITG-ETF','NIT Pakistan Gateway  ETF. ','READY',11.0188,9.4813,10.25
'REG','PAKOXY','Pakistan Oxygen Limited. ','READY',183.0725,157.5275,170.3
'REG','KOSM','Kohinoor Spinning Mills Ltd. ','READY',2.66,.66,1.66
'REG','KPUS','Khairpur Sugar Mills Ltd. ','READY',49.9553,42.9848,46.47
'REG','KSBP','KSB Pumps Co Ltd. ','READY',158.0358,135.9843,147.01
'REG','KSTM','Khalid Siraj Textile Mills Ltd [ DEFAULTER SEGMENT ]','READY',1.7,.01,.7
'REG','LEUL','Leather Up Ltd. ','READY',13.36,11.36,12.36
'REG','LMSM','Landmark Spinning Mills Limite [ DEFAULTER SEGMENT ]','READY',13,11,12
'REG','LPGL','Leiner Pak Gelantine Limited. ','READY',17.2,14.8,16
'REG','LUCK','Lucky Cement Limited. ','READY',487.233,419.247,453.24
'REG','MARI','Mari Petroleum Company Ltd. ','READY',1325.8943,1140.8858,1233.39
'REG','MEBL','Meezan Bank Limited. ','READY',73.745,63.455,68.6
'REG','MEHT','Mehmood Textile Mills Ltd. ','READY',533.8988,459.4013,496.65
'REG','MERIT','Merit Packaging Ltd. ','READY',12.64,10.64,11.64
'REG','MFFL','Mitchells Fruit Farms Ltd. ','READY',225.75,194.25,210
'REG','MFTM','Mohammed Farooq Textile Mills [ DEFAULTER SEGMENT ]','READY',4.49,2.49,3.49
'REG','MIRKS','Mirpurkhas Sugar Mills Ltd. ','READY',66.6393,57.3408,61.99
'REG','AAL','Agro Allianz limited. ','READY',17.2,14.8,16
'REG','EPCL','Engro Polymer & Chemicals Ltd. ','READY',28.7133,24.7068,26.71
'REG','ZIL','ZIL Limited. ','READY',142.975,123.025,133
'REG','AABS','Al-Abbas Sugar Mills Ltd.(XD) ','READY',253.9258,218.4943,236.21
