MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','NRSL','Nimir Resins Limited. ','READY',14.4373,12.4228,13.43
'REG','INDU','Indus Motor Company Ltd. ','READY',1166.375,1003.625,1085
'REG','ISL','International Steels Limited. ','READY',89.7625,77.2375,83.5
'REG','HGFA','HBL Growth Fund ','READY',9.1,7.1,8.1
'REG','DCL','Dewan Cement Limited. ','READY',10.02,8.02,9.02
'REG','RAVT','Ravi Textile Mills Ltd. ','READY',22.79,19.61,21.2
'REG','FDIBL','First Dawood Investment Bank Ltd. ','READY',3.26,1.26,2.26
'REG','EFERT','Engro Fertilizers Limited. ','READY',72.6485,62.5115,67.58
'REG','CCM','Crescent Cotton Mills Limited. ','READY',56.975,49.025,53
'REG','FFC','Fauji Fertilizer Co. Ltd. ','READY',113.2405,97.4395,105.34
'REG','ICI','ICI Pakistan Limited. ','READY',911.4603,784.2798,847.87
'REG','MIRKS','Mirpurkhas Sugar Mills Ltd. ','READY',107.4893,92.4908,99.99
'REG','FABL','Faysal Bank Limited. ','READY',17.071,14.689,15.88
'REG','POML','Punjab Oil Mills Ltd. ','READY',217.9025,187.4975,202.7
'REG','ASLPS','Aisha Steel Mills Convertibl  Pre-Sh ','READY',29.584,25.456,27.52
'REG','ITTEFAQ','Ittefaq Iron Industries Limited. ','READY',15.7165,13.5235,14.62
'REG','MACTER','Macter International Limited. ','READY',136.8583,117.7618,127.31
'REG','PIB06Y','PIB06Y ','READY',2,.01,1
'REG','DEL','Dawood Equities Ltd. ','READY',7.22,5.22,6.22
'REG','DLL','Dawood Lawrencepur Ltd. ','READY',237.5535,204.4065,220.98
'REG','NETSOL','NetSol Technologies Ltd. ','READY',191.4683,164.7518,178.11
'REG','SAPL','Sanofi-Aventis Pakistan Ltd.(XD) ','READY',912.89,785.51,849.2
'REG','TBIL00080015','TBILL00080015 ','READY',2,.01,1
'REG','SERF','Service Fabrics Ltd. ','READY',20.5755,17.7045,19.14
'REG','PIB20Y','PIB20Y ','READY',2,.01,1
