MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','UBLPETF','UBL Pakistan Enterprise ETF. ','READY',14.2438,12.2563,13.25
'REG','NITGETF','NIT Pakistan Gateway  ETF. ','READY',12.5345,10.7855,11.66
'REG','MZNPETF','Meezan Pakistan ETF ','READY',9.6858,8.3343,9.01
'REG','NBPGETF','NBP Pakistan Growth ETF ','READY',11.7068,10.0733,10.89
'REG','ITTEFAQ','Ittefaq Iron Industries Limited. ','READY',14.9103,12.8298,13.87
'REG','NAFAMMFO','NAFA Money Market ','READY',10.93,8.93,9.93
'REG','TPLT','TPL Trakker Limited. ','READY',17.3935,14.9665,16.18
'REG','ANLNVR','Azgard Nine. (Non-Voting).(R) ','READY',1.01,.01,.01
'REG','ANLR','Azgard Nine Limited.(R) ','READY',1.05,.01,.05
'REG','HASCOLR1','Hascol Petroleum Ltd.(R) ','READY',11.18,9.18,10.18
'REG','TOMCL','The Organic Meat Company Ltd.(XB) ','READY',37.668,32.412,35.04
'REG','ASTL','Amreli Steels Limited. ','READY',48.3428,41.5973,44.97
'REG','ORM','Orient Rental Modaraba. ','READY',7.66,5.66,6.66
'REG','CASH','Calcorp Limited ','READY',20.425,17.575,19
'REG','GHGLR2','Ghani Glass Ltd.(R2) ','READY',43.4408,37.3793,40.41
'REG','ALHIMMF','Al Hamra Islamic Mony Market Fund ','READY',106.9733,92.0468,99.51
'REG','PELPS','Pakistan Elektron Ltd.(PS) ','READY',12,10,11
'REG','GOC','GOC (PAK) Limited. ','READY',59.2648,50.9953,55.13
'REG','IGILR','IGI Life Insurance Ltd.(R) ','READY',2.34,.34,1.34
'REG','MACTER','Macter International Limited. ','READY',127.5703,109.7698,118.67
'REG','PTL','Panther Tyres Limited ','READY',44.8275,38.5725,41.7
'REG','AEL','Arshad Energy Limited. [ DEFAULTER SEGMENT ]','READY',29.3475,25.2525,27.3
'REG','IGIHL','IGI Holdings Limited. ','READY',177.2998,152.5603,164.93
'REG','NRSL','Nimir Resins Limited. ','READY',22.9083,19.7118,21.31
'REG','786','786 Investments Limited ','READY',8.5,6.5,7.5
'REG','BNL','Bunnys Limited ','READY',33.325,28.675,31
'REG','WAVES','WAVES Singer Pakistan Ltd. ','READY',19.8768,17.1033,18.49
'REG','OCTOPUS','Octopus Digital Limited ','READY',81.9795,70.5405,76.26
'REG','BIPLS','BIPL Securities Ltd. ','READY',43.5268,37.4533,40.49
'REG','EFGH','EFG Hermes Pakistan Ltd. ','READY',23.0373,19.8228,21.43
'REG','PREMA','At-Tahur Ltd. ','READY',29.3798,25.2803,27.33
'REG','HCL','Hallmark Company Limited. ','READY',215.5375,185.4625,200.5
'REG','AWWAL','Awwal Modaraba. ','READY',12.2273,10.2273,11.2273
'REG','FCEL','First Capital Equities Ltd. [ DEFAULTER SEGMENT ]','READY',10.49,8.49,9.49
'REG','FTMM','First Treet Manufacturing Modaraba. ','READY',14.8243,12.7558,13.79
'REG','MSOTPS','Masood Textile Mills Ltd.(PS).(XD) ','READY',7.42,5.42,6.42
'REG','SLL','SME Leasing Ltd. ','READY',4.5,2.5,3.5
'REG','JSCLPSA','Jahangir Siddiqui & Co. (Non-V Preferen) ','READY',9.95,7.95,8.95
'REG','FFLR1','Fauji Foods Limited.(R) ','READY',3.36,1.36,2.36
'REG','MODAMR','Modarba Al-Mali.(R) ','READY',1.82,.01,.82
'REG','MERITR2','Merit Packaging Ltd.(R2) ','READY',1.52,.01,.52
'REG','AGL','Agritech Limited ','READY',5.32,3.32,4.32
'REG','AMTEX','Amtex Limited. [ DEFAULTER SEGMENT ]','READY',1.56,.01,.56
'REG','SMBL','Summit Bank Limited. [ DEFAULTER SEGMENT ]','READY',3.2,1.2,2.2
'REG','ASCFO','Askari Sovereign Cash Fund ','READY',113.4233,97.5968,105.51
'REG','UBLGSFO','UBL Government Securities Fund ','READY',113.5682,97.7214,105.6448
'REG','JVDCPS','Javedan Corporation Ltd-Non Voting. ','READY',18.6835,16.0765,17.38
'REG','AHCL','Arif Habib Corporation Ltd. ','READY',36.7113,31.5888,34.15
'REG','FML','Feroze1888 Mills Ltd. ','READY',97.1693,83.6108,90.39
'REG','AVN','Avanceon Limited. ','READY',110.854,95.386,103.12
'REG','ABLCFO','ABL Cash Fund ','READY',11.21,9.21,10.21
'REG','NBPIMMF','NBP Islamic Money Market Fund ','READY',11.32,9.32,10.32
'REG','UBLMMF','UBL Money Market Fund ','READY',111.5528,95.9873,103.77
'REG','ALAC','Askari Life Assurance Company Ltd. ','READY',8,6,7
'REG','UNITY','Unity Foods Limited. ','READY',31.175,26.825,29
'REG','HMM','Habib Metro Modaraba. ','READY',9.21,7.21,8.21
'REG','PIB01W','PIB01W ','READY',2,.01,1
'REG','PIB02W','PIB02W ','READY',2,.01,1
'REG','PIB01M','PIB01M ','READY',2,.01,1
'REG','PIB02M','PIB02M ','READY',2,.01,1
'REG','PIB03M','PIB03M ','READY',2,.01,1
'REG','PIB04M','PIB04M ','READY',2,.01,1
'REG','PIB06M','PIB06M ','READY',2,.01,1
'REG','PIB09M','PIB09M ','READY',2,.01,1
'REG','PIB01Y','PIB01Y ','READY',2,.01,1
'REG','PIB02Y','PIB02Y ','READY',2,.01,1
'REG','PIB03Y','PIB03Y ','READY',2,.01,1
'REG','PIB04Y','PIB04Y ','READY',2,.01,1
'REG','PIB05Y','PIB05Y ','READY',2,.01,1
'REG','PIB06Y','PIB06Y ','READY',2,.01,1
'REG','PIB07Y','PIB07Y ','READY',2,.01,1
'REG','PIB08Y','PIB08Y ','READY',2,.01,1
'REG','PIB09Y','PIB09Y ','READY',2,.01,1
'REG','PIB10Y','PIB10Y ','READY',2,.01,1
'REG','PIB15Y','PIB15Y ','READY',2,.01,1
'REG','PIB20Y','PIB20Y ','READY',2,.01,1
'REG','PIB30Y','PIB30Y ','READY',2,.01,1
'REG','HTL','Hi-Tech Lubricants Limited.(XB) ','READY',56.7493,48.8308,52.79
'REG','ORIXM','Orix Modaraba. ','READY',17.2215,14.8185,16.02
'REG','GSKCH','Glaxo SmithKline Healthcare Pak Ltd. ','READY',276.5653,237.9748,257.27
'REG','MFL','Matco Foods Limited. ','READY',31.0568,26.7233,28.89
'REG','TPLI','TPL Insurance Ltd. ','READY',36.593,31.487,34.04
'REG','ICCI','ICC Industries Ltd. [ DEFAULTER SEGMENT ]','READY',2.9,.9,1.9
'REG','EPCLPS','Engro Polymer & Chemical Pref.Shares(XD) ','READY',12.15,10.15,11.15
'REG','GVGLR2','Ghani Value Glass Limited.(R2) ','READY',1,.01,0
'REG','SAZEWR','Sazgar Engineering Works Ltd.(R) ','READY',52.073,44.807,48.44
'REG','AICF','Al-Ameen Islamic Cash Fund ','READY',108.4245,93.2955,100.86
'REG','IML','Imperial Limited [ DEFAULTER SEGMENT ]','READY',23.048,19.832,21.44
'REG','FFBLR','Fauji Fertilizer Bin Qasim Ltd.(R) ','READY',9.9,7.9,8.9
'REG','LOADS','Loads Limited. ','READY',16.168,13.912,15.04
'REG','OML','Olympia Mills Limited. ','READY',22.5535,19.4065,20.98
'REG','TPLP','TPL Properties Limited.(XB) ','READY',54.653,47.027,50.84
'REG','AIRLINK','Air Link Communication Limited(XB) ','READY',68.3485,58.8115,63.58
'REG','PIM','Popular Islamic Madaraba ','READY',11.58,9.58,10.58
'REG','BECO','Beco Steel Limited ','READY',23.1125,19.8875,21.5
'REG','PAKOXY','Pakistan Oxygen Limited. ','READY',168.775,145.225,157
'REG','SML','Shakarganj Limited. ','READY',52.6535,45.3065,48.98
'REG','SGF','Service Global Footwear Limited ','READY',53.5135,46.0465,49.78
'REG','TSBLR','Trust Securities & Brokerage.(R) ','READY',1,.01,0
'REG','ANTM','AN Textile Mills Ltd. ','READY',15.05,12.95,14
'REG','POWERPS','Power cement Ltd. Preference Shares ','READY',11,9,10
'REG','IMAGE','Image Pakistan Limited ','READY',19.7478,16.9923,18.37
'REG','AKDHL','AKD Hospitality Limited ','READY',336.475,289.525,313
'REG','CPHL','Citi Pharma Limited (XDXB) ','READY',38.8505,33.4295,36.14
'REG','PABC','Pakistan Aluminium Beverage Cans Ltd ','READY',39.2375,33.7625,36.5
'REG','MFFL','Mitchells Fruit Farms Ltd. ','READY',418.7555,360.3245,389.54
'REG','MFTM','Mohammed Farooq Textile Mills [ DEFAULTER SEGMENT ]','READY',4.49,2.49,3.49
'REG','MIRKS','Mirpurkhas Sugar Mills Ltd. ','READY',123.5713,106.3288,114.95
'REG','AAL','Agro Allianz limited. ','READY',17.2,14.8,16
'REG','EPCL','Engro Polymer & Chemicals Ltd. ','READY',63.3175,54.4825,58.9
'REG','ZIL','ZIL Limited. ','READY',90.4075,77.7925,84.1
'REG','AABS','Al-Abbas Sugar Mills Ltd. ','READY',330.025,283.975,307
'REG','AASM','Al-Abid Silk Mills Limited. [ DEFAULTER SEGMENT ]','READY',4.49,2.49,3.49
'REG','ABOT','Abbott Laboratories Pak Ltd. ','READY',806.1748,693.6853,749.93
'REG','ABSON','Abson Industries Limited [ DEFAULTER SEGMENT ]','READY',3.5,1.5,2.5
'REG','ACPL','Attock Cement Pak Ltd. ','READY',138.8685,119.4915,129.18
'REG','ADAMS','Adam Sugar Mills Limited. ','READY',36.55,31.45,34
'REG','ADMM','Artistic Denim Mills Limited. ','READY',88.15,75.85,82
'REG','ADOS','Ados Pakistan Limited. ','READY',20.8443,17.9358,19.39
'REG','AGIC','Askari Gen Insurance Co. ','READY',21.5108,18.5093,20.01
'REG','AGIL','Agriautos Industries Co. Ltd. ','READY',243.4875,209.5125,226.5
'REG','AGTL','Al-Ghazi Tractors Limited. ','READY',374.0248,321.8353,347.93
'REG','AHTM','Ahmed Hassan Textile Mills Ltd. ','READY',70.7995,60.9205,65.86
'REG','AICL','Adamjee Insurance Co. Ltd. ','READY',40.1835,34.5765,37.38
'REG','ALNRS','Al-Noor Sugar Mills Ltd. ','READY',83.85,72.15,78
'REG','ALTN','Altern Energy Ltd. ','READY',25.155,21.645,23.4
'REG','CYAN','Cyan Limited. ','READY',36.8188,31.6813,34.25
'REG','EMCO','EMCO Industries Ltd. ','READY',40.0545,34.4655,37.26
'REG','ENGL','English Leasing [ DEFAULTER SEGMENT ]','READY',1.65,.01,.65
'REG','ENGRO','Engro Corporation Limited.(XD) ','READY',301.7418,259.6383,280.69
'REG','ESBL','Escorts Investment Bank Ltd. ','READY',9.81,7.81,8.81
'REG','EWIC','East West Ins. Co. Ltd.(XB) ','READY',98.2443,84.5358,91.39
'REG','EXTR','Extraction (Pakistan) [ DEFAULTER SEGMENT ]','READY',16.2325,13.9675,15.1
'REG','FABL','Faysal Bank Limited. ','READY',27.262,23.458,25.36
'REG','FAEL','Fatima Enterprises Ltd. [ DEFAULTER SEGMENT ]','READY',15.3725,13.2275,14.3
'REG','FASM','Faisal Spinning Mills Ltd.(XD) ','READY',459.7775,395.6225,427.7
'REG','ANLNV','Azgard Nine. (Non-Voting). ','READY',8,6,7
