MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE

'REG','786','786 Investments Limited','READY',6.42,4.42,5.42
'REG','AABS','Al-Abbas Sugar Mills Limited(XD)','READY',505.13,434.65,469.89
'REG','AAL','Agro Allianz Limited','READY',17.2,14.8,16
'REG','AASM','Al-Abid Silk Mills Limited','READY',4.49,2.49,3.49
'REG','AATM','Ali Asghar Textile Mills Limited','READY',3.07,1.07,2.07
'REG','ABL','Allied Bank Limited','READY',72.06,62,67.03
'REG','ABOT','Abbott Laboratories (Pakistan) Limited','READY',426.87,367.31,397.09
'REG','ABSON','Abson Industries Limited','READY',3.5,1.5,2.5
'REG','ACIETF','Alfalah Consumer Index (ETF)','READY',7.35,6.33,6.44
'REG','ACPL','Attock Cement Pakistan Limited','READY',89.24,76.78,83.01
'REG','ADAMS','Adam Sugar Mills Limited','READY',36.55,31.45,34
'REG','ADMM','Artistic Denim Mills Limited','READY',61.71,53.1,57.4
'REG','AEL','AEL Textile Limited','READY',13.7,11.7,12.7
'REG','AGHA','Agha Steel Ind.Ltd','READY',11.46,9.46,10.46
'REG','AGIC','Askari General Insurance Company Limited','READY',15.79,13.59,14.69
'REG','AGIL','Agriauto Industries Limited','READY',63.58,54.7,59.14
'REG','AGL','Agritech Limited','READY',5.76,3.76,4.76
'REG','AGLNCPS','Agritech Non-Voting (Pref) Class A','READY',3,1,2
'REG','AGP','AGP Limited','READY',57.32,49.32,53.32
'REG','AGSML','Abdullah Shah Ghazi Sugar Mills Limited','READY',6.2,4.2,5.2
'REG','AGTL','Al-Ghazi Tractors Limited','READY',290.25,249.75,270
'REG','AHCL','Arif Habib Corporation Limited','READY',26.61,22.89,24.75
'REG','AHL','Arif Habib Limited','READY',31.18,26.83,29
'REG','AHTM','Ahmad Hassan Textile Mills Limited','READY',55.47,47.73,51.6
'REG','AICL','Adamjee Insurance Company Limited','READY',25.12,21.62,23.37
'REG','AIRLINK','Air Link Communication Limited','READY',23.56,20.28,21.92
'REG','AKBL','Askari Bank Limited','READY',15.31,13.17,14.24
'REG','AKDHL','AKD Hospitality Limited','READY',112.81,97.07,104.94
'REG','AKDSL','AKD Securities Limited','READY',23.8,20.48,22.14
'REG','AKGL','Al-Khair Gadoon Limited','READY',30.1,25.9,28
'REG','ALAC','Askari Life Assurance Company Limited','READY',5.9,3.9,4.9
'REG','ALIFE','Adamjee Life Assurance Company Limited','READY',14.95,12.87,13.91
'REG','ALNRS','Al-Noor Sugar Mills Limited','READY',60.09,51.71,55.9
'REG','ALTN','Altern Energy Limited','READY',15.05,12.95,14
'REG','AMBL','Apna Microfinance Bank Limited','READY',17.74,15.26,16.5
'REG','AMSL','Al-Mal Securities & Services Limited','READY',1.62,0.01,0.62
'REG','AMTEX','Amtex Limited','READY',1.56,0.01,0.56
'REG','ANL','Azgard Nine Limited','READY',7.29,5.29,6.29
'REG','ANLNV','Azgard Nine Non-Voting Ordinary Shares','READY',8,6,7
'REG','ANLPS','Azgard Nine 8.95%(Pref)','READY',10.8,8.8,9.8
'REG','ANNT','Annoor Textile Mills Limited','READY',12.38,10.38,11.38
'REG','ANSM','Ansari Sugar Mills Limited','READY',6.81,4.81,5.81
'REG','ANTM','AN Textile Mills Limited','READY',9.5,7.5,8.5
'REG','APL','Attock Petroleum Limited','READY',326.63,281.05,303.84
'REG','APOT','Apollo Textile Mills Limited','READY',31.73,27.31,29.52
'REG','ARCTM','Arctic Textile Mills Limited','READY',11,9,10
'REG','ARM','Allied Rental Modaraba','READY',30.1,25.9,28
'REG','ARPAK','Arpak International Investments Ltd.','READY',65.58,56.43,61
'REG','ARPL','Archroma Pakistan Limited','READY',489.21,420.95,455.08
'REG','ARUJ','Aruj Industries Limited','READY',9,7,8
'REG','ASC','Al Shaheer Corporation Limited','READY',8.94,6.94,7.94
'REG','ASHT','Ashfaq Textile Mills Limited','READY',8.06,6.06,7.06
'REG','ASIC','Asia Insurance Company Limited','READY',15.17,13.05,14.11
'REG','ASL','Aisha Steel Mills Limited','READY',6.77,4.77,5.77
'REG','ASLCPS','Aisha Steel Convt (Pref) Right','READY',36.61,31.51,34.06
'REG','ASLPS','Aisha Steel Convertible (Pref)','READY',17.93,15.43,16.68
'REG','ASTL','Amreli Steels Limited','READY',18.61,16.01,17.31
'REG','ASTM','Asim Textile Mills Limited','READY',6.6,4.6,5.6
'REG','ATBA','Atlas Battery Limited','READY',243.98,209.94,226.96
'REG','ATIL','Atlas Insurance Limited(XD)','READY',52.68,45.33,49
'REG','ATLH','Atlas Honda Limited(XD)','READY',285.95,246.05,266
'REG','ATRL','Attock Refinery Limited','READY',184.92,159.12,172.02
'REG','AVN','Avanceon Limited(XB)','READY',54.67,47.05,50.86
'REG','AWTX','Allawasaya Tex. & Finishing Mills Ltd','READY',3472.05,2987.57,3229.81
'REG','AWWAL','Awwal Modaraba','READY',11,9,10
'REG','AZMT','Azmat Textile Mills Limited','READY',10.95,8.95,9.95
'REG','BAFL','Bank Alfalah Limited','READY',31.08,26.74,28.91
'REG','BAFS','Baba Farid Sugar Mills Limited','READY',29.03,24.98,27
'REG','BAHL','Bank AL Habib Limited','READY',46.74,40.22,43.48
'REG','BAPL','Bawany Air Products Limited','READY',10.5,8.5,9.5
'REG','BATA','Bata Pakistan Limited','READY',1837.52,1581.12,1709.32
'REG','BCL','Bolan Castings Limited','READY',35.89,30.89,33.39
'REG','BECO','Beco Steel Limited','READY',9.21,7.21,8.21
'REG','BELA','Bela Automotives Limited','READY',2.3,0.3,1.3
'REG','BERG','Berger Paints Pakistan Limited','READY',67.23,57.85,62.54
'REG','BFMOD','B.F. Modaraba','READY',5.5,3.5,4.5
'REG','BGL','Balochistan Glass Limited','READY',11.65,9.65,10.65
'REG','BHAT','Bhanero Textile Mills Limited','READY',1386.74,1193.24,1289.99
'REG','BIFO','Biafo Industries Limited','READY',74.15,63.81,68.98
'REG','BIIC','Business & Industrial Insurance Company','READY',4.6,2.6,3.6
'REG','BILF','Bilal Fibres Limited','READY',3.44,1.44,2.44
'REG','BIPL','BankIslami Pakistan Limited','READY',17.82,15.34,16.58
'REG','BNL','Bunnys Limited','READY',16.23,13.97,15.1
'REG','BNWM','Bannu Woollen Mills Limited','READY',24.03,20.67,22.35
'REG','BOK','The Bank of Khyber','READY',13.75,11.75,12.75
'REG','BOP','The Bank of Punjab','READY',4.71,2.71,3.71
'REG','BPL','Burshane LPG (Pakistan) Limited','READY',16.66,14.34,15.5
'REG','BRR','B.R.R. Guardian Modaraba','READY',12.06,10.06,11.06
'REG','BTL','Blessed Textiles Limited','READY',442.9,381.1,412
'REG','BUXL','Buxly Paints Limited','READY',86.99,74.85,80.92
'REG','BWCL','Bestway Cement Limited','READY',161.25,138.75,150
'REG','BWHL','Baluchistan Wheels Limited','READY',72.03,61.98,67
'REG','CASH','Calcorp Limited','READY',19.87,17.09,18.48
'REG','CCM','Crescent Cotton Mills Limited','READY',34.81,29.95,32.38
'REG','CENI','Century Insurance Company Limited','READY',17.74,15.26,16.5
