MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE

'REG','786','786 Investments Limited','READY',6.28,4.28,5.28
'REG','AABS','Al-Abbas Sugar Mills Limited','READY',566.72,468.38,517.55
'REG','AAL','Agro Allianz Limited(DEF)','READY',17.52,14.48,16
'REG','AASM','Al-Abid Silk Mills Limited(DEF)','READY',4.49,2.49,3.49
'REG','AATM','Ali Asghar Textile Mills Limited(DEF)','READY',51.29,42.39,46.84
'REG','ABL','Allied Bank Limited','READY',137.94,114,125.97
'REG','ABOT','Abbott Laboratories (Pakistan) Limited','READY',850.77,703.15,776.96
'REG','ABSON','Abson Industries Limited(DEF)','READY',3.5,1.5,2.5
'REG','ACIETF','Alfalah Consumer Index (ETF)(XD)','READY',11.58,9.56,10.69
'REG','ACPL','Attock Cement Pakistan Limited','READY',107.52,88.86,98.19
'REG','ADAMS','Adam Sugar Mills Limited','READY',52,42.98,47.49
'REG','ADMM','Artistic Denim Mills Limited','READY',46.65,38.55,42.6
'REG','AGHA','Agha Steel Ind.Ltd','READY',10.93,8.93,9.93
'REG','AGIC','Askari General Insurance Company Limited','READY',21.35,17.65,19.5
'REG','AGIL','Agriauto Industries Limited','READY',102.27,84.53,93.4
'REG','AGL','Agritech Limited','READY',26.54,21.94,24.24
'REG','AGLNCPS','Agritech Non-Voting (Pref) Class A','READY',19.56,16.16,17.86
'REG','AGP','AGP Limited','READY',109.3,90.34,99.82
'REG','AGSML','Abdullah Shah Ghazi Sugar Mills Limited','READY',7.25,5.25,6.25
'REG','AGTL','Al-Ghazi Tractors Limited','READY',388.67,321.23,354.95
'REG','AHCL','Arif Habib Corporation Limited','READY',61.64,50.94,56.29
'REG','AHL','Arif Habib Limited','READY',66.88,55.28,61.08
'REG','AHTM','Ahmad Hassan Textile Mills Limited','READY',68.88,56.92,62.9
'REG','AICL','Adamjee Insurance Company Limited','READY',41.31,34.15,37.73
