MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE

'REG','786','786 Investments Limited','READY',6.2,4.2,5.2
'REG','AABS','Al-Abbas Sugar Mills Limited','READY',624.47,537.33,580.9
'REG','AAL','Agro Allianz Limited','READY',17.2,14.8,16
'REG','AASM','Al-Abid Silk Mills Limited','READY',4.49,2.49,3.49
'REG','AATM','Ali Asghar Textile Mills Limited','READY',3.07,1.07,2.07
'REG','ABL','Allied Bank Limited','READY',105.79,91.03,98.41
'REG','ABOT','Abbott Laboratories (Pakistan) Limited','READY',741.44,637.98,689.71
'REG','ABSON','Abson Industries Limited','READY',3.5,1.5,2.5
'REG','ACIETF','Alfalah Consumer Index (ETF)','READY',11.85,10.19,11.04
'REG','ACPL','Attock Cement Pakistan Limited','READY',109.73,94.41,102.07
'REG','ADAMS','Adam Sugar Mills Limited','READY',42.46,36.54,39.5
'REG','ADMM','Artistic Denim Mills Limited','READY',52.71,45.35,49.03
'REG','AGHA','Agha Steel Ind.Ltd','READY',11.04,9.04,10.04
'REG','AGIC','Askari General Insurance Company Limited','READY',20.37,17.53,18.95
'REG','AGIL','Agriauto Industries Limited','READY',99.98,86.03,93
'REG','AGL','Agritech Limited','READY',23.03,19.81,21.42
'REG','AGLNCPS','Agritech Non-Voting (Pref) Class A','READY',19.2,16.52,17.86
'REG','AGP','AGP Limited','READY',97.3,83.72,90.51
'REG','AGSML','Abdullah Shah Ghazi Sugar Mills Limited','READY',7.25,5.25,6.25
'REG','AGTL','Al-Ghazi Tractors Limited','READY',381.26,328.06,354.66
'REG','AHCL','Arif Habib Corporation Limited','READY',47.57,40.93,44.25
'REG','AHL','Arif Habib Limited','READY',60.64,52.18,56.41
'REG','AHTM','Ahmad Hassan Textile Mills Limited','READY',67.62,58.18,62.9
'REG','AICL','Adamjee Insurance Company Limited','READY',36.84,31.7,34.27
'REG','AIRLINK','Air Link Communication Limited','READY',80.47,69.25,74.86
'REG','AKBL','Askari Bank Limited','READY',23.87,20.54,22.2
'REG','AKDHL','AKD Hospitality Limited','READY',130.14,111.98,121.06
'REG','AKDSL','AKD Securities Limited','READY',19.35,16.65,18
'REG','AKGL','Al-Khair Gadoon Limited','READY',34.79,29.93,32.36
'REG','ALAC','Askari Life Assurance Company Limited','READY',5.75,3.75,4.75
'REG','ALIFE','Adamjee Life Assurance Company Limited','READY',37.63,32.38,35
'REG','ALNRS','Al-Noor Sugar Mills Limited','READY',112.34,96.66,104.5
'REG','ALTN','Altern Energy Limited','READY',28.39,24.43,26.41
'REG','AMBL','Apna Microfinance Bank Limited','READY',17.31,14.89,16.1
'REG','AMSL','Al-Mal Securities & Services Limited','READY',1.62,0.01,0.62
'REG','AMTEX','Amtex Limited','READY',1.56,0.01,0.56
'REG','ANL','Azgard Nine Limited','READY',9.74,7.74,8.74
'REG','ANLNV','Azgard Nine Non-Voting Ordinary Shares','READY',8,6,7
