Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',100.2435,90.6965,95.47
2014-Feb-2014-02-06,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',101.2515,91.6085,96.43
2014-Feb-2014-02-07,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',100.8735,91.2665,96.07
2014-Feb-2014-02-10,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',96.411,87.229,91.82
2014-Feb-2014-02-11,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',95.97,86.83,91.4
2014-Feb-2014-02-12,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',97.0725,87.8275,92.45
2014-Feb-2014-02-13,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',96.0435,86.8965,91.47
2014-Feb-2014-02-14,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',95.1615,86.0985,90.63
2014-Feb-2014-02-17,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',92.442,83.638,88.04
2014-Feb-2014-02-18,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',93.24,84.36,88.8
2014-Feb-2014-02-19,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',91.077,82.403,86.74
2014-Feb-2014-02-20,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',90.2055,81.6145,85.91
2014-Feb-2014-02-21,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',89.88,81.32,85.6
2014-Feb-2014-02-24,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',91.581,82.859,87.22
2014-Feb-2014-02-25,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',91.5705,82.8495,87.21
2014-Feb-2014-02-26,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',90.3,81.7,86.0
2014-Feb-2014-02-27,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',90.2895,81.6905,85.99
2014-Feb-2014-02-28,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',91.497,82.783,87.14
2014-Mar-2014-03-03,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',93.5235,84.6165,89.07
2014-Mar-2014-03-04,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',97.5765,88.2835,92.93
2014-Mar-2014-03-05,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',97.314,88.046,92.68
2014-Mar-2014-03-06,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',96.726,87.514,92.12
2014-Mar-2014-03-07,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',94.731,85.709,90.22
2014-Mar-2014-03-09,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',98.6895,89.2905,93.99
2014-Mar-2014-03-10,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',95.7495,86.6305,91.19
2014-Mar-2014-03-11,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',97.2615,87.9985,92.63
2014-Mar-2014-03-12,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',96.495,87.305,91.9
2014-Mar-2014-03-13,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',98.511,89.129,93.82
2014-Mar-2014-03-14,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',98.469,89.091,93.78
2014-Mar-2014-03-17,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',98.1855,88.8345,93.51
2014-Mar-2014-03-18,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',98.3115,88.9485,93.63
2014-Mar-2014-03-20,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',98.7945,89.3855,94.09
2014-Mar-2014-03-21,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',98.5215,89.1385,93.83
2014-Mar-2014-03-24,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',97.3455,88.0745,92.71
2014-Mar-2014-03-25,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',97.167,87.913,92.54
2014-Mar-2014-03-26,REG,'DGKC','D. G. Khan Cement Co. Ltd.','READY',97.4085,88.1315,92.77
