Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,REG,'EFERT','Engro Fertilizers Limited.','READY',49.35,44.65,47.0
2014-Feb-2014-02-06,REG,'EFERT','Engro Fertilizers Limited.','READY',49.1085,44.4315,46.77
2014-Feb-2014-02-07,REG,'EFERT','Engro Fertilizers Limited.','READY',51.5445,46.6355,49.09
2014-Feb-2014-02-10,REG,'EFERT','Engro Fertilizers Limited.','READY',51.744,46.816,49.28
2014-Feb-2014-02-11,REG,'EFERT','Engro Fertilizers Limited.','READY',54.033,48.887,51.46
2014-Feb-2014-02-12,REG,'EFERT','Engro Fertilizers Limited.','READY',56.7315,51.3285,54.03
2014-Feb-2014-02-13,REG,'EFERT','Engro Fertilizers Limited.','READY',59.5665,53.8935,56.73
2014-Feb-2014-02-14,REG,'EFERT','Engro Fertilizers Limited.','READY',58.1175,52.5825,55.35
2014-Feb-2014-02-17,REG,'EFERT','Engro Fertilizers Limited.','READY',56.847,51.433,54.14
2014-Feb-2014-02-18,REG,'EFERT','Engro Fertilizers Limited.','READY',55.818,50.502,53.16
2014-Feb-2014-02-19,REG,'EFERT','Engro Fertilizers Limited.','READY',56.8365,51.4235,54.13
2014-Feb-2014-02-20,REG,'EFERT','Engro Fertilizers Limited.','READY',56.8575,51.4425,54.15
2014-Feb-2014-02-21,REG,'EFERT','Engro Fertilizers Limited.','READY',59.6925,54.0075,56.85
2014-Feb-2014-02-24,REG,'EFERT','Engro Fertilizers Limited.','READY',62.6745,56.7055,59.69
2014-Feb-2014-02-25,REG,'EFERT','Engro Fertilizers Limited.','READY',61.992,56.088,59.04
2014-Feb-2014-02-26,REG,'EFERT','Engro Fertilizers Limited.','READY',62.958,56.962,59.96
2014-Feb-2014-02-27,REG,'EFERT','Engro Fertilizers Limited.','READY',62.7165,56.7435,59.73
2014-Feb-2014-02-28,REG,'EFERT','Engro Fertilizers Limited.','READY',62.6115,56.6485,59.63
2014-Mar-2014-03-03,REG,'EFERT','Engro Fertilizers Limited.','READY',59.5035,53.8365,56.67
2014-Mar-2014-03-04,REG,'EFERT','Engro Fertilizers Limited.','READY',58.548,52.972,55.76
2014-Mar-2014-03-05,REG,'EFERT','Engro Fertilizers Limited.','READY',59.1255,53.4945,56.31
2014-Mar-2014-03-06,REG,'EFERT','Engro Fertilizers Limited.','READY',60.249,54.511,57.38
2014-Mar-2014-03-07,REG,'EFERT','Engro Fertilizers Limited.','READY',59.9865,54.2735,57.13
2014-Mar-2014-03-09,REG,'EFERT','Engro Fertilizers Limited.','READY',59.766,54.074,56.92
2014-Mar-2014-03-10,REG,'EFERT','Engro Fertilizers Limited.','READY',59.1465,53.5135,56.33
2014-Mar-2014-03-11,REG,'EFERT','Engro Fertilizers Limited.','READY',60.0285,54.3115,57.17
2014-Mar-2014-03-12,REG,'EFERT','Engro Fertilizers Limited.','READY',62.013,56.107,59.06
2014-Mar-2014-03-13,REG,'EFERT','Engro Fertilizers Limited.','READY',61.2045,55.3755,58.29
2014-Mar-2014-03-14,REG,'EFERT','Engro Fertilizers Limited.','READY',60.711,54.929,57.82
2014-Mar-2014-03-17,REG,'EFERT','Engro Fertilizers Limited.','READY',60.4065,54.6535,57.53
2014-Mar-2014-03-18,REG,'EFERT','Engro Fertilizers Limited.','READY',59.997,54.283,57.14
2014-Mar-2014-03-20,REG,'EFERT','Engro Fertilizers Limited.','READY',60.0495,54.3305,57.19
2014-Mar-2014-03-21,REG,'EFERT','Engro Fertilizers Limited.','READY',59.6715,53.9885,56.83
2014-Mar-2014-03-24,REG,'EFERT','Engro Fertilizers Limited.','READY',59.409,53.751,56.58
2014-Mar-2014-03-25,REG,'EFERT','Engro Fertilizers Limited.','READY',62.37,56.43,59.4
2014-Mar-2014-03-26,REG,'EFERT','Engro Fertilizers Limited.','READY',62.9055,56.9145,59.91
2014-Mar-2014-03-27,REG,'EFERT','Engro Fertilizers Limited.','READY',62.5485,56.5915,59.57
2014-Mar-2014-03-28,REG,'EFERT','Engro Fertilizers Limited.','READY',61.761,55.879,58.82
2014-Mar-2014-03-31,REG,'EFERT','Engro Fertilizers Limited.','READY',62.685,56.715,59.7
2014-Apr-2014-04-01,REG,'EFERT','Engro Fertilizers Limited.','READY',63.882,57.798,60.84
2014-Apr-2014-04-02,REG,'EFERT','Engro Fertilizers Limited.','READY',63.63,57.57,60.6
2014-Apr-2014-04-03,REG,'EFERT','Engro Fertilizers Limited.','READY',64.5855,58.4345,61.51
2014-Apr-2014-04-04,REG,'EFERT','Engro Fertilizers Limited.','READY',64.281,58.159,61.22
