Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,REG,'ENGRO','Engro Corporation Limited.','READY',185.871,168.169,177.02
2014-Feb-2014-02-06,REG,'ENGRO','Engro Corporation Limited.','READY',186.8055,169.0145,177.91
2014-Feb-2014-02-07,REG,'ENGRO','Engro Corporation Limited.','READY',185.157,167.523,176.34
2014-Feb-2014-02-10,REG,'ENGRO','Engro Corporation Limited.','READY',180.222,163.058,171.64
2014-Feb-2014-02-11,REG,'ENGRO','Engro Corporation Limited.','READY',183.1515,165.7085,174.43
2014-Feb-2014-02-12,REG,'ENGRO','Engro Corporation Limited.','READY',192.3075,173.9925,183.15
2014-Feb-2014-02-13,REG,'ENGRO','Engro Corporation Limited.','READY',196.749,178.011,187.38
2014-Feb-2014-02-14,REG,'ENGRO','Engro Corporation Limited.','READY',189.924,171.836,180.88
2014-Feb-2014-02-17,REG,'ENGRO','Engro Corporation Limited.','READY',184.107,166.573,175.34
2014-Feb-2014-02-18,REG,'ENGRO','Engro Corporation Limited.','READY',184.9995,167.3805,176.19
2014-Feb-2014-02-19,REG,'ENGRO','Engro Corporation Limited.','READY',179.7075,162.5925,171.15
2014-Feb-2014-02-20,REG,'ENGRO','Engro Corporation Limited.','READY',182.1015,164.7585,173.43
2014-Feb-2014-02-21,REG,'ENGRO','Engro Corporation Limited.','READY',191.205,172.995,182.1
2014-Feb-2014-02-24,REG,'ENGRO','Engro Corporation Limited.','READY',199.458,180.462,189.96
2014-Feb-2014-02-25,REG,'ENGRO','Engro Corporation Limited.','READY',191.9715,173.6885,182.83
2014-Feb-2014-02-26,REG,'ENGRO','Engro Corporation Limited.','READY',191.52,173.28,182.4
2014-Feb-2014-02-27,REG,'ENGRO','Engro Corporation Limited.','READY',193.578,175.142,184.36
2014-Feb-2014-02-28,REG,'ENGRO','Engro Corporation Limited.','READY',198.1875,179.3125,188.75
2014-Mar-2014-03-03,REG,'ENGRO','Engro Corporation Limited.','READY',191.6355,173.3845,182.51
2014-Mar-2014-03-04,REG,'ENGRO','Engro Corporation Limited.','READY',191.3415,173.1185,182.23
2014-Mar-2014-03-05,REG,'ENGRO','Engro Corporation Limited.','READY',192.6015,174.2585,183.43
2014-Mar-2014-03-06,REG,'ENGRO','Engro Corporation Limited.','READY',195.4365,176.8235,186.13
2014-Mar-2014-03-07,REG,'ENGRO','Engro Corporation Limited.','READY',196.329,177.631,186.98
