Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.52,15.52,16.52
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.68,15.68,16.68
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.39,15.39,16.39
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',16.93,14.93,15.93
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',16.97,14.97,15.97
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.13,15.13,16.13
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.23,15.23,16.23
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',16.86,14.86,15.86
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',16.63,14.63,15.63
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',16.94,14.94,15.94
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',16.84,14.84,15.84
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',16.78,14.78,15.78
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.08,15.08,16.08
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.33,15.33,16.33
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.25,15.25,16.25
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.0,15.0,16.0
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',16.9,14.9,15.9
2014-02-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.3,15.3,16.3
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.52,15.52,16.52
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.','READY',17.76,15.76,16.76
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.',170,17.79,15.79,16.79
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.',170,17.88,15.88,16.88
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.',170,17.88,15.88,16.88
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',18.14,16.14,17.14
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.',170,17.96,15.96,16.96
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',17.41,15.41,16.41
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',17.43,15.43,16.43
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',17.68,15.68,16.68
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',17.79,15.79,16.79
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',17.75,15.75,16.75
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',17.79,15.79,16.79
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',18.43,16.43,17.43
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',18.28,16.28,17.28
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',17.99,15.99,16.99
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',18.06,16.06,17.06
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',18.22,16.22,17.22
2014-03-20,REG,'FCCL','Fauji Cement Co Ltd.(XD)','READY',18.26,16.26,17.26
