Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,REG,HBL,'Habib Bank Limited.','READY',172.6725,156.2275,164.45
2014-Feb-2014-02-06,REG,HBL,'Habib Bank Limited.','READY',175.119,158.441,166.78
2014-Feb-2014-02-07,REG,HBL,'Habib Bank Limited.','READY',173.2605,156.7595,165.01
2014-Feb-2014-02-10,REG,HBL,'Habib Bank Limited.','READY',170.961,154.679,162.82
2014-Feb-2014-02-11,REG,HBL,'Habib Bank Limited.','READY',172.578,156.142,164.36
2014-Feb-2014-02-12,REG,HBL,'Habib Bank Limited.','READY',172.326,155.914,164.12
2014-Feb-2014-02-13,REG,HBL,'Habib Bank Limited.','READY',170.8875,154.6125,162.75
2014-Feb-2014-02-14,REG,HBL,'Habib Bank Limited.','READY',171.1605,154.8595,163.01
2014-Feb-2014-02-17,REG,HBL,'Habib Bank Limited.','READY',167.7795,151.8005,159.79
2014-Feb-2014-02-18,REG,HBL,'Habib Bank Limited.','READY',167.832,151.848,159.84
2014-Feb-2014-02-19,REG,HBL,'Habib Bank Limited.','READY',169.533,153.387,161.46
2014-Feb-2014-02-20,REG,HBL,'Habib Bank Limited.','READY',168.924,152.836,160.88
2014-Feb-2014-02-21,REG,HBL,'Habib Bank Limited.','READY',168.4725,152.4275,160.45
2014-Feb-2014-02-24,REG,HBL,'Habib Bank Limited.','READY',168.8715,152.7885,160.83
2014-Feb-2014-02-25,REG,HBL,'Habib Bank Limited.','READY',166.6245,150.7555,158.69
2014-Feb-2014-02-26,REG,HBL,'Habib Bank Limited.','READY',164.5875,148.9125,156.75
2014-Feb-2014-02-27,REG,HBL,'Habib Bank Limited.','READY',168.819,152.741,160.78
2014-Feb-2014-02-28,REG,HBL,'Habib Bank Limited.','READY',170.415,154.185,162.3
2014-Mar-2014-03-03,REG,HBL,'Habib Bank Limited.','READY',175.329,158.631,166.98
2014-Mar-2014-03-04,REG,HBL,'Habib Bank Limited.','READY',179.424,162.336,170.88
2014-Mar-2014-03-05,REG,HBL,'Habib Bank Limited.','READY',181.0725,163.8275,172.45
2014-Mar-2014-03-06,REG,HBL,'Habib Bank Limited.','READY',189.126,171.114,180.12
2014-Mar-2014-03-07,REG,HBL,'Habib Bank Limited.','READY',193.389,174.971,184.18
2014-Mar-2014-03-09,REG,HBL,'Habib Bank Limited.',170,187.6665,169.7935,178.73
2014-Mar-2014-03-10,REG,HBL,'Habib Bank Limited.','READY',195.9195,177.2605,186.59
2014-Mar-2014-03-11,REG,HBL,'Habib Bank Limited.','READY',193.1055,174.7145,183.91
2014-Mar-2014-03-12,REG,HBL,'Habib Bank Limited.','READY',192.9375,174.5625,183.75
2014-Mar-2014-03-13,REG,HBL,'Habib Bank Limited.','READY',192.0975,173.8025,182.95
2014-Mar-2014-03-14,REG,HBL,'Habib Bank Limited.',170,190.638,172.482,181.56
2014-Mar-2014-03-17,REG,HBL,'Habib Bank Limited.',170,191.9505,173.6695,182.81
2014-Mar-2014-03-18,REG,HBL,'Habib Bank Limited.',170,187.215,169.385,178.3
2014-Mar-2014-03-20,REG,HBL,'Habib Bank Limited.(XDXB)','READY',169.8375,153.6625,161.75
2014-Mar-2014-03-21,REG,HBL,'Habib Bank Limited.(XDXB)','READY',172.2105,155.8095,164.01
2014-Mar-2014-03-24,REG,HBL,'Habib Bank Limited.(XDXB)','READY',168.1785,152.1615,160.17
2014-Mar-2014-03-25,REG,HBL,'Habib Bank Limited.(XDXB)','READY',170.331,154.109,162.22
2014-Mar-2014-03-26,REG,HBL,'Habib Bank Limited.(XDXB)','READY',176.505,159.695,168.1
2014-Mar-2014-03-27,REG,HBL,'Habib Bank Limited.(XDXB)','READY',179.508,162.412,170.96
2014-Mar-2014-03-28,REG,HBL,'Habib Bank Limited.(XDXB)','READY',178.6575,161.6425,170.15
2014-Mar-2014-03-31,REG,HBL,'Habib Bank Limited.(XDXB)','READY',183.0255,165.5945,174.31
2014-Apr-2014-04-01,REG,HBL,'Habib Bank Limited.(XDXB)','READY',184.3275,166.7725,175.55
2014-Apr-2014-04-02,REG,HBL,'Habib Bank Limited.(XDXB)','READY',186.1125,168.3875,177.25
2014-Apr-2014-04-03,REG,HBL,'Habib Bank Limited.(XDXB)','READY',186.9,169.1,178.0
2014-Apr-2014-04-04,REG,HBL,'Habib Bank Limited.(XDXB)','READY',185.535,167.865,176.7
2014-Apr-2014-04-07,REG,HBL,'Habib Bank Limited.(XDXB)','READY',186.039,168.321,177.18
2014-Apr-2014-04-08,REG,HBL,'Habib Bank Limited.(XDXB)','READY',187.362,169.518,178.44
2014-Apr-2014-04-09,REG,HBL,'Habib Bank Limited.(XDXB)','READY',187.026,169.214,178.12
2014-Apr-2014-04-10,REG,HBL,'Habib Bank Limited.(XDXB)','READY',191.3625,173.1375,182.25
2014-Apr-2014-04-11,REG,HBL,'Habib Bank Limited.(XDXB)','READY',190.1445,172.0355,181.09
2014-Apr-2014-04-14,REG,HBL,'Habib Bank Limited.(XDXB)','READY',189.945,171.855,180.9
2014-Apr-2014-04-15,REG,HBL,'Habib Bank Limited.(XDXB)','READY',198.744,179.816,189.28
2014-Apr-2014-04-16,REG,HBL,'Habib Bank Limited.(XDXB)','READY',201.558,182.362,191.96
2014-Apr-2014-04-17,REG,HBL,'Habib Bank Limited.(XDXB)','READY',201.7155,182.5045,192.11
2014-Apr-2014-04-18,REG,HBL,'Habib Bank Limited.(XDXB)','READY',196.6335,177.9065,187.27
2014-Apr-2014-04-21,REG,HBL,'Habib Bank Limited.(XDXB)','READY',192.087,173.793,182.94
2014-Apr-2014-04-22,REG,HBL,'Habib Bank Limited.(XDXB)','READY',198.597,179.683,189.14
2014-Apr-2014-04-23,REG,HBL,'Habib Bank Limited.(XDXB)','READY',193.347,174.933,184.14
2014-Apr-2014-04-24,REG,HBL,'Habib Bank Limited.(XDXB)','READY',194.187,175.693,184.94
2014-Apr-2014-04-25,REG,HBL,'Habib Bank Limited.','READY',198.324,179.436,188.88
2014-Apr-2014-04-28,REG,HBL,'Habib Bank Limited.','READY',195.4785,176.8615,186.17
2014-Apr-2014-04-29,REG,HBL,'Habib Bank Limited.','READY',194.0925,175.6075,184.85
2014-Apr-2014-04-30,REG,HBL,'Habib Bank Limited.','READY',193.956,175.484,184.72
2014-May-2014-05-02,REG,HBL,'Habib Bank Limited.',170,194.4705,175.9495,185.21
2014-May-2014-05-05,REG,HBL,'Habib Bank Limited.',170,193.3365,174.9235,184.13
