Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,REG,'HUBC','Hub Power Company Limited.','READY',66.612,60.268,63.44
2014-Feb-2014-02-06,REG,'HUBC','Hub Power Company Limited.','READY',66.6015,60.2585,63.43
2014-Feb-2014-02-07,REG,'HUBC','Hub Power Company Limited.','READY',66.108,59.812,62.96
2014-Feb-2014-02-10,REG,'HUBC','Hub Power Company Limited.','READY',66.0765,59.7835,62.93
2014-Feb-2014-02-11,REG,'HUBC','Hub Power Company Limited.','READY',65.583,59.337,62.46
2014-Feb-2014-02-12,REG,'HUBC','Hub Power Company Limited.','READY',66.5385,60.2015,63.37
2014-Feb-2014-02-13,REG,'HUBC','Hub Power Company Limited.','READY',65.877,59.603,62.74
2014-Feb-2014-02-14,REG,'HUBC','Hub Power Company Limited.','READY',65.646,59.394,62.52
2014-Feb-2014-02-17,REG,'HUBC','Hub Power Company Limited.','READY',65.5095,59.2705,62.39
2014-Feb-2014-02-18,REG,'HUBC','Hub Power Company Limited.','READY',62.244,56.316,59.28
2014-Feb-2014-02-19,REG,'HUBC','Hub Power Company Limited.','READY',59.136,53.504,56.32
2014-Feb-2014-02-20,REG,'HUBC','Hub Power Company Limited.','READY',57.015,51.585,54.3
2014-Feb-2014-02-21,REG,'HUBC','Hub Power Company Limited.','READY',57.267,51.813,54.54
2014-Feb-2014-02-24,REG,'HUBC','Hub Power Company Limited.','READY',58.821,53.219,56.02
2014-Feb-2014-02-25,REG,'HUBC','Hub Power Company Limited.','READY',58.7895,53.1905,55.99
2014-Feb-2014-02-26,REG,'HUBC','Hub Power Company Limited.','READY',58.422,52.858,55.64
2014-Feb-2014-02-27,REG,'HUBC','Hub Power Company Limited.','READY',58.254,52.706,55.48
2014-Feb-2014-02-28,REG,'HUBC','Hub Power Company Limited.','READY',57.3615,51.8985,54.63
2014-Mar-2014-03-03,REG,'HUBC','Hub Power Company Limited.','READY',57.4035,51.9365,54.67
2014-Mar-2014-03-04,REG,'HUBC','Hub Power Company Limited.','READY',57.834,52.326,55.08
2014-Mar-2014-03-05,REG,'HUBC','Hub Power Company Limited.','READY',60.3225,54.5775,57.45
2014-Mar-2014-03-06,REG,'HUBC','Hub Power Company Limited.',170,62.37,56.43,59.4
2014-Mar-2014-03-07,REG,'HUBC','Hub Power Company Limited.',170,61.971,56.069,59.02
2014-Mar-2014-03-09,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.8075,50.4925,53.15
2014-Mar-2014-03-10,REG,'HUBC','Hub Power Company Limited.',170,61.5615,55.6985,58.63
2014-Mar-2014-03-11,REG,'HUBC','Hub Power Company Limited.',170,59.6295,53.9505,56.79
2014-Mar-2014-03-12,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.6815,50.3785,53.03
2014-Mar-2014-03-13,REG,'HUBC','Hub Power Company Limited.(XD)','READY',56.175,50.825,53.5
2014-Mar-2014-03-14,REG,'HUBC','Hub Power Company Limited.(XD)','READY',56.1225,50.7775,53.45
2014-Mar-2014-03-17,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.8705,50.5495,53.21
2014-Mar-2014-03-18,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.7235,50.4165,53.07
2014-Mar-2014-03-20,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.3875,50.1125,52.75
2014-Mar-2014-03-21,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.1145,49.8655,52.49
2014-Mar-2014-03-24,REG,'HUBC','Hub Power Company Limited.(XD)','READY',54.7365,49.5235,52.13
2014-Mar-2014-03-25,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.4505,50.1695,52.81
2014-Mar-2014-03-26,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.629,50.331,52.98
2014-Mar-2014-03-27,REG,'HUBC','Hub Power Company Limited.(XD)','READY',56.3955,51.0245,53.71
2014-Mar-2014-03-28,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.0305,49.7895,52.41
2014-Mar-2014-03-31,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.8285,50.5115,53.17
2014-Apr-2014-04-01,REG,'HUBC','Hub Power Company Limited.(XD)','READY',55.713,50.407,53.06
2014-Apr-2014-04-02,REG,'HUBC','Hub Power Company Limited.(XD)','READY',56.0175,50.6825,53.35
2014-Apr-2014-04-03,REG,'HUBC','Hub Power Company Limited.(XD)','READY',56.658,51.262,53.96
2014-Apr-2014-04-04,REG,'HUBC','Hub Power Company Limited.(XD)','READY',56.4375,51.0625,53.75
2014-Apr-2014-04-07,REG,'HUBC','Hub Power Company Limited.(XD)','READY',56.6265,51.2335,53.93
2014-Apr-2014-04-08,REG,'HUBC','Hub Power Company Limited.(XD)','READY',57.0885,51.6515,54.37
2014-Apr-2014-04-09,REG,'HUBC','Hub Power Company Limited.(XD)','READY',57.5295,52.0505,54.79
2014-Apr-2014-04-10,REG,'HUBC','Hub Power Company Limited.(XD)','READY',57.3405,51.8795,54.61
2014-Apr-2014-04-11,REG,'HUBC','Hub Power Company Limited.','READY',56.595,51.205,53.9
2014-Apr-2014-04-14,REG,'HUBC','Hub Power Company Limited.','READY',56.364,50.996,53.68
2014-Apr-2014-04-15,REG,'HUBC','Hub Power Company Limited.','READY',55.167,49.913,52.54
2014-Apr-2014-04-16,REG,'HUBC','Hub Power Company Limited.','READY',54.8415,49.6185,52.23
2014-Apr-2014-04-17,REG,'HUBC','Hub Power Company Limited.','READY',54.6105,49.4095,52.01
2014-Apr-2014-04-18,REG,'HUBC','Hub Power Company Limited.','READY',55.272,50.008,52.64
2014-Apr-2014-04-21,REG,'HUBC','Hub Power Company Limited.','READY',54.621,49.419,52.02
2014-Apr-2014-04-22,REG,'HUBC','Hub Power Company Limited.','READY',55.0095,49.7705,52.39
2014-Apr-2014-04-23,REG,'HUBC','Hub Power Company Limited.','READY',55.062,49.818,52.44
2014-Apr-2014-04-24,REG,'HUBC','Hub Power Company Limited.','READY',55.1145,49.8655,52.49
2014-Apr-2014-04-25,REG,'HUBC','Hub Power Company Limited.','READY',55.944,50.616,53.28
2014-Apr-2014-04-28,REG,'HUBC','Hub Power Company Limited.','READY',58.737,53.143,55.94
2014-Apr-2014-04-29,REG,'HUBC','Hub Power Company Limited.','READY',59.829,54.131,56.98
2014-Apr-2014-04-30,REG,'HUBC','Hub Power Company Limited.','READY',60.312,54.568,57.44
2014-May-2014-05-02,REG,'HUBC','Hub Power Company Limited.','READY',59.976,54.264,57.12
2014-May-2014-05-05,REG,'HUBC','Hub Power Company Limited.','READY',59.8605,54.1595,57.01
2014-May-2014-05-06,REG,'HUBC','Hub Power Company Limited.','READY',60.669,54.891,57.78
2014-May-2014-05-07,REG,'HUBC','Hub Power Company Limited.','READY',61.9815,56.0785,59.03
2014-May-2014-05-08,REG,'HUBC','Hub Power Company Limited.','READY',61.698,55.822,58.76
2014-May-2014-05-09,REG,'HUBC','Hub Power Company Limited.','READY',62.0235,56.1165,59.07
2014-May-2014-05-12,REG,'HUBC','Hub Power Company Limited.','READY',61.803,55.917,58.86
2014-May-2014-05-13,REG,'HUBC','Hub Power Company Limited.','READY',62.0655,56.1545,59.11
2014-May-2014-05-14,REG,'HUBC','Hub Power Company Limited.','READY',61.7925,55.9075,58.85
2014-May-2014-05-15,REG,'HUBC','Hub Power Company Limited.','READY',60.102,54.378,57.24
2014-May-2014-05-16,REG,'HUBC','Hub Power Company Limited.','READY',60.4905,54.7295,57.61
2014-May-2014-05-19,REG,'HUBC','Hub Power Company Limited.','READY',61.3305,55.4895,58.41
2014-May-2014-05-20,REG,'HUBC','Hub Power Company Limited.','READY',60.8475,55.0525,57.95
2014-May-2014-05-21,REG,'HUBC','Hub Power Company Limited.','READY',60.0705,54.3495,57.21
2014-May-2014-05-22,REG,'HUBC','Hub Power Company Limited.','READY',60.48,54.72,57.6
2014-May-2014-05-23,REG,'HUBC','Hub Power Company Limited.','READY',60.585,54.815,57.7
2014-May-2014-05-26,REG,'HUBC','Hub Power Company Limited.','READY',61.2465,55.4135,58.33
2014-May-2014-05-27,REG,'HUBC','Hub Power Company Limited.','READY',61.425,55.575,58.5
2014-May-2014-05-28,REG,'HUBC','Hub Power Company Limited.','READY',59.577,53.903,56.74
2014-May-2014-05-29,REG,'HUBC','Hub Power Company Limited.','READY',59.976,54.264,57.12
2014-May-2014-05-30,REG,'HUBC','Hub Power Company Limited.','READY',59.976,54.264,57.12
2014-Jun-2014-06-02,REG,'HUBC','Hub Power Company Limited.','READY',59.976,54.264,57.12
2014-Jun-2014-06-03,REG,'HUBC','Hub Power Company Limited.','READY',59.8185,54.1215,56.97
2014-Jun-2014-06-04,REG,'HUBC','Hub Power Company Limited.','READY',59.577,53.903,56.74
2014-Jun-2014-06-05,REG,'HUBC','Hub Power Company Limited.','READY',59.955,54.245,57.1
2014-Jun-2014-06-06,REG,'HUBC','Hub Power Company Limited.','READY',59.871,54.169,57.02
2014-Jun-2014-06-09,REG,'HUBC','Hub Power Company Limited.','READY',59.3985,53.7415,56.57
2014-Jun-2014-06-10,REG,'HUBC','Hub Power Company Limited.','READY',59.577,53.903,56.74
2014-Jun-2014-06-11,REG,'HUBC','Hub Power Company Limited.','READY',59.9445,54.2355,57.09
2014-Jun-2014-06-12,REG,'HUBC','Hub Power Company Limited.','READY',60.1335,54.4065,57.27
2014-Jun-2014-06-13,REG,'HUBC','Hub Power Company Limited.','READY',59.661,53.979,56.82
2014-Jun-2014-06-16,REG,'HUBC','Hub Power Company Limited.','READY',59.808,54.112,56.96
2014-Jun-2014-06-17,REG,'HUBC','Hub Power Company Limited.','READY',59.808,54.112,56.96
2014-Jun-2014-06-18,REG,'HUBC','Hub Power Company Limited.','READY',60.144,54.416,57.28
2014-Jun-2014-06-19,REG,'HUBC','Hub Power Company Limited.','READY',59.955,54.245,57.1
2014-Jun-2014-06-20,REG,'HUBC','Hub Power Company Limited.','READY',60.06,54.34,57.2
2014-Jun-2014-06-23,REG,'HUBC','Hub Power Company Limited.','READY',60.354,54.606,57.48
2014-Jun-2014-06-24,REG,'HUBC','Hub Power Company Limited.','READY',60.984,55.176,58.08
2014-Jun-2014-06-25,REG,'HUBC','Hub Power Company Limited.','READY',60.4275,54.6725,57.55
2014-Jun-2014-06-26,REG,'HUBC','Hub Power Company Limited.','READY',60.5955,54.8245,57.71
2014-Jun-2014-06-27,REG,'HUBC','Hub Power Company Limited.','READY',61.068,55.252,58.16
2014-Jun-2014-06-30,REG,'HUBC','Hub Power Company Limited.','READY',61.677,55.803,58.74
2014-Jul-2014-07-01,REG,'HUBC','Hub Power Company Limited.','READY',62.3595,56.4205,59.39
2014-Jul-2014-07-02,REG,'HUBC','Hub Power Company Limited.','READY',63.6825,57.6175,60.65
2014-Jul-2014-07-03,REG,'HUBC','Hub Power Company Limited.','READY',64.7325,58.5675,61.65
2014-Jul-2014-07-04,REG,'HUBC','Hub Power Company Limited.','READY',65.1105,58.9095,62.01
2014-Jul-2014-07-07,REG,'HUBC','Hub Power Company Limited.','READY',64.5855,58.4345,61.51
2014-Jul-2014-07-08,REG,'HUBC','Hub Power Company Limited.','READY',64.239,58.121,61.18
2014-Jul-2014-07-09,REG,'HUBC','Hub Power Company Limited.','READY',63.5775,57.5225,60.55
2014-Jul-2014-07-10,REG,'HUBC','Hub Power Company Limited.','READY',63.3675,57.3325,60.35
2014-Jul-2014-07-11,REG,'HUBC','Hub Power Company Limited.','READY',63.378,57.342,60.36
2014-Jul-2014-07-14,REG,'HUBC','Hub Power Company Limited.','READY',65.247,59.033,62.14
2014-Jul-2014-07-15,REG,'HUBC','Hub Power Company Limited.','READY',65.394,59.166,62.28
2014-Jul-2014-07-16,REG,'HUBC','Hub Power Company Limited.','READY',65.9505,59.6695,62.81
2014-Jul-2014-07-17,REG,'HUBC','Hub Power Company Limited.','READY',66.6435,60.2965,63.47
2014-Jul-2014-07-18,REG,'HUBC','Hub Power Company Limited.','READY',66.759,60.401,63.58
2014-Jul-2014-07-21,REG,'HUBC','Hub Power Company Limited.','READY',66.864,60.496,63.68
2014-Jul-2014-07-22,REG,'HUBC','Hub Power Company Limited.','READY',66.045,59.755,62.9
2014-Jul-2014-07-23,REG,'HUBC','Hub Power Company Limited.','READY',66.6015,60.2585,63.43
2014-Jul-2014-07-24,REG,'HUBC','Hub Power Company Limited.','READY',67.1265,60.7335,63.93
2014-Jul-2014-07-28,REG,'HUBC','Hub Power Company Limited.','READY',66.4335,60.1065,63.27
2014-Aug-2014-08-04,REG,'HUBC','Hub Power Company Limited.','READY',65.457,59.223,62.34
2014-Aug-2014-08-05,REG,'HUBC','Hub Power Company Limited.','READY',64.5015,58.3585,61.43
2014-Aug-2014-08-06,REG,'HUBC','Hub Power Company Limited.','READY',63.8085,57.7315,60.77
2014-Aug-2014-08-07,REG,'HUBC','Hub Power Company Limited.','READY',63.9975,57.9025,60.95
2014-Aug-2014-08-08,REG,'HUBC','Hub Power Company Limited.','READY',63.084,57.076,60.08
2014-Aug-2014-08-11,REG,'HUBC','Hub Power Company Limited.','READY',60.48,54.72,57.6
