Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',38.85,35.15,37.0
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.3855,35.6345,37.51
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',40.0785,36.2615,38.17
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',40.0785,36.2615,38.17
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',40.656,36.784,38.72
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',40.761,36.879,38.82
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',40.4355,36.5845,38.51
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',40.4775,36.6225,38.55
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.69,35.91,37.8
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.9945,36.1855,38.09
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.123,35.397,37.26
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.963,36.157,38.06
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.2805,35.5395,37.41
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.69,35.91,37.8
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.354,35.606,37.48
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.1125,35.3875,37.25
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.1125,35.3875,37.25
2014-02-20,REG,'MEBL','Meezan Bank Limited.','READY',39.8895,36.0905,37.99
2014-03-20,REG,'MEBL','Meezan Bank Limited.','READY',39.7215,35.9385,37.83
2014-03-20,REG,'MEBL','Meezan Bank Limited.','READY',39.9,36.1,38.0
2014-03-20,REG,'MEBL','Meezan Bank Limited.','READY',40.572,36.708,38.64
2014-03-20,REG,'MEBL','Meezan Bank Limited.','READY',40.4145,36.5655,38.49
2014-03-20,REG,'MEBL','Meezan Bank Limited.',170,39.9,36.1,38.0
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',39.0075,35.2925,37.15
2014-03-20,REG,'MEBL','Meezan Bank Limited.',170,40.95,37.05,39.0
2014-03-20,REG,'MEBL','Meezan Bank Limited.',170,40.845,36.955,38.9
2014-03-20,REG,'MEBL','Meezan Bank Limited.',170,40.4985,36.6415,38.57
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',39.354,35.606,37.48
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',39.039,35.321,37.18
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',39.333,35.587,37.46
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',39.606,35.834,37.72
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',38.43,34.77,36.6
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',38.7975,35.1025,36.95
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',38.4825,34.8175,36.65
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',38.535,34.865,36.7
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',38.7975,35.1025,36.95
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.32,36.48,38.4
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.257,36.423,38.34
2014-03-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',41.5275,37.5725,39.55
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',41.475,37.525,39.5
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.866,36.974,38.92
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.95,37.05,39.0
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.7085,36.8315,38.77
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.005,36.195,38.1
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.53,36.67,38.6
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.95,37.05,39.0
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',41.2125,37.2875,39.25
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.6665,36.7935,38.73
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.7925,36.9075,38.85
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',40.908,37.012,38.96
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',42.945,38.855,40.9
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',43.302,39.178,41.24
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',41.8215,37.8385,39.83
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',41.2755,37.3445,39.31
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',42.3465,38.3135,40.33
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',42.0735,38.0665,40.07
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',42.567,38.513,40.54
2014-04-20,REG,'MEBL','Meezan Bank Limited.(XD)','READY',43.092,38.988,41.04
2014-04-20,REG,'MEBL','Meezan Bank Limited.','READY',42.0525,38.0475,40.05
2014-04-20,REG,'MEBL','Meezan Bank Limited.','READY',41.454,37.506,39.48
2014-04-20,REG,'MEBL','Meezan Bank Limited.','READY',42.105,38.095,40.1
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',42.0,38.0,40.0
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.475,37.525,39.5
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.475,37.525,39.5
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.433,37.487,39.46
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.664,37.696,39.68
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.517,37.563,39.54
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.4225,37.4775,39.45
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.055,37.145,39.1
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.055,37.145,39.1
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',40.95,37.05,39.0
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.1285,37.2115,39.17
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',40.9605,37.0595,39.01
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.37,37.43,39.4
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.853,37.867,39.86
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.538,37.582,39.56
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.7375,37.7625,39.75
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',42.0,38.0,40.0
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.58,37.62,39.6
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.58,37.62,39.6
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.7795,37.8005,39.79
2014-05-20,REG,'MEBL','Meezan Bank Limited.','READY',41.979,37.981,39.98
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',42.0,38.0,40.0
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',42.63,38.57,40.6
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',42.525,38.475,40.5
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',41.7375,37.7625,39.75
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',42.105,38.095,40.1
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',42.0,38.0,40.0
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',43.428,39.292,41.36
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',43.575,39.425,41.5
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',44.0475,39.8525,41.95
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',44.0475,39.8525,41.95
2014-06-20,REG,'MEBL','Meezan Bank Limited.','READY',43.1025,38.9975,41.05
