Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,REG,'MTL','Millat Tractor Ltd.','READY',487.6095,441.1705,464.39
2014-Feb-2014-02-06,REG,'MTL','Millat Tractor Ltd.','READY',497.133,449.787,473.46
2014-Feb-2014-02-07,REG,'MTL','Millat Tractor Ltd.','READY',497.2905,449.9295,473.61
2014-Feb-2014-02-10,REG,'MTL','Millat Tractor Ltd.','READY',496.671,449.369,473.02
2014-Feb-2014-02-11,REG,'MTL','Millat Tractor Ltd.','READY',502.7925,454.9075,478.85
2014-Feb-2014-02-12,REG,'MTL','Millat Tractor Ltd.','READY',505.134,457.026,481.08
2014-Feb-2014-02-13,REG,'MTL','Millat Tractor Ltd.','READY',503.0025,455.0975,479.05
2014-Feb-2014-02-14,REG,'MTL','Millat Tractor Ltd.','READY',502.257,454.423,478.34
2014-Feb-2014-02-17,REG,'MTL','Millat Tractor Ltd.','READY',493.626,446.614,470.12
2014-Feb-2014-02-18,REG,'MTL','Millat Tractor Ltd.','READY',497.6895,450.2905,473.99
2014-Feb-2014-02-19,REG,'MTL','Millat Tractor Ltd.','READY',500.9235,453.2165,477.07
2014-Feb-2014-02-20,REG,'MTL','Millat Tractor Ltd.','READY',498.981,451.459,475.22
2014-Feb-2014-02-21,REG,'MTL','Millat Tractor Ltd.','READY',499.233,451.687,475.46
2014-Feb-2014-02-24,REG,'MTL','Millat Tractor Ltd.','READY',498.414,450.946,474.68
2014-Feb-2014-02-25,REG,'MTL','Millat Tractor Ltd.','READY',504.819,456.741,480.78
2014-Feb-2014-02-26,REG,'MTL','Millat Tractor Ltd.','READY',508.0845,459.6955,483.89
2014-Feb-2014-02-27,REG,'MTL','Millat Tractor Ltd.',170,510.279,461.681,485.98
2014-Feb-2014-02-28,REG,'MTL','Millat Tractor Ltd.',170,509.25,460.75,485.0
2014-Mar-2014-03-03,REG,'MTL','Millat Tractor Ltd.',170,504.861,456.779,480.82
2014-Mar-2014-03-04,REG,'MTL','Millat Tractor Ltd.',170,502.95,455.05,479.0
2014-Mar-2014-03-05,REG,'MTL','Millat Tractor Ltd.(XD)','READY',487.2105,440.8095,464.01
2014-Mar-2014-03-06,REG,'MTL','Millat Tractor Ltd.(XD)','READY',495.5685,448.3715,471.97
2014-Mar-2014-03-07,REG,'MTL','Millat Tractor Ltd.(XD)','READY',492.534,445.626,469.08
2014-Mar-2014-03-09,REG,'MTL','Millat Tractor Ltd.(XD)','READY',492.135,445.265,468.7
2014-Mar-2014-03-10,REG,'MTL','Millat Tractor Ltd.(XD)','READY',493.08,446.12,469.6
2014-Mar-2014-03-11,REG,'MTL','Millat Tractor Ltd.(XD)','READY',494.2035,447.1365,470.67
2014-Mar-2014-03-12,REG,'MTL','Millat Tractor Ltd.(XD)','READY',494.55,447.45,471.0
2014-Mar-2014-03-13,REG,'MTL','Millat Tractor Ltd.(XD)','READY',493.5,446.5,470.0
2014-Mar-2014-03-14,REG,'MTL','Millat Tractor Ltd.(XD)','READY',491.9355,445.0845,468.51
2014-Mar-2014-03-17,REG,'MTL','Millat Tractor Ltd.(XD)','READY',493.6785,446.6615,470.17
2014-Mar-2014-03-18,REG,'MTL','Millat Tractor Ltd.(XD)','READY',493.5,446.5,470.0
2014-Mar-2014-03-20,REG,'MTL','Millat Tractor Ltd.(XD)','READY',492.597,445.683,469.14
2014-Mar-2014-03-21,REG,'MTL','Millat Tractor Ltd.(XD)','READY',492.45,445.55,469.0
