Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,REG,'NETSOL','NetSol Technologies Ltd.','READY',48.867,44.213,46.54
2014-Feb-2014-02-11,REG,'NETSOL','NetSol Technologies Ltd.','READY',44.499,40.261,42.38
2014-Feb-2014-02-20,REG,'NETSOL','NetSol Technologies Ltd.','READY',36.54,33.06,34.8
2014-Feb-2014-02-27,REG,'NETSOL','NetSol Technologies Ltd.','READY',33.978,30.742,32.36
2014-Feb-2014-02-18,REG,'NETSOL','NetSol Technologies Ltd.','READY',37.0125,33.4875,35.25
2014-Feb-2014-02-26,REG,'NETSOL','NetSol Technologies Ltd.','READY',35.133,31.787,33.46
2014-Feb-2014-02-19,REG,'NETSOL','NetSol Technologies Ltd.','READY',37.4115,33.8485,35.63
2014-Feb-2014-02-21,REG,'NETSOL','NetSol Technologies Ltd.','READY',36.1935,32.7465,34.47
2014-Feb-2014-02-17,REG,'NETSOL','NetSol Technologies Ltd.','READY',36.582,33.098,34.84
2014-Feb-2014-02-28,REG,'NETSOL','NetSol Technologies Ltd.','READY',34.503,31.217,32.86
2014-Feb-2014-02-10,REG,'NETSOL','NetSol Technologies Ltd.','READY',46.8405,42.3795,44.61
2014-Feb-2014-02-07,REG,'NETSOL','NetSol Technologies Ltd.','READY',48.3,43.7,46.0
2014-Feb-2014-02-06,REG,'NETSOL','NetSol Technologies Ltd.','READY',48.7095,44.0705,46.39
2014-Feb-2014-02-12,REG,'NETSOL','NetSol Technologies Ltd.','READY',42.2835,38.2565,40.27
2014-Feb-2014-02-24,REG,'NETSOL','NetSol Technologies Ltd.','READY',36.225,32.775,34.5
2014-Feb-2014-02-25,REG,'NETSOL','NetSol Technologies Ltd.','READY',35.763,32.357,34.06
2014-Feb-2014-02-13,REG,'NETSOL','NetSol Technologies Ltd.','READY',40.173,36.347,38.26
2014-Feb-2014-02-14,REG,'NETSOL','NetSol Technologies Ltd.','READY',38.2515,34.6085,36.43
2014-Mar-2014-03-05,REG,'NETSOL','NetSol Technologies Ltd.','READY',35.3325,31.9675,33.65
2014-Mar-2014-03-03,REG,'NETSOL','NetSol Technologies Ltd.','READY',35.5425,32.1575,33.85
2014-Mar-2014-03-04,REG,'NETSOL','NetSol Technologies Ltd.','READY',35.4375,32.0625,33.75
2014-Mar-2014-03-26,REG,'NETSOL','NetSol Technologies Ltd.','READY',36.582,33.098,34.84
