Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',286.4295,259.1505,272.79
2014-Feb-2014-02-06,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',288.33,260.87,274.6
2014-Feb-2014-02-07,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',287.028,259.692,273.36
2014-Feb-2014-02-10,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',281.5155,254.7045,268.11
2014-Feb-2014-02-11,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',280.9065,254.1535,267.53
2014-Feb-2014-02-12,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',287.805,260.395,274.1
2014-Feb-2014-02-13,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',281.3895,254.5905,267.99
2014-Feb-2014-02-14,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',281.442,254.638,268.04
2014-Feb-2014-02-17,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',280.7175,253.9825,267.35
2014-Feb-2014-02-18,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',280.8225,254.0775,267.45
2014-Feb-2014-02-19,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',278.355,251.845,265.1
2014-Feb-2014-02-20,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',276.4335,250.1065,263.27
2014-Feb-2014-02-21,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',275.877,249.603,262.74
2014-Feb-2014-02-24,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',276.948,250.572,263.76
2014-Feb-2014-02-25,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',275.3835,249.1565,262.27
2014-Feb-2014-02-26,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',272.5485,246.5915,259.57
2014-Feb-2014-02-27,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',271.152,245.328,258.24
2014-Feb-2014-02-28,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',275.5725,249.3275,262.45
2014-Mar-2014-03-03,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',275.6985,249.4415,262.57
2014-Mar-2014-03-04,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',276.906,250.534,263.72
2014-Mar-2014-03-05,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',279.0795,252.5005,265.79
2014-Mar-2014-03-06,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',280.1925,253.5075,266.85
2014-Mar-2014-03-07,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',282.282,255.398,268.84
2014-Mar-2014-03-09,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',282.177,255.303,268.74
2014-Mar-2014-03-10,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',285.6315,258.4285,272.03
2014-Mar-2014-03-11,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',286.5765,259.2835,272.93
2014-Mar-2014-03-12,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',282.345,255.455,268.9
2014-Mar-2014-03-13,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',282.4185,255.5215,268.97
2014-Mar-2014-03-14,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',283.983,256.937,270.46
2014-Mar-2014-03-17,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',282.87,255.93,269.4
2014-Mar-2014-03-18,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',282.7545,255.8255,269.29
2014-Mar-2014-03-20,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',276.7275,250.3725,263.55
2014-Mar-2014-03-21,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',264.4845,239.2955,251.89
2014-Mar-2014-03-24,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',259.4235,234.7165,247.07
2014-Mar-2014-03-25,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',263.235,238.165,250.7
2014-Mar-2014-03-26,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',261.5445,236.6355,249.09
2014-Mar-2014-03-27,REG,'OGDC','Oil & Gas Development Company Ltd.','READY',262.773,237.747,250.26
