Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,REG,PRL,'Pakistan Refinery Ltd.','READY',88.956,80.484,84.72
2014-Feb-2014-02-06,REG,PRL,'Pakistan Refinery Ltd.','READY',86.8455,78.5745,82.71
2014-Feb-2014-02-07,REG,PRL,'Pakistan Refinery Ltd.','READY',86.184,77.976,82.08
2014-Feb-2014-02-10,REG,PRL,'Pakistan Refinery Ltd.','READY',85.806,77.634,81.72
2014-Feb-2014-02-11,REG,PRL,'Pakistan Refinery Ltd.','READY',86.2365,78.0235,82.13
2014-Feb-2014-02-12,REG,PRL,'Pakistan Refinery Ltd.','READY',90.5415,81.9185,86.23
2014-Feb-2014-02-13,REG,PRL,'Pakistan Refinery Ltd.','READY',86.457,78.223,82.34
2014-Feb-2014-02-14,REG,PRL,'Pakistan Refinery Ltd.','READY',85.05,76.95,81.0
2014-Feb-2014-02-17,REG,PRL,'Pakistan Refinery Ltd.','READY',83.496,75.544,79.52
2014-Feb-2014-02-18,REG,PRL,'Pakistan Refinery Ltd.','READY',85.071,76.969,81.02
2014-Feb-2014-02-19,REG,PRL,'Pakistan Refinery Ltd.','READY',80.8185,73.1215,76.97
2014-Feb-2014-02-20,REG,PRL,'Pakistan Refinery Ltd.','READY',82.32,74.48,78.4
2014-Feb-2014-02-21,REG,PRL,'Pakistan Refinery Ltd.','READY',79.989,72.371,76.18
2014-Feb-2014-02-24,REG,PRL,'Pakistan Refinery Ltd.','READY',83.979,75.981,79.98
2014-Feb-2014-02-25,REG,PRL,'Pakistan Refinery Ltd.','READY',88.1685,79.7715,83.97
2014-Feb-2014-02-26,REG,PRL,'Pakistan Refinery Ltd.','READY',85.344,77.216,81.28
2014-Feb-2014-02-27,REG,PRL,'Pakistan Refinery Ltd.','READY',85.197,77.083,81.14
2014-Feb-2014-02-28,REG,PRL,'Pakistan Refinery Ltd.','READY',89.355,80.845,85.1
2014-Mar-2014-03-03,REG,PRL,'Pakistan Refinery Ltd.','READY',89.334,80.826,85.08
2014-Mar-2014-03-04,REG,PRL,'Pakistan Refinery Ltd.','READY',89.334,80.826,85.08
