Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',22.6275,20.4725,21.55
2014-Feb-2014-02-06,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',22.596,20.444,21.52
2014-Feb-2014-02-07,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',22.491,20.349,21.42
2014-Feb-2014-02-10,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',22.0185,19.9215,20.97
2014-Feb-2014-02-11,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.756,19.684,20.72
2014-Feb-2014-02-12,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',22.2915,20.1685,21.23
2014-Feb-2014-02-13,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.924,19.836,20.88
2014-Feb-2014-02-14,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.63,19.57,20.6
2014-Feb-2014-02-17,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.021,19.019,20.02
2014-Feb-2014-02-18,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.0,19.0,20.0
2014-Feb-2014-02-19,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.021,19.019,20.02
2014-Feb-2014-02-20,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.0,19.0,20.0
2014-Feb-2014-02-21,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.105,19.095,20.1
2014-Feb-2014-02-24,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.126,19.114,20.12
2014-Feb-2014-02-25,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.126,19.114,20.12
2014-Feb-2014-02-26,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.0525,19.0475,20.05
2014-Feb-2014-02-27,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.0105,19.0095,20.01
2014-Feb-2014-02-28,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',20.93,18.93,19.93
2014-Mar-2014-03-03,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.063,19.057,20.06
2014-Mar-2014-03-04,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.1575,19.1425,20.15
2014-Mar-2014-03-05,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.084,19.076,20.08
2014-Mar-2014-03-06,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.1365,19.1235,20.13
2014-Mar-2014-03-07,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.0945,19.0855,20.09
2014-Mar-2014-03-09,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',24.444,22.116,23.28
2014-Mar-2014-03-10,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.0,19.0,20.0
2014-Mar-2014-03-11,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.5565,19.5035,20.53
2014-Mar-2014-03-12,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',22.0395,19.9405,20.99
2014-Mar-2014-03-13,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.609,19.551,20.58
2014-Mar-2014-03-14,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',21.5985,19.5415,20.57
2014-Mar-2014-03-17,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',22.6695,20.5105,21.59
2014-Mar-2014-03-18,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.31,21.09,22.2
2014-Mar-2014-03-20,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',24.612,22.268,23.44
2014-Mar-2014-03-21,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',25.116,22.724,23.92
2014-Mar-2014-03-24,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',24.5595,22.2205,23.39
2014-Mar-2014-03-25,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',24.1605,21.8595,23.01
2014-Mar-2014-03-26,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',24.003,21.717,22.86
2014-Mar-2014-03-27,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.6775,21.4225,22.55
2014-Mar-2014-03-28,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.2155,21.0045,22.11
2014-Mar-2014-03-31,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.52,21.28,22.4
2014-Apr-2014-04-01,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.52,21.28,22.4
2014-Apr-2014-04-02,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.625,21.375,22.5
2014-Apr-2014-04-03,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.9715,21.6885,22.83
2014-Apr-2014-04-04,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.7825,21.5175,22.65
2014-Apr-2014-04-07,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.9295,21.6505,22.79
2014-Apr-2014-04-08,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.5515,21.3085,22.43
2014-Apr-2014-04-09,REG,'SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.9085,21.6315,22.77
