Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,'REG','BAFL','Bank Alfalah Ltd.','READY',28.518,25.802,"27.16
"
2014-Feb-2014-02-04,'FUT','BAFL-JAN','Bank Alfalah Ltd.','READY',28.896,26.144,"27.52
"
2014-Feb-2014-02-04,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',28.686,25.954,"27.32
"
2014-Feb-2014-02-04,'ODL','BAFL','Bank Alfalah Ltd.','READY',28.518,25.802,"0
"
2014-Feb-2014-02-04,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-04,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',29.421,26.619,"28.02
"
2014-Feb-2014-02-04,'CSF','BAFL-CJAN','Bank Alfalah Ltd.','READY',29.0115,26.2485,"27.63
"
2014-Feb-2014-02-04,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',29.106,26.334,"27.72
"
2014-Feb-2014-02-04,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',28.791,26.049,"27.42
"
2014-Feb-2014-02-04,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-06,'REG','BAFL','Bank Alfalah Ltd.','READY',28.896,26.144,"27.52
"
2014-Feb-2014-02-06,'FUT','BAFL-JAN','Bank Alfalah Ltd.','READY',28.896,26.144,"27.52
"
2014-Feb-2014-02-06,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',29.106,26.334,"27.72
"
2014-Feb-2014-02-06,'ODL','BAFL','Bank Alfalah Ltd.','READY',28.896,26.144,"0
"
2014-Feb-2014-02-06,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-06,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',29.4525,26.6475,"28.05
"
2014-Feb-2014-02-06,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',29.1375,26.3625,"27.75
"
2014-Feb-2014-02-06,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',29.7675,26.9325,"28.35
"
2014-Feb-2014-02-06,'CSF','BAFL-CJAN','Bank Alfalah Ltd.','READY',29.0115,26.2485,"27.63
"
2014-Feb-2014-02-06,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-07,'REG','BAFL','Bank Alfalah Ltd.','READY',29.0745,26.3055,"27.69
"
2014-Feb-2014-02-07,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',29.2425,26.4575,"27.85
"
2014-Feb-2014-02-07,'ODL','BAFL','Bank Alfalah Ltd.','READY',29.0745,26.3055,"0
"
2014-Feb-2014-02-07,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-07,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',29.946,27.094,"28.52
"
2014-Feb-2014-02-07,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',29.6205,26.7995,"28.21
"
2014-Feb-2014-02-07,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',29.3055,26.5145,"27.91
"
2014-Feb-2014-02-07,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-10,'REG','BAFL','Bank Alfalah Ltd.','READY',28.3395,25.6405,"26.99
"
2014-Feb-2014-02-10,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',28.4445,25.7355,"27.09
"
2014-Feb-2014-02-10,'ODL','BAFL','Bank Alfalah Ltd.','READY',28.3395,25.6405,"0
"
2014-Feb-2014-02-10,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-10,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',28.5495,25.8305,"27.19
"
2014-Feb-2014-02-10,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',29.169,26.391,"27.78
"
2014-Feb-2014-02-10,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',28.8645,26.1155,"27.49
"
2014-Feb-2014-02-10,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-11,'REG','BAFL','Bank Alfalah Ltd.','READY',28.245,25.555,"26.9
"
2014-Feb-2014-02-11,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',28.3605,25.6595,"27.01
"
2014-Feb-2014-02-11,'ODL','BAFL','Bank Alfalah Ltd.','READY',28.245,25.555,"0
"
2014-Feb-2014-02-11,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-11,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',28.749,26.011,"27.38
"
2014-Feb-2014-02-11,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',28.4445,25.7355,"27.09
"
2014-Feb-2014-02-11,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',29.064,26.296,"27.68
"
2014-Feb-2014-02-11,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-12,'REG','BAFL','Bank Alfalah Ltd.','READY',29.0745,26.3055,"27.69
"
2014-Feb-2014-02-12,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',29.19,26.41,"27.8
"
2014-Feb-2014-02-12,'ODL','BAFL','Bank Alfalah Ltd.','READY',29.0745,26.3055,"0
"
2014-Feb-2014-02-12,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-12,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',29.904,27.056,"28.48
"
2014-Feb-2014-02-12,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',29.589,26.771,"28.18
"
2014-Feb-2014-02-12,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',29.2635,26.4765,"27.87
"
2014-Feb-2014-02-12,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-13,'REG','BAFL','Bank Alfalah Ltd.','READY',29.19,26.41,"27.8
"
2014-Feb-2014-02-13,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',29.4105,26.6095,"28.01
"
2014-Feb-2014-02-13,'ODL','BAFL','Bank Alfalah Ltd.','READY',29.19,26.41,"0
"
2014-Feb-2014-02-13,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-13,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',29.988,27.132,"28.56
"
2014-Feb-2014-02-13,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',29.673,26.847,"28.26
"
2014-Feb-2014-02-13,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',29.3475,26.5525,"27.95
"
2014-Feb-2014-02-13,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-14,'REG','BAFL','Bank Alfalah Ltd.','READY',29.3475,26.5525,"27.95
"
2014-Feb-2014-02-14,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',29.3895,26.5905,"27.99
"
2014-Feb-2014-02-14,'ODL','BAFL','Bank Alfalah Ltd.','READY',29.3475,26.5525,"0
"
2014-Feb-2014-02-14,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-14,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',30.135,27.265,"28.7
"
2014-Feb-2014-02-14,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',29.82,26.98,"28.4
"
2014-Feb-2014-02-14,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',29.4945,26.6855,"28.09
"
2014-Feb-2014-02-14,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-17,'REG','BAFL','Bank Alfalah Ltd.','READY',28.9695,26.2105,"27.59
"
2014-Feb-2014-02-17,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',28.9275,26.1725,"27.55
"
2014-Feb-2014-02-17,'ODL','BAFL','Bank Alfalah Ltd.','READY',28.9695,26.2105,"0
"
2014-Feb-2014-02-17,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-17,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',29.421,26.619,"28.02
"
2014-Feb-2014-02-17,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',29.106,26.334,"27.72
"
2014-Feb-2014-02-17,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',29.736,26.904,"28.32
"
2014-Feb-2014-02-17,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-18,'REG','BAFL','Bank Alfalah Ltd.','READY',28.77,26.03,"27.4
"
2014-Feb-2014-02-18,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',28.875,26.125,"27.5
"
2014-Feb-2014-02-18,'ODL','BAFL','Bank Alfalah Ltd.','READY',28.77,26.03,"0
"
2014-Feb-2014-02-18,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-18,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',28.896,26.144,"27.52
"
2014-Feb-2014-02-18,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',29.526,26.714,"28.12
"
2014-Feb-2014-02-18,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',29.211,26.429,"27.82
"
2014-Feb-2014-02-18,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-19,'REG','BAFL','Bank Alfalah Ltd.','READY',28.917,26.163,"27.54
"
2014-Feb-2014-02-19,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',29.085,26.315,"27.7
"
2014-Feb-2014-02-19,'ODL','BAFL','Bank Alfalah Ltd.','READY',28.917,26.163,"0
"
2014-Feb-2014-02-19,'CFS','BAFL','Bank Alfalah Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-19,'CSF','BAFL-CAPR','Bank Alfalah Ltd.','READY',29.6625,26.8375,"28.25
"
2014-Feb-2014-02-19,'CSF','BAFL-CMAR','Bank Alfalah Ltd.','READY',29.3475,26.5525,"27.95
"
2014-Feb-2014-02-19,'CSF','BAFL-CFEB','Bank Alfalah Ltd.','READY',29.0325,26.2675,"27.65
"
2014-Feb-2014-02-19,'BNB','BAFLTFC5','Bank Alfalah Limited',170,400,1,"102.2204
"
2014-Feb-2014-02-20,'REG','BAFL','Bank Alfalah Ltd.','READY',29.148,26.372,"27.76
"
2014-Feb-2014-02-20,'FUT','BAFL-FEB','Bank Alfalah Ltd.','READY',29.2845,26.4955,"27.89
"
