Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,'REG','DGKC','D. G. Khan Cement Co. Ltd.','READY',100.2435,90.6965,"95.47
"
2014-Feb-2014-02-04,'FUT','DGKC-JAN','D. G. Khan Cement Co. Ltd.','READY',100.506,90.934,"95.72
"
2014-Feb-2014-02-04,'FUT','DGKC-FEB','D. G. Khan Cement Co. Ltd.','READY',100.884,91.276,"96.08
"
2014-Feb-2014-02-04,'ODL','DGKC','D. G. Khan Cement Co. Ltd.','READY',100.2435,90.6965,"0
"
2014-Feb-2014-02-04,'CFS','DGKC','D. G. Khan Cement Co. Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-04,'CSF','DGKC-CJAN','D. G. Khan Cement Co. Ltd.','READY',100.4325,90.8675,"95.65
"
2014-Feb-2014-02-04,'CSF','DGKC-CFEB','D. G. Khan Cement Co. Ltd.','READY',101.1885,91.5515,"96.37
"
2014-Feb-2014-02-04,'CSF','DGKC-CMAR','D. G. Khan Cement Co. Ltd.','READY',102.3015,92.5585,"97.43
"
2014-Feb-2014-02-04,'CSF','DGKC-CAPR','D. G. Khan Cement Co. Ltd.','READY',103.404,93.556,"98.48
"
2014-Feb-2014-02-06,'REG','DGKC','D. G. Khan Cement Co. Ltd.','READY',101.2515,91.6085,"96.43
"
2014-Feb-2014-02-06,'FUT','DGKC-FEB','D. G. Khan Cement Co. Ltd.','READY',101.913,92.207,"97.06
"
2014-Feb-2014-02-06,'FUT','DGKC-JAN','D. G. Khan Cement Co. Ltd.','READY',100.506,90.934,"95.72
"
2014-Feb-2014-02-06,'ODL','DGKC','D. G. Khan Cement Co. Ltd.','READY',101.2515,91.6085,"0
"
2014-Feb-2014-02-06,'CFS','DGKC','D. G. Khan Cement Co. Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-06,'CSF','DGKC-CAPR','D. G. Khan Cement Co. Ltd.','READY',104.328,94.392,"99.36
"
2014-Feb-2014-02-06,'CSF','DGKC-CJAN','D. G. Khan Cement Co. Ltd.','READY',100.4325,90.8675,"95.65
"
2014-Feb-2014-02-06,'CSF','DGKC-CFEB','D. G. Khan Cement Co. Ltd.','READY',102.0915,92.3685,"97.23
"
2014-Feb-2014-02-06,'CSF','DGKC-CMAR','D. G. Khan Cement Co. Ltd.','READY',103.2045,93.3755,"98.29
"
2014-Feb-2014-02-07,'REG','DGKC','D. G. Khan Cement Co. Ltd.','READY',100.8735,91.2665,"96.07
"
2014-Feb-2014-02-07,'FUT','DGKC-FEB','D. G. Khan Cement Co. Ltd.','READY',101.3145,91.6655,"96.49
"
2014-Feb-2014-02-07,'ODL','DGKC','D. G. Khan Cement Co. Ltd.','READY',100.8735,91.2665,"0
"
2014-Feb-2014-02-07,'CFS','DGKC','D. G. Khan Cement Co. Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-07,'CSF','DGKC-CFEB','D. G. Khan Cement Co. Ltd.','READY',101.661,91.979,"96.82
"
2014-Feb-2014-02-07,'CSF','DGKC-CMAR','D. G. Khan Cement Co. Ltd.','READY',102.774,92.986,"97.88
"
2014-Feb-2014-02-07,'CSF','DGKC-CAPR','D. G. Khan Cement Co. Ltd.','READY',103.887,93.993,"98.94
"
2014-Feb-2014-02-10,'REG','DGKC','D. G. Khan Cement Co. Ltd.','READY',96.411,87.229,"91.82
"
2014-Feb-2014-02-10,'FUT','DGKC-FEB','D. G. Khan Cement Co. Ltd.','READY',96.6525,87.4475,"92.05
"
2014-Feb-2014-02-10,'ODL','DGKC','D. G. Khan Cement Co. Ltd.','READY',96.411,87.229,"0
"
2014-Feb-2014-02-10,'CFS','DGKC','D. G. Khan Cement Co. Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-10,'CSF','DGKC-CFEB','D. G. Khan Cement Co. Ltd.','READY',97.125,87.875,"92.5
"
2014-Feb-2014-02-10,'CSF','DGKC-CMAR','D. G. Khan Cement Co. Ltd.','READY',98.1855,88.8345,"93.51
"
2014-Feb-2014-02-10,'CSF','DGKC-CAPR','D. G. Khan Cement Co. Ltd.','READY',99.246,89.794,"94.52
"
2014-Feb-2014-02-11,'REG','DGKC','D. G. Khan Cement Co. Ltd.','READY',95.97,86.83,"91.4
"
2014-Feb-2014-02-11,'FUT','DGKC-FEB','D. G. Khan Cement Co. Ltd.','READY',96.411,87.229,"91.82
"
2014-Feb-2014-02-11,'ODL','DGKC','D. G. Khan Cement Co. Ltd.','READY',95.97,86.83,"0
"
