Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,'REG','CHBL','Chenab Limited','READY',10.81,8.81,"9.81
"
2014-Feb-2014-02-04,'REG','HBL','Habib Bank Limited.','READY',172.6725,156.2275,"164.45
"
2014-Feb-2014-02-04,'ODL','CHBL','Chenab Limited','READY',10.81,8.81,"0
"
2014-Feb-2014-02-04,'ODL','HBL','Habib Bank Limited.','READY',172.6725,156.2275,"0
"
2014-Feb-2014-02-04,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-06,'REG','HBL','Habib Bank Limited.','READY',175.119,158.441,"166.78
"
2014-Feb-2014-02-06,'REG','CHBL','Chenab Limited','READY',10.5,8.5,"9.5
"
2014-Feb-2014-02-06,'ODL','CHBL','Chenab Limited','READY',10.5,8.5,"0
"
2014-Feb-2014-02-06,'ODL','HBL','Habib Bank Limited.','READY',175.119,158.441,"0
"
2014-Feb-2014-02-06,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-07,'REG','HBL','Habib Bank Limited.','READY',173.2605,156.7595,"165.01
"
2014-Feb-2014-02-07,'REG','CHBL','Chenab Limited','READY',9.5,7.5,"8.5
"
2014-Feb-2014-02-07,'ODL','CHBL','Chenab Limited','READY',9.5,7.5,"0
"
2014-Feb-2014-02-07,'ODL','HBL','Habib Bank Limited.','READY',173.2605,156.7595,"0
"
2014-Feb-2014-02-07,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-10,'REG','CHBL','Chenab Limited','READY',9.37,7.37,"8.37
"
2014-Feb-2014-02-10,'REG','HBL','Habib Bank Limited.','READY',170.961,154.679,"162.82
"
2014-Feb-2014-02-10,'ODL','HBL','Habib Bank Limited.','READY',170.961,154.679,"0
"
2014-Feb-2014-02-10,'ODL','CHBL','Chenab Limited','READY',9.37,7.37,"0
"
2014-Feb-2014-02-10,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-11,'REG','CHBL','Chenab Limited','READY',9.13,7.13,"8.13
"
2014-Feb-2014-02-11,'REG','HBL','Habib Bank Limited.','READY',172.578,156.142,"164.36
"
2014-Feb-2014-02-11,'ODL','HBL','Habib Bank Limited.','READY',172.578,156.142,"0
"
2014-Feb-2014-02-11,'ODL','CHBL','Chenab Limited','READY',9.13,7.13,"0
"
2014-Feb-2014-02-11,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-12,'REG','HBL','Habib Bank Limited.','READY',172.326,155.914,"164.12
"
2014-Feb-2014-02-12,'REG','CHBL','Chenab Limited','READY',9.15,7.15,"8.15
"
2014-Feb-2014-02-12,'ODL','CHBL','Chenab Limited','READY',9.15,7.15,"0
"
2014-Feb-2014-02-12,'ODL','HBL','Habib Bank Limited.','READY',172.326,155.914,"0
"
2014-Feb-2014-02-12,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-13,'REG','HBL','Habib Bank Limited.','READY',170.8875,154.6125,"162.75
"
2014-Feb-2014-02-13,'REG','CHBL','Chenab Limited','READY',8.9,6.9,"7.9
"
2014-Feb-2014-02-13,'ODL','CHBL','Chenab Limited','READY',8.9,6.9,"0
"
2014-Feb-2014-02-13,'ODL','HBL','Habib Bank Limited.','READY',170.8875,154.6125,"0
"
2014-Feb-2014-02-13,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-14,'REG','HBL','Habib Bank Limited.','READY',171.1605,154.8595,"163.01
"
2014-Feb-2014-02-14,'REG','CHBL','Chenab Limited','READY',8.66,6.66,"7.66
"
2014-Feb-2014-02-14,'ODL','CHBL','Chenab Limited','READY',8.66,6.66,"0
"
2014-Feb-2014-02-14,'ODL','HBL','Habib Bank Limited.','READY',171.1605,154.8595,"0
"
2014-Feb-2014-02-14,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-17,'REG','HBL','Habib Bank Limited.','READY',167.7795,151.8005,"159.79
"
2014-Feb-2014-02-17,'REG','CHBL','Chenab Limited','READY',8.08,6.08,"7.08
"
2014-Feb-2014-02-17,'ODL','HBL','Habib Bank Limited.','READY',167.7795,151.8005,"0
"
2014-Feb-2014-02-17,'ODL','CHBL','Chenab Limited','READY',8.08,6.08,"0
"
2014-Feb-2014-02-17,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-18,'REG','CHBL','Chenab Limited','READY',7.79,5.79,"6.79
"
2014-Feb-2014-02-18,'REG','HBL','Habib Bank Limited.','READY',167.832,151.848,"159.84
"
2014-Feb-2014-02-18,'ODL','HBL','Habib Bank Limited.','READY',167.832,151.848,"0
"
2014-Feb-2014-02-18,'ODL','CHBL','Chenab Limited','READY',7.79,5.79,"0
"
2014-Feb-2014-02-18,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-19,'REG','HBL','Habib Bank Limited.','READY',169.533,153.387,"161.46
"
2014-Feb-2014-02-19,'REG','CHBL','Chenab Limited','READY',8.6,6.6,"7.6
"
2014-Feb-2014-02-19,'ODL','CHBL','Chenab Limited','READY',8.6,6.6,"0
"
2014-Feb-2014-02-19,'ODL','HBL','Habib Bank Limited.','READY',169.533,153.387,"0
"
2014-Feb-2014-02-19,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-20,'REG','CHBL','Chenab Limited','READY',8.27,6.27,"7.27
"
2014-Feb-2014-02-20,'REG','HBL','Habib Bank Limited.','READY',168.924,152.836,"160.88
"
2014-Feb-2014-02-20,'ODL','CHBL','Chenab Limited','READY',8.27,6.27,"0
"
2014-Feb-2014-02-20,'ODL','HBL','Habib Bank Limited.','READY',168.924,152.836,"0
"
2014-Feb-2014-02-20,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-21,'REG','HBL','Habib Bank Limited.','READY',168.4725,152.4275,"160.45
"
2014-Feb-2014-02-21,'REG','CHBL','Chenab Limited','READY',8.44,6.44,"7.44
"
2014-Feb-2014-02-21,'ODL','CHBL','Chenab Limited','READY',8.44,6.44,"0
"
2014-Feb-2014-02-21,'ODL','HBL','Habib Bank Limited.','READY',168.4725,152.4275,"0
"
2014-Feb-2014-02-21,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-24,'REG','HBL','Habib Bank Limited.','READY',168.8715,152.7885,"160.83
"
2014-Feb-2014-02-24,'REG','CHBL','Chenab Limited','READY',8.37,6.37,"7.37
"
2014-Feb-2014-02-24,'ODL','HBL','Habib Bank Limited.','READY',168.8715,152.7885,"0
"
2014-Feb-2014-02-24,'ODL','CHBL','Chenab Limited','READY',8.37,6.37,"0
"
2014-Feb-2014-02-24,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-25,'REG','CHBL','Chenab Limited','READY',7.65,5.65,"6.65
"
2014-Feb-2014-02-25,'REG','HBL','Habib Bank Limited.','READY',166.6245,150.7555,"158.69
"
2014-Feb-2014-02-25,'ODL','HBL','Habib Bank Limited.','READY',166.6245,150.7555,"0
"
2014-Feb-2014-02-25,'ODL','CHBL','Chenab Limited','READY',7.65,5.65,"0
"
2014-Feb-2014-02-25,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-26,'REG','CHBL','Chenab Limited','READY',7.53,5.53,"6.53
"
2014-Feb-2014-02-26,'REG','HBL','Habib Bank Limited.','READY',164.5875,148.9125,"156.75
"
2014-Feb-2014-02-26,'ODL','CHBL','Chenab Limited','READY',7.53,5.53,"0
"
2014-Feb-2014-02-26,'ODL','HBL','Habib Bank Limited.','READY',164.5875,148.9125,"0
"
2014-Feb-2014-02-26,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-27,'REG','HBL','Habib Bank Limited.','READY',168.819,152.741,"160.78
"
2014-Feb-2014-02-27,'REG','CHBL','Chenab Limited','READY',6.88,4.88,"5.88
"
2014-Feb-2014-02-27,'ODL','CHBL','Chenab Limited','READY',6.88,4.88,"0
"
2014-Feb-2014-02-27,'ODL','HBL','Habib Bank Limited.','READY',168.819,152.741,"0
"
2014-Feb-2014-02-27,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Feb-2014-02-28,'REG','HBL','Habib Bank Limited.','READY',170.415,154.185,"162.3
"
2014-Feb-2014-02-28,'REG','CHBL','Chenab Limited','READY',6.8,4.8,"5.8
"
2014-Feb-2014-02-28,'ODL','CHBL','Chenab Limited','READY',6.8,4.8,"0
"
2014-Feb-2014-02-28,'ODL','HBL','Habib Bank Limited.','READY',170.415,154.185,"0
"
2014-Feb-2014-02-28,'CFS','CHBL','Chenab Limited','READY',23.63,.01,"0
"
2014-Mar-2014-03-03,'REG','HBL','Habib Bank Limited.','READY',175.329,158.631,"166.98
"
