Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,'REG','HUBC','Hub Power Company Limited.','READY',66.612,60.268,"63.44
"
2014-Feb-2014-02-04,'FUT','HUBC-JAN','Hub Power Company Limited.','READY',67.4625,61.0375,"64.25
"
2014-Feb-2014-02-04,'FUT','HUBC-FEB','Hub Power Company Limited.','READY',67.2,60.8,"64
"
2014-Feb-2014-02-04,'ODL','HUBC','Hub Power Company Limited.','READY',66.612,60.268,"0
"
2014-Feb-2014-02-04,'CFS','HUBC','Hub Power Company Limited.','READY',23.63,.01,"0
"
2014-Feb-2014-02-04,'CSF','HUBC-CAPR','Hub Power Company Limited.','READY',68.712,62.168,"65.44
"
2014-Feb-2014-02-04,'CSF','HUBC-CJAN','Hub Power Company Limited.','READY',67.767,61.313,"64.54
"
2014-Feb-2014-02-04,'CSF','HUBC-CMAR','Hub Power Company Limited.','READY',67.977,61.503,"64.74
"
2014-Feb-2014-02-04,'CSF','HUBC-CFEB','Hub Power Company Limited.','READY',67.242,60.838,"64.04
"
2014-Feb-2014-02-06,'REG','HUBC','Hub Power Company Limited.','READY',66.6015,60.2585,"63.43
"
2014-Feb-2014-02-06,'FUT','HUBC-FEB','Hub Power Company Limited.','READY',67.1895,60.7905,"63.99
"
2014-Feb-2014-02-06,'FUT','HUBC-JAN','Hub Power Company Limited.','READY',67.4625,61.0375,"64.25
"
2014-Feb-2014-02-06,'ODL','HUBC','Hub Power Company Limited.','READY',66.6015,60.2585,"0
"
2014-Feb-2014-02-06,'CFS','HUBC','Hub Power Company Limited.','READY',23.63,.01,"0
"
2014-Feb-2014-02-06,'CSF','HUBC-CFEB','Hub Power Company Limited.','READY',67.1475,60.7525,"63.95
"
2014-Feb-2014-02-06,'CSF','HUBC-CAPR','Hub Power Company Limited.','READY',68.6175,62.0825,"65.35
"
2014-Feb-2014-02-06,'CSF','HUBC-CJAN','Hub Power Company Limited.','READY',67.767,61.313,"64.54
"
2014-Feb-2014-02-06,'CSF','HUBC-CMAR','Hub Power Company Limited.','READY',67.8825,61.4175,"64.65
"
2014-Feb-2014-02-07,'REG','HUBC','Hub Power Company Limited.','READY',66.108,59.812,"62.96
"
2014-Feb-2014-02-07,'FUT','HUBC-FEB','Hub Power Company Limited.','READY',66.675,60.325,"63.5
"
2014-Feb-2014-02-07,'ODL','HUBC','Hub Power Company Limited.','READY',66.108,59.812,"0
"
2014-Feb-2014-02-07,'CFS','HUBC','Hub Power Company Limited.','READY',23.63,.01,"0
"
2014-Feb-2014-02-07,'CSF','HUBC-CAPR','Hub Power Company Limited.','READY',68.082,61.598,"64.84
"
2014-Feb-2014-02-07,'CSF','HUBC-CMAR','Hub Power Company Limited.','READY',67.3575,60.9425,"64.15
"
2014-Feb-2014-02-07,'CSF','HUBC-CFEB','Hub Power Company Limited.','READY',66.6225,60.2775,"63.45
"
2014-Feb-2014-02-10,'REG','HUBC','Hub Power Company Limited.','READY',66.0765,59.7835,"62.93
"
2014-Feb-2014-02-10,'FUT','HUBC-FEB','Hub Power Company Limited.','READY',66.591,60.249,"63.42
"
2014-Feb-2014-02-10,'ODL','HUBC','Hub Power Company Limited.','READY',66.0765,59.7835,"0
"
2014-Feb-2014-02-10,'CFS','HUBC','Hub Power Company Limited.','READY',23.63,.01,"0
"
2014-Feb-2014-02-10,'CSF','HUBC-CFEB','Hub Power Company Limited.','READY',66.57,60.23,"63.4
"
2014-Feb-2014-02-10,'CSF','HUBC-CAPR','Hub Power Company Limited.','READY',68.019,61.541,"64.78
"
2014-Feb-2014-02-10,'CSF','HUBC-CMAR','Hub Power Company Limited.','READY',67.2945,60.8855,"64.09
"
2014-Feb-2014-02-11,'REG','HUBC','Hub Power Company Limited.','READY',65.583,59.337,"62.46
"
2014-Feb-2014-02-11,'FUT','HUBC-FEB','Hub Power Company Limited.','READY',65.9925,59.7075,"62.85
"
2014-Feb-2014-02-11,'ODL','HUBC','Hub Power Company Limited.','READY',65.583,59.337,"0
"
2014-Feb-2014-02-11,'CFS','HUBC','Hub Power Company Limited.','READY',23.63,.01,"0
"
2014-Feb-2014-02-11,'CSF','HUBC-CFEB','Hub Power Company Limited.','READY',66.045,59.755,"62.9
"
2014-Feb-2014-02-11,'CSF','HUBC-CAPR','Hub Power Company Limited.','READY',67.4835,61.0565,"64.27
"
2014-Feb-2014-02-11,'CSF','HUBC-CMAR','Hub Power Company Limited.','READY',66.759,60.401,"63.58
"
2014-Feb-2014-02-12,'REG','HUBC','Hub Power Company Limited.','READY',66.5385,60.2015,"63.37
"
2014-Feb-2014-02-12,'FUT','HUBC-FEB','Hub Power Company Limited.','READY',67.011,60.629,"63.82
"
2014-Feb-2014-02-12,'ODL','HUBC','Hub Power Company Limited.','READY',66.5385,60.2015,"0
"
2014-Feb-2014-02-12,'CFS','HUBC','Hub Power Company Limited.','READY',23.63,.01,"0
"
2014-Feb-2014-02-12,'CSF','HUBC-CAPR','Hub Power Company Limited.','READY',68.439,61.921,"65.18
"
2014-Feb-2014-02-12,'CSF','HUBC-CMAR','Hub Power Company Limited.','READY',67.7145,61.2655,"64.49
"
2014-Feb-2014-02-12,'CSF','HUBC-CFEB','Hub Power Company Limited.','READY',66.9795,60.6005,"63.79
"
2014-Feb-2014-02-13,'REG','HUBC','Hub Power Company Limited.','READY',65.877,59.603,"62.74
"
2014-Feb-2014-02-13,'FUT','HUBC-FEB','Hub Power Company Limited.','READY',66.15,59.85,"63
"
2014-Feb-2014-02-13,'ODL','HUBC','Hub Power Company Limited.','READY',65.877,59.603,"0
"
2014-Feb-2014-02-13,'CFS','HUBC','Hub Power Company Limited.','READY',23.63,.01,"0
"
2014-Feb-2014-02-13,'CSF','HUBC-CAPR','Hub Power Company Limited.','READY',67.683,61.237,"64.46
"
2014-Feb-2014-02-13,'CSF','HUBC-CMAR','Hub Power Company Limited.','READY',66.9585,60.5815,"63.77
"
2014-Feb-2014-02-13,'CSF','HUBC-CFEB','Hub Power Company Limited.','READY',66.234,59.926,"63.08
"
2014-Feb-2014-02-14,'REG','HUBC','Hub Power Company Limited.','READY',65.646,59.394,"62.52
"
2014-Feb-2014-02-14,'FUT','HUBC-FEB','Hub Power Company Limited.','READY',66.003,59.717,"62.86
"
2014-Feb-2014-02-14,'ODL','HUBC','Hub Power Company Limited.','READY',65.646,59.394,"0
"
2014-Feb-2014-02-14,'CFS','HUBC','Hub Power Company Limited.','READY',23.63,.01,"0
"
2014-Feb-2014-02-14,'CSF','HUBC-CAPR','Hub Power Company Limited.','READY',67.41,60.99,"64.2
"
