Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',286.4295,259.1505,"272.79
"
2014-Feb-2014-02-04,'FUT','OGDC-JAN','Oil & Gas Development Company Ltd.','READY',285.9675,258.7325,"272.35
"
2014-Feb-2014-02-04,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',285.6,258.4,"272
"
2014-Feb-2014-02-04,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',286.4295,259.1505,"0
"
2014-Feb-2014-02-04,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-04,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',292.299,264.461,"278.38
"
2014-Feb-2014-02-04,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',295.4595,267.3205,"281.39
"
2014-Feb-2014-02-04,'CSF','OGDC-CJAN','Oil & Gas Development Company Ltd.','READY',286.0515,258.8085,"272.43
"
2014-Feb-2014-02-04,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',289.1385,261.6015,"275.37
"
2014-Feb-2014-02-06,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',288.33,260.87,"274.6
"
2014-Feb-2014-02-06,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',288.225,260.775,"274.5
"
2014-Feb-2014-02-06,'FUT','OGDC-JAN','Oil & Gas Development Company Ltd.','READY',285.9675,258.7325,"272.35
"
2014-Feb-2014-02-06,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',288.33,260.87,"0
"
2014-Feb-2014-02-06,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-06,'CSF','OGDC-CJAN','Oil & Gas Development Company Ltd.','READY',286.0515,258.8085,"272.43
"
2014-Feb-2014-02-06,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',290.7135,263.0265,"276.87
"
2014-Feb-2014-02-06,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',293.895,265.905,"279.9
"
2014-Feb-2014-02-06,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',297.0765,268.7835,"282.93
"
2014-Feb-2014-02-07,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',287.028,259.692,"273.36
"
2014-Feb-2014-02-07,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',287.217,259.863,"273.54
"
2014-Feb-2014-02-07,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',287.028,259.692,"0
"
2014-Feb-2014-02-07,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-07,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',289.2855,261.7345,"275.51
"
2014-Feb-2014-02-07,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',292.4355,264.5845,"278.51
"
2014-Feb-2014-02-07,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',295.596,267.444,"281.52
"
2014-Feb-2014-02-10,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',281.5155,254.7045,"268.11
"
2014-Feb-2014-02-10,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',281.337,254.543,"267.94
"
2014-Feb-2014-02-10,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',281.5155,254.7045,"0
"
2014-Feb-2014-02-10,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-10,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',283.6155,256.6045,"270.11
"
2014-Feb-2014-02-10,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',286.7025,259.3975,"273.05
"
2014-Feb-2014-02-10,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',289.7895,262.1905,"275.99
"
2014-Feb-2014-02-11,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',280.9065,254.1535,"267.53
"
2014-Feb-2014-02-11,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',281.4105,254.6095,"268.01
"
2014-Feb-2014-02-11,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',280.9065,254.1535,"0
"
2014-Feb-2014-02-11,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-11,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',282.891,255.949,"269.42
"
2014-Feb-2014-02-11,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',285.9675,258.7325,"272.35
"
2014-Feb-2014-02-11,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',289.044,261.516,"275.28
"
2014-Feb-2014-02-12,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',287.805,260.395,"274.1
"
2014-Feb-2014-02-12,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',287.7735,260.3665,"274.07
"
2014-Feb-2014-02-12,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',287.805,260.395,"0
"
2014-Feb-2014-02-12,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-12,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',289.716,262.124,"275.92
"
2014-Feb-2014-02-12,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',292.8765,264.9835,"278.93
"
2014-Feb-2014-02-12,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',296.0265,267.8335,"281.93
"
2014-Feb-2014-02-13,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',281.3895,254.5905,"267.99
"
2014-Feb-2014-02-13,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',283.3845,256.3955,"269.89
"
2014-Feb-2014-02-13,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',281.3895,254.5905,"0
"
2014-Feb-2014-02-13,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-13,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',282.933,255.987,"269.46
"
2014-Feb-2014-02-13,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',286.02,258.78,"272.4
"
2014-Feb-2014-02-13,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',289.0965,261.5635,"275.33
"
2014-Feb-2014-02-14,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',281.442,254.638,"268.04
"
2014-Feb-2014-02-14,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',281.4525,254.6475,"268.05
"
2014-Feb-2014-02-14,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',281.442,254.638,"0
"
2014-Feb-2014-02-14,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-14,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',282.8595,255.9205,"269.39
"
2014-Feb-2014-02-14,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',285.9255,258.6945,"272.31
"
2014-Feb-2014-02-14,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',288.9915,261.4685,"275.23
"
2014-Feb-2014-02-17,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',280.7175,253.9825,"267.35
"
2014-Feb-2014-02-17,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',281.4,254.6,"268
"
2014-Feb-2014-02-17,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',280.7175,253.9825,"0
"
2014-Feb-2014-02-17,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-17,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',282.03,255.17,"268.6
"
2014-Feb-2014-02-17,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',285.096,257.944,"271.52
"
2014-Feb-2014-02-17,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',288.162,260.718,"274.44
"
2014-Feb-2014-02-18,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',280.8225,254.0775,"267.45
"
2014-Feb-2014-02-18,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',281.925,255.075,"268.5
"
2014-Feb-2014-02-18,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',280.8225,254.0775,"0
"
2014-Feb-2014-02-18,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-18,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',282.03,255.17,"268.6
"
2014-Feb-2014-02-18,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',285.1065,257.9535,"271.53
"
2014-Feb-2014-02-18,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',288.1725,260.7275,"274.45
"
2014-Feb-2014-02-19,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',278.355,251.845,"265.1
"
2014-Feb-2014-02-19,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',279.0585,252.4815,"265.77
"
2014-Feb-2014-02-19,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',278.355,251.845,"0
"
2014-Feb-2014-02-19,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-19,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',279.447,252.833,"266.14
"
2014-Feb-2014-02-19,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',282.492,255.588,"269.04
"
2014-Feb-2014-02-19,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',285.537,258.343,"271.94
"
2014-Feb-2014-02-20,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',276.4335,250.1065,"263.27
"
2014-Feb-2014-02-20,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',277.032,250.648,"263.84
"
2014-Feb-2014-02-20,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',276.4335,250.1065,"0
"
2014-Feb-2014-02-20,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-20,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',277.1895,250.7905,"263.99
"
2014-Feb-2014-02-20,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',280.2135,253.5265,"266.87
"
2014-Feb-2014-02-20,'CSF','OGDC-CAPR','Oil & Gas Development Company Ltd.','READY',283.2375,256.2625,"269.75
"
2014-Feb-2014-02-21,'REG','OGDC','Oil & Gas Development Company Ltd.','READY',275.877,249.603,"262.74
"
2014-Feb-2014-02-21,'FUT','OGDC-MAR','Oil & Gas Development Company Ltd.','READY',276.675,250.325,"263.5
"
2014-Feb-2014-02-21,'FUT','OGDC-FEB','Oil & Gas Development Company Ltd.','READY',276.675,250.325,"263.5
"
2014-Feb-2014-02-21,'ODL','OGDC','Oil & Gas Development Company Ltd.','READY',275.877,249.603,"0
"
2014-Feb-2014-02-21,'CFS','OGDC','Oil & Gas Development Company Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-21,'CSF','OGDC-CFEB','Oil & Gas Development Company Ltd.','READY',276.5175,250.1825,"263.35
"
2014-Feb-2014-02-21,'CSF','OGDC-CMAR','Oil & Gas Development Company Ltd.','READY',279.489,252.871,"266.18
"
