Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,'REG','PRL','Pakistan Refinery Ltd.','READY',88.956,80.484,"84.72
"
2014-Feb-2014-02-04,'ODL','PRL','Pakistan Refinery Ltd.','READY',88.956,80.484,"0
"
2014-Feb-2014-02-04,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-04,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-04,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-06,'REG','PRL','Pakistan Refinery Ltd.','READY',86.8455,78.5745,"82.71
"
2014-Feb-2014-02-06,'ODL','PRL','Pakistan Refinery Ltd.','READY',86.8455,78.5745,"0
"
2014-Feb-2014-02-06,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-06,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-06,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-07,'REG','PRL','Pakistan Refinery Ltd.','READY',86.184,77.976,"82.08
"
2014-Feb-2014-02-07,'ODL','PRL','Pakistan Refinery Ltd.','READY',86.184,77.976,"0
"
2014-Feb-2014-02-07,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-07,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-07,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-10,'REG','PRL','Pakistan Refinery Ltd.','READY',85.806,77.634,"81.72
"
2014-Feb-2014-02-10,'ODL','PRL','Pakistan Refinery Ltd.','READY',85.806,77.634,"0
"
2014-Feb-2014-02-10,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-10,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-10,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-11,'REG','PRL','Pakistan Refinery Ltd.','READY',86.2365,78.0235,"82.13
"
2014-Feb-2014-02-11,'ODL','PRL','Pakistan Refinery Ltd.','READY',86.2365,78.0235,"0
"
2014-Feb-2014-02-11,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-11,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-11,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-12,'REG','PRL','Pakistan Refinery Ltd.','READY',90.5415,81.9185,"86.23
"
2014-Feb-2014-02-12,'ODL','PRL','Pakistan Refinery Ltd.','READY',90.5415,81.9185,"0
"
2014-Feb-2014-02-12,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-12,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-12,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-13,'REG','PRL','Pakistan Refinery Ltd.','READY',86.457,78.223,"82.34
"
2014-Feb-2014-02-13,'ODL','PRL','Pakistan Refinery Ltd.','READY',86.457,78.223,"0
"
2014-Feb-2014-02-13,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-13,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-13,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-14,'REG','PRL','Pakistan Refinery Ltd.','READY',85.05,76.95,"81
"
2014-Feb-2014-02-14,'ODL','PRL','Pakistan Refinery Ltd.','READY',85.05,76.95,"0
"
2014-Feb-2014-02-14,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-14,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-14,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-17,'REG','PRL','Pakistan Refinery Ltd.','READY',83.496,75.544,"79.52
"
2014-Feb-2014-02-17,'ODL','PRL','Pakistan Refinery Ltd.','READY',83.496,75.544,"0
"
2014-Feb-2014-02-17,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-17,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-17,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-18,'REG','PRL','Pakistan Refinery Ltd.','READY',85.071,76.969,"81.02
"
2014-Feb-2014-02-18,'ODL','PRL','Pakistan Refinery Ltd.','READY',85.071,76.969,"0
"
2014-Feb-2014-02-18,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-18,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-18,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-19,'REG','PRL','Pakistan Refinery Ltd.','READY',80.8185,73.1215,"76.97
"
2014-Feb-2014-02-19,'ODL','PRL','Pakistan Refinery Ltd.','READY',80.8185,73.1215,"0
"
2014-Feb-2014-02-19,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-19,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-19,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-20,'REG','PRL','Pakistan Refinery Ltd.','READY',82.32,74.48,"78.4
"
2014-Feb-2014-02-20,'ODL','PRL','Pakistan Refinery Ltd.','READY',82.32,74.48,"0
"
2014-Feb-2014-02-20,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-20,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-20,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-21,'REG','PRL','Pakistan Refinery Ltd.','READY',79.989,72.371,"76.18
"
2014-Feb-2014-02-21,'ODL','PRL','Pakistan Refinery Ltd.','READY',79.989,72.371,"0
"
2014-Feb-2014-02-21,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-21,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-21,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-24,'REG','PRL','Pakistan Refinery Ltd.','READY',83.979,75.981,"79.98
"
2014-Feb-2014-02-24,'ODL','PRL','Pakistan Refinery Ltd.','READY',83.979,75.981,"0
"
2014-Feb-2014-02-24,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-24,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-24,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-25,'REG','PRL','Pakistan Refinery Ltd.','READY',88.1685,79.7715,"83.97
"
2014-Feb-2014-02-25,'ODL','PRL','Pakistan Refinery Ltd.','READY',88.1685,79.7715,"0
"
2014-Feb-2014-02-25,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-25,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-25,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-26,'REG','PRL','Pakistan Refinery Ltd.','READY',85.344,77.216,"81.28
"
2014-Feb-2014-02-26,'ODL','PRL','Pakistan Refinery Ltd.','READY',85.344,77.216,"0
"
2014-Feb-2014-02-26,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-26,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-26,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-27,'REG','PRL','Pakistan Refinery Ltd.','READY',85.197,77.083,"81.14
"
2014-Feb-2014-02-27,'ODL','PRL','Pakistan Refinery Ltd.','READY',85.197,77.083,"0
"
2014-Feb-2014-02-27,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-27,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-27,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Feb-2014-02-28,'REG','PRL','Pakistan Refinery Ltd.','READY',89.355,80.845,"85.1
"
2014-Feb-2014-02-28,'ODL','PRL','Pakistan Refinery Ltd.','READY',89.355,80.845,"0
"
2014-Feb-2014-02-28,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-28,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Feb-2014-02-28,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Mar-2014-03-03,'REG','PRL','Pakistan Refinery Ltd.','READY',89.334,80.826,"85.08
"
2014-Mar-2014-03-03,'ODL','PRL','Pakistan Refinery Ltd.','READY',89.334,80.826,"0
"
2014-Mar-2014-03-03,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Mar-2014-03-03,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Mar-2014-03-03,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Mar-2014-03-04,'REG','PRL','Pakistan Refinery Ltd.','READY',89.334,80.826,"85.08
"
2014-Mar-2014-03-04,'ODL','PRL','Pakistan Refinery Ltd.','READY',89.334,80.826,"0
"
2014-Mar-2014-03-04,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Mar-2014-03-04,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Mar-2014-03-04,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Mar-2014-03-05,'REG','PRL','Pakistan Refinery Ltd.','READY',93.7965,84.8635,"89.33
"
2014-Mar-2014-03-05,'ODL','PRL','Pakistan Refinery Ltd.','READY',93.7965,84.8635,"0
"
2014-Mar-2014-03-05,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Mar-2014-03-05,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Mar-2014-03-05,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Mar-2014-03-06,'REG','PRL','Pakistan Refinery Ltd.','READY',98.4795,89.1005,"93.79
"
2014-Mar-2014-03-06,'ODL','PRL','Pakistan Refinery Ltd.','READY',98.4795,89.1005,"0
"
2014-Mar-2014-03-06,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Mar-2014-03-06,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Mar-2014-03-06,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Mar-2014-03-07,'REG','PRL','Pakistan Refinery Ltd.','READY',103.3935,93.5465,"98.47
"
2014-Mar-2014-03-07,'ODL','PRL','Pakistan Refinery Ltd.','READY',103.3935,93.5465,"0
"
2014-Mar-2014-03-07,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Mar-2014-03-07,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Mar-2014-03-07,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Mar-2014-03-09,'REG','PRL','Pakistan Refinery Ltd.','READY',152.7015,138.1585,"145.43
"
2014-Mar-2014-03-09,'ODL','PRL','Pakistan Refinery Ltd.','READY',152.7015,138.1585,"0
"
2014-Mar-2014-03-09,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Mar-2014-03-09,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Mar-2014-03-09,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
2014-Mar-2014-03-10,'REG','PRL','Pakistan Refinery Ltd.','READY',108.5595,98.2205,"103.39
"
2014-Mar-2014-03-10,'ODL','PRL','Pakistan Refinery Ltd.','READY',108.5595,98.2205,"0
"
2014-Mar-2014-03-10,'CFS','PRL','Pakistan Refinery Ltd.','READY',23.63,.01,"0
"
2014-Mar-2014-03-10,'BNB','PRLTFC','Pakistan Refinery Ltd. (TFC1)',170,400,1,"100
"
2014-Mar-2014-03-10,'BNB','PRLTFC2','Pakistan Refinery Ltd. (TFC2)',170,400,1,"100
"
