Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2014-Feb-2014-02-04,'REG','PSO','Pakistan State Oil Co Ltd.','READY',366.2085,331.3315,"348.77
"
2014-Feb-2014-02-04,'FUT','PSO-JAN','Pakistan State Oil Co Ltd.','READY',358.6065,324.4535,"341.53
"
2014-Feb-2014-02-04,'FUT','PSO-FEB','Pakistan State Oil Co Ltd.','READY',369.075,333.925,"351.5
"
2014-Feb-2014-02-04,'ODL','PSO','Pakistan State Oil Co Ltd.','READY',366.2085,331.3315,"0
"
2014-Feb-2014-02-04,'CFS','PSO','Pakistan State Oil Co Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-04,'CSF','PSO-CAPR','Pakistan State Oil Co Ltd.','READY',377.748,341.772,"359.76
"
2014-Feb-2014-02-04,'CSF','PSO-CJAN','Pakistan State Oil Co Ltd.','READY',358.785,324.615,"341.7
"
2014-Feb-2014-02-04,'CSF','PSO-CMAR','Pakistan State Oil Co Ltd.','READY',373.716,338.124,"355.92
"
2014-Feb-2014-02-04,'CSF','PSO-CFEB','Pakistan State Oil Co Ltd.','READY',369.6735,334.4665,"352.07
"
2014-Feb-2014-02-06,'REG','PSO','Pakistan State Oil Co Ltd.','READY',366.1455,331.2745,"348.71
"
2014-Feb-2014-02-06,'FUT','PSO-JAN','Pakistan State Oil Co Ltd.','READY',358.6065,324.4535,"341.53
"
2014-Feb-2014-02-06,'FUT','PSO-FEB','Pakistan State Oil Co Ltd.','READY',368.2875,333.2125,"350.75
"
2014-Feb-2014-02-06,'ODL','PSO','Pakistan State Oil Co Ltd.','READY',366.1455,331.2745,"0
"
2014-Feb-2014-02-06,'CFS','PSO','Pakistan State Oil Co Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-06,'CSF','PSO-CFEB','Pakistan State Oil Co Ltd.','READY',369.18,334.02,"351.6
"
2014-Feb-2014-02-06,'CSF','PSO-CAPR','Pakistan State Oil Co Ltd.','READY',377.2545,341.3255,"359.29
"
2014-Feb-2014-02-06,'CSF','PSO-CJAN','Pakistan State Oil Co Ltd.','READY',358.785,324.615,"341.7
"
2014-Feb-2014-02-06,'CSF','PSO-CMAR','Pakistan State Oil Co Ltd.','READY',373.212,337.668,"355.44
"
2014-Feb-2014-02-07,'REG','PSO','Pakistan State Oil Co Ltd.','READY',360.969,326.591,"343.78
"
2014-Feb-2014-02-07,'FUT','PSO-FEB','Pakistan State Oil Co Ltd.','READY',362.943,328.377,"345.66
"
2014-Feb-2014-02-07,'ODL','PSO','Pakistan State Oil Co Ltd.','READY',360.969,326.591,"0
"
2014-Feb-2014-02-07,'CFS','PSO','Pakistan State Oil Co Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-07,'CSF','PSO-CFEB','Pakistan State Oil Co Ltd.','READY',363.804,329.156,"346.48
"
2014-Feb-2014-02-07,'CSF','PSO-CAPR','Pakistan State Oil Co Ltd.','READY',371.742,336.338,"354.04
"
2014-Feb-2014-02-07,'CSF','PSO-CMAR','Pakistan State Oil Co Ltd.','READY',367.773,332.747,"350.26
"
2014-Feb-2014-02-10,'REG','PSO','Pakistan State Oil Co Ltd.','READY',354.5115,320.7485,"337.63
"
2014-Feb-2014-02-10,'FUT','PSO-FEB','Pakistan State Oil Co Ltd.','READY',356.496,322.544,"339.52
"
2014-Feb-2014-02-10,'ODL','PSO','Pakistan State Oil Co Ltd.','READY',354.5115,320.7485,"0
"
2014-Feb-2014-02-10,'CFS','PSO','Pakistan State Oil Co Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-10,'CSF','PSO-CFEB','Pakistan State Oil Co Ltd.','READY',357.147,323.133,"340.14
"
2014-Feb-2014-02-10,'CSF','PSO-CAPR','Pakistan State Oil Co Ltd.','READY',364.9275,330.1725,"347.55
"
2014-Feb-2014-02-10,'CSF','PSO-CMAR','Pakistan State Oil Co Ltd.','READY',361.0425,326.6575,"343.85
"
2014-Feb-2014-02-11,'REG','PSO','Pakistan State Oil Co Ltd.','READY',354.06,320.34,"337.2
"
2014-Feb-2014-02-11,'FUT','PSO-FEB','Pakistan State Oil Co Ltd.','READY',356.223,322.297,"339.26
"
2014-Feb-2014-02-11,'ODL','PSO','Pakistan State Oil Co Ltd.','READY',354.06,320.34,"0
"
2014-Feb-2014-02-11,'CFS','PSO','Pakistan State Oil Co Ltd.','READY',23.63,.01,"0
"
2014-Feb-2014-02-11,'CSF','PSO-CFEB','Pakistan State Oil Co Ltd.','READY',356.559,322.601,"339.58
"
2014-Feb-2014-02-11,'CSF','PSO-CAPR','Pakistan State Oil Co Ltd.','READY',364.3185,329.6215,"346.97
"
2014-Feb-2014-02-11,'CSF','PSO-CMAR','Pakistan State Oil Co Ltd.','READY',360.4335,326.1065,"343.27
"
2014-Feb-2014-02-12,'REG','PSO','Pakistan State Oil Co Ltd.','READY',370.6395,335.3405,"352.99
"
2014-Feb-2014-02-12,'FUT','PSO-FEB','Pakistan State Oil Co Ltd.','READY',372.6975,337.2025,"354.95
"
2014-Feb-2014-02-12,'ODL','PSO','Pakistan State Oil Co Ltd.','READY',370.6395,335.3405,"0
"
