Date,Type,Symbol,Company Name,Volume,High Price,Low Price,Closing Price
2015-Feb-2015-02-02,'REG','SYS','Systems Limited','READY',42,38,"40
"
2015-Feb-2015-02-02,'ODL','SYS','Systems Limited','READY',42,38,"0
"
2015-Feb-2015-02-03,'REG','SYS','Systems Limited','READY',44.0857,39.8871,"41.9864
"
2015-Feb-2015-02-03,'ODL','SYS','Systems Limited','READY',44.08572,39.88708,"0
"
2015-Feb-2015-02-04,'REG','SYS','Systems Limited','READY',46.28,41.8724,"44.0762
"
2015-Feb-2015-02-04,'ODL','SYS','Systems Limited','READY',46.28001,41.87239,"0
"
2015-Feb-2015-02-06,'REG','SYS','Systems Limited','READY',48.594,43.966,"46.28
"
2015-Feb-2015-02-06,'ODL','SYS','Systems Limited','READY',48.594,43.966,"0
"
2015-Feb-2015-02-09,'REG','SYS','Systems Limited','READY',51.0195,46.1605,"48.59
"
2015-Feb-2015-02-09,'ODL','SYS','Systems Limited','READY',51.0195,46.1605,"0
"
2015-Feb-2015-02-10,'REG','SYS','Systems Limited','READY',53.5605,48.4595,"51.01
"
2015-Feb-2015-02-10,'ODL','SYS','Systems Limited','READY',53.5605,48.4595,"0
"
2015-Feb-2015-02-12,'REG','SYS','Systems Limited','READY',59.0415,53.4185,"56.23
"
2015-Feb-2015-02-12,'ODL','SYS','Systems Limited','READY',59.0415,53.4185,"0
"
2015-Feb-2015-02-13,'REG','SYS','Systems Limited','READY',58.9155,53.3045,"56.11
"
2015-Feb-2015-02-13,'ODL','SYS','Systems Limited','READY',58.9155,53.3045,"0
"
2015-Feb-2015-02-16,'REG','SYS','Systems Limited','READY',57.246,51.794,"54.52
"
2015-Feb-2015-02-16,'ODL','SYS','Systems Limited','READY',57.246,51.794,"0
"
2015-Feb-2015-02-17,'REG','SYS','Systems Limited','READY',56.175,50.825,"53.5
"
2015-Feb-2015-02-17,'ODL','SYS','Systems Limited','READY',56.175,50.825,"0
"
2015-Feb-2015-02-18,'REG','SYS','Systems Limited','READY',54.096,48.944,"51.52
"
2015-Feb-2015-02-18,'ODL','SYS','Systems Limited','READY',54.096,48.944,"0
"
2015-Feb-2015-02-19,'REG','SYS','Systems Limited','READY',56.7945,51.3855,"54.09
"
2015-Feb-2015-02-19,'ODL','SYS','Systems Limited','READY',56.7945,51.3855,"0
"
2015-Feb-2015-02-20,'REG','SYS','Systems Limited','READY',59.0835,53.4565,"56.27
"
2015-Feb-2015-02-20,'ODL','SYS','Systems Limited','READY',59.0835,53.4565,"0
"
2015-Feb-2015-02-23,'REG','SYS','Systems Limited','READY',57.9915,52.4685,"55.23
"
2015-Feb-2015-02-23,'ODL','SYS','Systems Limited','READY',57.9915,52.4685,"0
"
2015-Feb-2015-02-24,'REG','SYS','Systems Limited','READY',56.0385,50.7015,"53.37
"
2015-Feb-2015-02-24,'ODL','SYS','Systems Limited','READY',56.0385,50.7015,"0
"
2015-Feb-2015-02-25,'REG','SYS','Systems Limited','READY',56.028,50.692,"53.36
"
2015-Feb-2015-02-25,'ODL','SYS','Systems Limited','READY',56.028,50.692,"0
"
2015-Feb-2015-02-26,'REG','SYS','Systems Limited','READY',56.301,50.939,"53.62
"
2015-Feb-2015-02-26,'ODL','SYS','Systems Limited','READY',56.301,50.939,"0
"
2015-Feb-2015-02-27,'REG','SYS','Systems Limited','READY',55.9125,50.5875,"53.25
"
2015-Feb-2015-02-27,'ODL','SYS','Systems Limited','READY',55.9125,50.5875,"0
"
2015-Mar-2015-03-02,'REG','SYS','Systems Limited','READY',54.075,48.925,"51.5
"
2015-Mar-2015-03-02,'ODL','SYS','Systems Limited','READY',54.075,48.925,"0
"
2015-Mar-2015-03-03,'REG','SYS','Systems Limited','READY',54.6525,49.4475,"52.05
"
2015-Mar-2015-03-03,'ODL','SYS','Systems Limited','READY',54.6525,49.4475,"0
"
2015-Mar-2015-03-04,'REG','SYS','Systems Limited','READY',54.936,49.704,"52.32
"
2015-Mar-2015-03-04,'ODL','SYS','Systems Limited','READY',54.936,49.704,"0
"
2015-Mar-2015-03-05,'REG','SYS','Systems Limited','READY',55.9335,50.6065,"53.27
"
2015-Mar-2015-03-05,'ODL','SYS','Systems Limited','READY',55.9335,50.6065,"0
"
2015-Mar-2015-03-06,'REG','SYS','Systems Limited','READY',57.2355,51.7845,"54.51
"
2015-Mar-2015-03-06,'ODL','SYS','Systems Limited','READY',57.2355,51.7845,"0
"
2015-Mar-2015-03-09,'REG','SYS','Systems Limited','READY',56.2695,50.9105,"53.59
"
2015-Mar-2015-03-09,'ODL','SYS','Systems Limited','READY',56.2695,50.9105,"0
"
2015-Mar-2015-03-10,'REG','SYS','Systems Limited','READY',55.1565,49.9035,"52.53
"
2015-Mar-2015-03-10,'ODL','SYS','Systems Limited','READY',55.1565,49.9035,"0
"
2015-Mar-2015-03-11,'REG','SYS','Systems Limited','READY',55.44,50.16,"52.8
"
2015-Mar-2015-03-11,'ODL','SYS','Systems Limited','READY',55.44,50.16,"0
"
2015-Mar-2015-03-13,'REG','SYS','Systems Limited','READY',61.1205,55.2995,"58.21
"
2015-Mar-2015-03-13,'ODL','SYS','Systems Limited','READY',61.1205,55.2995,"0
"
2015-Mar-2015-03-16,'REG','SYS','Systems Limited','READY',58.065,52.535,"55.3
"
2015-Mar-2015-03-16,'ODL','SYS','Systems Limited','READY',58.065,52.535,"0
"
2015-Mar-2015-03-17,'REG','SYS','Systems Limited','READY',56.973,51.547,"54.26
"
2015-Mar-2015-03-17,'ODL','SYS','Systems Limited','READY',56.973,51.547,"0
"
2015-Mar-2015-03-18,'REG','SYS','Systems Limited','READY',57.2775,51.8225,"54.55
"
2015-Mar-2015-03-18,'ODL','SYS','Systems Limited','READY',57.2775,51.8225,"0
"
2015-Mar-2015-03-19,'REG','SYS','Systems Limited','READY',55.041,49.799,"52.42
"
2015-Mar-2015-03-19,'ODL','SYS','Systems Limited','READY',55.041,49.799,"0
"
2015-Mar-2015-03-20,'REG','SYS','Systems Limited','READY',56.4585,51.0815,"53.77
"
2015-Mar-2015-03-20,'ODL','SYS','Systems Limited','READY',56.4585,51.0815,"0
"
2015-Mar-2015-03-24,'REG','SYS','Systems Limited','READY',54.327,49.153,"51.74
"
2015-Mar-2015-03-24,'ODL','SYS','Systems Limited','READY',54.327,49.153,"0
"
2015-Mar-2015-03-25,'REG','SYS','Systems Limited','READY',53.5185,48.4215,"50.97
"
2015-Mar-2015-03-25,'ODL','SYS','Systems Limited','READY',53.5185,48.4215,"0
"
2015-Mar-2015-03-26,'REG','SYS','Systems Limited','READY',52.185,47.215,"49.7
"
2015-Mar-2015-03-26,'ODL','SYS','Systems Limited','READY',52.185,47.215,"0
"
2015-Mar-2015-03-27,'REG','SYS','Systems Limited','READY',51.219,46.341,"48.78
"
2015-Mar-2015-03-27,'ODL','SYS','Systems Limited','READY',51.219,46.341,"0
"
2015-Mar-2015-03-30,'REG','SYS','Systems Limited','READY',48.6675,44.0325,"46.35
"
2015-Mar-2015-03-30,'ODL','SYS','Systems Limited','READY',48.6675,44.0325,"0
"
2015-Mar-2015-03-31,'REG','SYS','Systems Limited','READY',51.093,46.227,"48.66
"
2015-Mar-2015-03-31,'ODL','SYS','Systems Limited','READY',51.093,46.227,"0
"
2015-Apr-2015-04-01,'REG','SYS','Systems Limited','READY',51.2295,46.3505,"48.79
"
2015-Apr-2015-04-01,'ODL','SYS','Systems Limited','READY',51.2295,46.3505,"0
"
2015-Apr-2015-04-02,'REG','SYS','Systems Limited','READY',53.529,48.431,"50.98
"
2015-Apr-2015-04-02,'ODL','SYS','Systems Limited','READY',53.529,48.431,"0
"
2015-Apr-2015-04-06,'REG','SYS','Systems Limited','READY',58.002,52.478,"55.24
"
2015-Apr-2015-04-06,'ODL','SYS','Systems Limited','READY',58.002,52.478,"0
"
2015-Apr-2015-04-07,'REG','SYS','Systems Limited','READY',56.994,51.566,"54.28
"
2015-Apr-2015-04-07,'ODL','SYS','Systems Limited','READY',56.994,51.566,"0
"
2015-Apr-2015-04-08,'REG','SYS','Systems Limited','READY',58.0335,52.5065,"55.27
"
2015-Apr-2015-04-08,'ODL','SYS','Systems Limited','READY',58.0335,52.5065,"0
"
2015-Apr-2015-04-09,'REG','SYS','Systems Limited','READY',56.217,50.863,"53.54
"
2015-Apr-2015-04-09,'ODL','SYS','Systems Limited','READY',56.217,50.863,"0
"
2015-Apr-2015-04-10,'REG','SYS','Systems Limited',170,57.3405,51.8795,"54.61
"
2015-Apr-2015-04-10,'ODL','SYS','Systems Limited',170,57.3405,51.8795,"0
"
2015-Apr-2015-04-13,'REG','SYS','Systems Limited',170,57.12,51.68,"54.4
"
2015-Apr-2015-04-13,'ODL','SYS','Systems Limited',170,57.12,51.68,"0
"
2015-Apr-2015-04-14,'REG','SYS','Systems Limited',170,56.952,51.528,"54.24
"
2015-Apr-2015-04-14,'ODL','SYS','Systems Limited',170,56.952,51.528,"0
"
